"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00429320","1912","39.85","-109.183333","1892.8","WATSON NEAR, UT US","    164.4","","     164.4","6","        13","6","       206","6","        24","6","       119","6","        13","6","","","  -24.4","6,0105,+","   33.9","6,0826,+","-1.7","6,0914","-2.2","6,0916","-5.0","6,0925","-9.4","6,1101","-9.4","6,1101","0.0","6,0523","-3.9","6,0514","-4.4","6,0428","-6.7","6,0421","-8.9","6,0324","    4232.6","6","    4232.6","6","      6.80","6","     14.55","6","     -0.95","6"
"USC00429320","1913","39.85","-109.183333","1892.8","WATSON NEAR, UT US","","","","","        19","6","       177","6","","","","","","","","","  -30.6","6,0107, ","","","-3.3","6,0923","-3.3","6,0923","-7.2","6,1006","-7.2","6,1006","-10.6","6,1026","0.0","6,0504","-5.0","6,0424","-5.0","6,0424","-6.7","6,0328","-12.8","6,0326","","","","","","","","","     -0.10","6"
"USC00429320","1914","39.85","-109.183333","1892.8","WATSON NEAR, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4130.3","3","    4130.3","6","","","","","",""
"USC00429320","1915","39.85","-109.183333","1892.8","WATSON NEAR, UT US","    227.1","","     227.1","6","         5","6","       167","6","        15","6","       139","6","        17","6","         3"," ","  -20.0","6,0123, ","   33.3","6,0804,+","-3.9","6,0914","-3.9","6,0914","-7.2","6,1111","-7.2","6,1111","-9.4","6,1113","-1.1","6,0612","-2.2","6,0507","-5.0","6,0502","-6.7","6,0321","-9.4","6,0308","","","","","      8.77","6","     17.10","6","      0.43","6"
"USC00429320","1916","39.85","-109.183333","1892.8","WATSON NEAR, UT US","    194.4","","     194.4","6","        19","6","       203","6","        50","6","       142","6","         8","6","         1"," ","  -25.6","6,0201, ","   35.0","6,0713, ","-1.1","6,0910","-2.2","6,0928","-7.8","6,1019","-7.8","6,1019","-11.1","6,1108","-1.1","6,0527","-3.9","6,0516","-5.0","6,0515","-7.2","6,0420","-10.6","6,0325","    4123.6","6","    4123.6","6","      6.97","6","     14.88","6","     -0.95","6"
"USC00429320","1917","39.85","-109.183333","1892.8","WATSON NEAR, UT US","    235.8","","     235.8","6","        19","6","       186","6","        38","6","       131","6","        22","6","","","  -25.6","6,0116, ","   34.4","6,0722,+","-1.1","6,0926","-10.0","6,1018","-10.0","6,1018","-10.0","6,1018","-10.0","6,1018","0.0","6,0611","-3.9","6,0506","-4.4","6,0503","-6.7","6,0430","-9.4","6,0404","    4758.2","2","    4758.2","6","      7.19","6","     14.95","6","     -0.57","6"
"USC00429320","1919","39.85","-109.183333","1892.8","WATSON NEAR, UT US","    411.2","","     411.2","6","        23","6","       179","6","        63","6","       142","6","        39","6","","","  -28.9","6,1209, ","   35.0","6,0824,+","-0.6","6,0922","-5.0","6,1010","-5.0","6,1010","-7.8","6,1027","-10.0","6,1108","-1.1","6,0602","-3.3","6,0601","-5.6","6,0415","-6.7","6,0408","-10.6","6,0311","","","","","      7.62","6","     14.68","6","      0.56","6"
"USC00429320","1920","39.85","-109.183333","1892.8","WATSON NEAR, UT US","","","","","         8","6","       192","6","","","","","","","","","  -22.2","6,0112,+","","","-0.6","6,0925","-3.9","6,1021","-4.4","6,1023","-6.7","6,1103","-10.0","6,1129","-1.1","6,0504","-5.6","6,0426","-5.6","6,0426","-8.3","6,0421","-12.2","6,0404","    4526.8","8","    4526.8","6","","","","","      0.19","6"
"USC00429320","1922","39.85","-109.183333","1892.8","WATSON NEAR, UT US","    311.6","","     311.6","6","        17","6","       183","6","        57","6","       143","6","        24","6","","","  -26.1","6,0120, ","   36.7","6,0715,+","-1.7","6,1014","-2.2","6,1017","-6.1","6,1030","-7.2","6,1031","-8.9","6,1106","0.0","6,0527","-2.2","6,0510","-7.8","6,0418","-7.8","6,0418","-10.6","6,0417","    4007.1","1","    4007.1","6","      7.48","6","     14.67","6","      0.29","6"
"USC00429320","1923","39.85","-109.183333","1892.8","WATSON NEAR, UT US","","","","","         9","6","       196","6","","","","","","","","","  -22.8","6,1231, ","","","0.0","6,0927","-7.2","6,1013","-7.2","6,1013","-7.2","6,1013","-8.9","6,1128","-1.7","6,0601","-4.4","6,0501","-4.4","6,0501","-9.4","6,0327","-9.4","6,0327","    4094.9","9","    4094.9","6","","","","","     -0.01","6"
"USC00429320","1924","39.85","-109.183333","1892.8","WATSON NEAR, UT US","    386.0","","     386.0","6","        18","6","       189","6","        47","6","       136","6","        40","6","","","  -27.2","6,1225,+","   33.9","6,0704,+","0.0","6,0920","-3.3","6,0921","-7.2","6,1013","-7.2","6,1013","-9.4","6,1107","0.0","6,0531","-6.7","6,0427","-6.7","6,0427","-6.7","6,0427","-11.1","6,0426","","","","","      7.77","6","     15.36","6","      0.17","6"
"USC00429320","1925","39.85","-109.183333","1892.8","WATSON NEAR, UT US","","","","","         5","6","       173","6","","","","","","","","","  -20.0","6,0110, ","","","0.0","6,1009","-2.8","6,1015","-5.6","6,1017","-7.8","6,1105","-8.9","6,1116","0.0","6,0605","-3.3","6,0429","-5.6","6,0318","-6.7","6,0317","-9.4","6,0313","","","","","","","","","      1.53","6"
"USC00429320","1926","39.85","-109.183333","1892.8","WATSON NEAR, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3766.2","2","    3766.2"," ","","","","","",""
