"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00157168","1957","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       191","E","        73","E","         0","E","       20","","         0","E","        71","E","        20","E","         0","E","         0","E","   -6.6","E,0315, ","   300"," ,E,0228,+","  13.7"," ,E,1221, ","   19.5","E,0729, ","-1.4","E,1126","-2.2","E,1127","-4.9","E,1208","","","-1.5","E,0502","-2.4","E,0323","-4.8","E,0322","","","","","","","","","    516.5"," ,E","      5.29","E","      6.79","E","      3.79","E"
"NOE00157168","1958","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       194","E","        76","E","         0","E","       68","","         0","E","        94","E","        42","E","         0","E","         0","E","   -7.5","E,0225, ","   280"," ,E,0318,+","  23.7"," ,E,0618, ","   17.7","E,0702, ","-4.0","E,1206","-4.0","E,1206","","","","","-1.3","E,0410","-2.9","E,0406","-5.3","E,0312","-6.9","E,0226","","","    4912.1","1","    4912.1","E","    627.4"," ,E","      5.14","E","      6.57","E","      3.70","E"
"NOE00157168","1959","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       182","E","        69","E","         1","E","       14","","         0","E","        47","E","        13","E","         0","E","         0","E","   -8.6","E,0121, ","   120"," ,E,0122,+","  31.2"," ,E,1028, ","   17.8","E,0816, ","-0.2","E,1205","-2.2","E,1210","","","","","-1.1","E,0420","-2.2","E,0225","-6.4","E,0122","-8.6","E,0121","","","    4511.4","4","    4511.4","E","    546.2"," ,E","      5.98","E","      7.33","E","      4.62","E"
"NOE00157168","1960","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       149","E","        53","E","         0","E","       28","","         0","E","        61","E","        23","E","         0","E","         0","E","   -5.9","E,0223, ","   200"," ,E,0224,+","  18.3"," ,E,0712, ","   18.3","E,0803, ","-0.9","E,1028","-3.7","E,1206","-5.0","E,1211","","","-0.6","E,0422","-2.7","E,0229","-5.9","E,0223","","","","","    4514.6","6","    4514.6","E","    411.3"," ,E","      5.95","E","      7.32","E","      4.58","E"
"NOE00157168","1961","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       203","E","        97","E","         1","E","       54","","         0","E","        74","E","         8","E","         0","E","         0","E","   -5.8","E,1227,+","   250"," ,E,0413,+","  25.7"," ,E,1029, ","   18.6","E,0715, ","-0.5","E,1128","-3.7","E,1202","-5.8","E,1226","","","-0.4","E,0420","-2.3","E,0410","","","","","","","    4514.7","7","    4514.7","E","    677.5"," ,E","      6.22","E","      7.62","E","      4.82","E"
"NOE00157168","1962","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       190","E","        71","E","         0","E","       80","","         0","E","       102","E","        33","E","         0","E","         0","E","   -6.7","E,0302, ","   200"," ,E,0323,+","  13.8"," ,E,1201, ","   14.0","E,0826, ","-0.3","E,1024","-2.4","E,1116","-4.4","E,1217","","","-1.3","E,0414","-2.9","E,0327","-4.6","E,0326","-6.7","E,0302","","","    4643.8","8","    4643.8","E","    484.9"," ,E","      4.74","E","      6.22","E","      3.26","E"
"NOE00157168","1963","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       187","E","        70","E","         1","E","       37","","         0","E","        88","E","        26","E","         0","E","         0","E","   -7.3","E,0221, ","   180"," ,E,0114, ","  35.0"," ,E,0713, ","   16.5","E,0731, ","0.0","E,1108","-4.0","E,1217","-4.8","E,1218","","","0.0","E,0419","-2.5","E,0409","-4.5","E,0323","-7.3","E,0221","","","    4848.3","3","    4848.3","E","    579.8"," ,E","      5.56","E","      6.96","E","      4.15","E"
"NOE00157168","1964","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       224","E","       107","E","         0","E","       18","","         0","E","        51","E","         7","E","         0","E","         0","E","   -6.7","E,0113, ","   160"," ,E,0206, ","  22.4"," ,E,0203, ","   17.0","E,0809, ","-0.9","E,1104","-2.9","E,1107","","","","","-2.2","E,0425","-2.2","E,0425","-4.6","E,0222","-6.7","E,0113","","","    4509.1","1","    4509.1","E","    696.4"," ,E","      5.63","E","      7.10","E","      4.17","E"
"NOE00157168","1965","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       169","E","        61","E","         0","E","       39","","         0","E","        99","E","        27","E","         0","E","         0","E","   -5.5","E,0227, ","    50"," ,E,0327,+","  17.7"," ,E,0216, ","   14.7","E,0826,+","-2.0","E,1119","-3.6","E,1120","-4.7","E,1211","","","-0.3","E,0521","-3.1","E,0408","-4.4","E,0309","","","","","    4838.4","4","    4838.4","E","    435.9"," ,E","      4.65","E","      6.05","E","      3.25","E"
"NOE00157168","1966","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       196","E","        76","E","         0","E","       42","","         0","E","       116","E","        48","E","         0","E","         0","E","  -12.5","E,0203, ","    50"," ,E,0127,+","  11.7"," ,E,1029, ","   17.2","E,0726, ","-0.6","E,0926","-2.2","E,1101","","","","","-2.0","E,0510","-4.3","E,0419","-4.7","E,0325","-7.2","E,0205","-11.8","E,0204","    5214.9","9","    5214.9","E","    536.3"," ,E","      4.15","E","      5.62","E","      2.69","E"
"NOE00157168","1967","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       208","E","        77","E","         0","E","       22","","         0","E","        83","E","        16","E","         0","E","         0","E","   -8.3","E,0129, ","    60"," ,E,1221,+","  16.4"," ,E,0720, ","   16.0","E,0804, ","-0.9","E,1017","-2.5","E,1208","-7.0","E,1224","-7.0","E,1224","-0.2","E,0503","-2.3","E,0430","-6.8","E,0130","-6.8","E,0130","","","    4864.1","1","    4864.1","E","    520.9"," ,E","      5.42","E","      6.83","E","      4.01","E"
"NOE00157168","1968","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       213","E","        79","E","         0","E","       52","","         0","E","        92","E","        28","E","         0","E","         0","E","   -6.5","E,0314, ","    80"," ,E,0310,+","  18.7"," ,E,1020, ","   15.0","E,0904, ","-0.8","E,1005","-2.6","E,1030","-4.4","E,1230","","","-0.1","E,0504","-6.4","E,0407","-6.4","E,0407","","","","","    4845.6","6","    4845.6","E","    550.1"," ,E","      4.58","E","      5.99","E","      3.17","E"
"NOE00157168","1969","67.4103","11.8731","18.0","SKOMVAER FYR, NO","      0.0","","       0.0","E","       195","E","        83","E","         0","E","       32","","         0","E","        72","E","        17","E","         0","E","         0","E","   -9.8","E,0214, ","   150"," ,E,0114,+","  16.3"," ,E,1012, ","   19.0","E,0806, ","0.0","E,1117","-3.2","E,1123","-5.1","E,1205","","","-1.8","E,0417","-2.4","E,0416","-5.2","E,0312","-8.0","E,0216","-9.7","E,0215","    4897.3","3","    4897.3","E","    567.2"," ,E","      5.52","E","      7.05","E","      3.98","E"
