"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00033031","1971","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        78","a","        58","a","        17","a"," 163.1"," ,a,1224, ","   1521.5"," ,a"
"ASN00033031","1972","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        90","a","        77","a","         8","a","  67.1"," ,a,0110, ","   1024.6"," ,a"
"ASN00033031","1973","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       103","a","        92","a","        21","a","  93.5"," ,a,0216, ","   1640.8"," ,a"
"ASN00033031","1974","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        75","a","        68","a","        25","a"," 284.0"," ,a,0117, ","   2269.1"," ,a"
"ASN00033031","1975","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        96","a","        78","a","        18","a"," 188.6"," ,a,1211, ","   1910.8"," ,a"
"ASN00033031","1976","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       102","a","        86","a","        20","a"," 122.2"," ,a,0326, ","   1823.5"," ,a"
"ASN00033031","1977","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        88","a","        72","a","        18","a"," 131.0"," ,a,0309, ","   1445.3"," ,a"
"ASN00033031","1978","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        87","a","        67","a","        13","a"," 105.0"," ,a,0301, ","   1156.1"," ,a"
"ASN00033031","1979","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","","","","","","","","","   2213.9"," ,a"
"ASN00033031","1980","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        92","a","        69","a","         9","a","  92.0"," ,a,0523, ","   1005.9"," ,a"
"ASN00033031","1982","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        70","a","        54","a","         5","a"," 107.4"," ,a,0317, ","    855.9"," ,a"
"ASN00033031","1983","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       122","a","        66","a","        10","a","  63.5"," ,a,0503, ","   1051.1"," ,a"
"ASN00033031","1984","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","   2204.4","","    2204.4"," ","       127","a","        69","a","         8","a","  64.0"," ,a,0201, ","    876.7"," ,a"
"ASN00033031","1990","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        91","a","        66","a","        15","a"," 150.0"," ,a,0324, ","   1494.2"," ,a"
"ASN00033031","1991","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       118","a","        64","a","        16","a"," 190.1"," ,a,0204, ","   1457.4"," ,a"
"ASN00033031","1992","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        96","a","        46","a","         6","a"," 120.3"," ,a,0229, ","    716.3"," ,a"
"ASN00033031","1993","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       120","a","        57","a","         5","a","  86.0"," ,a,0110, ","    724.7"," ,a"
"ASN00033031","1994","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       116","a","        72","a","         7","a","  61.0"," ,a,1227, ","    766.6"," ,a"
"ASN00033031","1995","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       118","a","        70","a","        11","a"," 108.4"," ,a,0212, ","    906.2"," ,a"
"ASN00033031","1996","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       110","a","        66","a","        11","a"," 147.0"," ,a,0430, ","   1159.0"," ,a"
"ASN00033031","1997","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       113","a","        87","a","        12","a"," 250.0"," ,a,0213, ","   1620.5"," ,a"
"ASN00033031","1998","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","","","","","","","","","   1453.3"," ,a"
"ASN00033031","1999","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","","","","","","","","","   1411.6"," ,a"
"ASN00033031","2000","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       139","a","        91","a","        24","a"," 176.0"," ,a,0224, ","   2041.1"," ,a"
"ASN00033031","2001","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       119","a","        63","a","         5","a","  84.5"," ,a,0202, ","    786.1"," ,a"
"ASN00033031","2002","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","        92","a","        64","a","        10","a"," 124.5"," ,a,0215, ","    986.1"," ,a"
"ASN00033031","2003","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","","","","","","","","","    991.1"," ,a"
"ASN00033031","2006","-20.0564","148.8881","2.4","HAYMAN ISLAND RESORT, AS","","","","","       138","a","        82","a","        11","a"," 101.0"," ,a,0128, ","   1114.8"," ,a"
