"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"WA012084750","1971","-17.917","19.767","1100.0","RUNDU, WA","        67","I","        42","I","         9","I","","","","","","","","","","","",""," 109.0"," ,I,0124, ","","","    690.6"," ,I","","","",""
"WA012084750","1974","-17.917","19.767","1100.0","RUNDU, WA","        76","I","        52","I","         9","I","","","","","","","","","","","","","  71.6"," ,I,0101, ","","","    872.3"," ,I","","","",""
"WA012084750","1975","-17.917","19.767","1100.0","RUNDU, WA","        66","I","        35","I","         1","I","","","","","","","","","","","","","  41.0"," ,I,0218, ","","","    375.4"," ,I","","","",""
"WA012084750","1976","-17.917","19.767","1100.0","RUNDU, WA","        75","I","        54","I","         8","I","","","","","","","","","","","","","  59.7"," ,I,0201, ","","","    756.8"," ,I","","","",""
"WA012084750","1977","-17.917","19.767","1100.0","RUNDU, WA","        83","I","        54","I","         9","I","","","","","","","","","","","","","  74.5"," ,I,1227, ","","","    882.1"," ,I","","","",""
"WA012084750","1978","-17.917","19.767","1100.0","RUNDU, WA","        79","I","        56","I","        15","I","","","","","","","","","","","","","  69.2"," ,I,0216, ","","","    946.2"," ,I","","","",""
"WA012084750","1979","-17.917","19.767","1100.0","RUNDU, WA","        70","I","        45","I","         2","I","","","","","","","","","","","","","  56.4"," ,I,0128, ","","","    433.6"," ,I","","","",""
"WA012084750","1980","-17.917","19.767","1100.0","RUNDU, WA","        62","I","        37","I","         4","I","","","","","","","","","","","","","  70.8"," ,I,0229, ","","","    566.9"," ,I","","","",""
"WA012084750","1981","-17.917","19.767","1100.0","RUNDU, WA","        72","I","        46","I","         4","I","","","","","","","","","","","","","  44.9"," ,I,1223, ","","","    582.6"," ,I","","","",""
"WA012084750","1982","-17.917","19.767","1100.0","RUNDU, WA","        66","I","        40","I","         1","I","","","","","","","","","","","","","  32.6"," ,I,0122, ","","","    418.0"," ,I","","","",""
"WA012084750","1983","-17.917","19.767","1100.0","RUNDU, WA","        62","I","        35","I","         5","I","","","","","","","","","","","","","  47.0"," ,I,0117, ","","","    464.1"," ,I","","","",""
"WA012084750","1984","-17.917","19.767","1100.0","RUNDU, WA","        64","I","        32","I","         3","I","","","","","","","","","","","","","  36.6"," ,I,0204, ","","","    382.0"," ,I","","","",""
"WA012084750","1985","-17.917","19.767","1100.0","RUNDU, WA","        56","I","        41","I","        11","I","","","","","","","","","","","","","  50.3"," ,I,1215, ","","","    640.5"," ,I","","","",""
"WA012084750","1992","-17.917","19.767","1100.0","RUNDU, WA","","","","","","","","","","","         0","S","       337","S","       197","S","","","","","   38.8","S,1205,+","","","     32.16","S","",""
"WA012084750","1998","-17.917","19.767","1100.0","RUNDU, WA","","","","","","","","","","","         0","S","       340","S","       210","S","","","","","   39.7","S,1104,+","","","     32.63","S","",""
"WA012084750","1999","-17.917","19.767","1100.0","RUNDU, WA","","","","","","","","","","","         0","S","       343","S","       132","S","","","","","   39.0","S,1107,+","","","     31.30","S","",""
"WA012084750","2008","-17.917","19.767","1100.0","RUNDU, WA","","","","","","","         0","S","         0","S","","","","","","","    3.5","S,0630, ","","","","","","","","","     15.05","S"
