"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00361631","1895","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","        13"," ","","","","","",""
"USC00361631","1898","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","         3"," ","","","","","",""
"USC00361631","1899","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","        98","6","        98","6","         8","6","         4"," ","",""," 111.8"," ,6,0828, ","   1156.7"," ,6"
"USC00361631","1900","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","        84","6","        83","6","         8","6","         1"," ","","","  74.9"," ,6,1126, ","    989.2"," ,6"
"USC00361631","1901","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","       103","6","        95","6","        13","6","         1"," ","","","  87.4"," ,6,1215, ","   1476.8"," ,6"
"USC00361631","1902","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","       106","6","        99","6","        13","6","         2"," ","","","  71.1"," ,6,0122, ","   1302.2"," ,6"
"USC00361631","1903","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","        14"," ","","","","","",""
"USC00361631","1904","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","        10"," ","","","","","",""
"USC00361631","1906","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","         3"," ","","","","","",""
"USC00361631","1907","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","         5"," ","","","","","",""
"USC00361631","1949","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","","","         6"," ","","","",""
"USC00361631","1950","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","         4"," ","","","","","",""
"USC00361631","1951","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","        96"," ","        17"," ","","","",""
"USC00361631","1952","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","       101","0","        74","0","        12","0","        47"," ","        15"," ","  50.3"," ,0,1211, ","   1047.4"," ,0"
"USC00361631","1953","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","       126","0","        85","0","         9","0","        26"," ","        19"," ","  58.7"," ,0,0810, ","   1018.3"," ,0"
"USC00361631","1954","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","       121","0","        76","0","         7","0","        10"," ","        14"," ","  98.3"," ,0,0529, ","    990.7"," ,0"
"USC00361631","1955","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","       106","0","        74","0","         8","0","         8"," ","        18"," ","  71.1"," ,0,1014, ","    951.9"," ,0"
"USC00361631","1956","41.35","-77.1","195.1","COGAN STATION 2 N, PA US","","","","","","","         1"," ","","","","","",""
