"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN019120700","1951","29.917","73.917","177.0","GANGANAGAR, IN","        20","I","        17","I","         4","I","","","","","","","","","","","","","  50.8"," ,I,0728, ","","","    269.9"," ,I","","","",""
"IN019120700","1952","29.917","73.917","177.0","GANGANAGAR, IN","        15","I","        11","I","         3","I","","","","","","","","","","","","","  43.7"," ,I,0728, ","","","    172.8"," ,I","","","",""
"IN019120700","1953","29.917","73.917","177.0","GANGANAGAR, IN","        22","I","        14","I","         1","I","","","","","","","","","","","","","  26.7"," ,I,0916, ","","","    160.6"," ,I","","","",""
"IN019120700","1954","29.917","73.917","177.0","GANGANAGAR, IN","        36","I","        19","I","         4","I","","","","","","","","","","","","","  58.4"," ,I,0719, ","","","    310.7"," ,I","","","",""
"IN019120700","1955","29.917","73.917","177.0","GANGANAGAR, IN","        35","I","        18","I","         2","I","","","","","","","","","","","","","  75.7"," ,I,0629, ","","","    249.4"," ,I","","","",""
"IN019120700","1956","29.917","73.917","177.0","GANGANAGAR, IN","        44","I","        27","I","         5","I","","","","","","","","","","","","","  86.1"," ,I,0713, ","","","    507.5"," ,I","","","",""
"IN019120700","1957","29.917","73.917","177.0","GANGANAGAR, IN","        38","I","        23","I","         1","I","","","","","","","","","","","","","  47.0"," ,I,0305, ","","","    262.2"," ,I","","","",""
"IN019120700","1958","29.917","73.917","177.0","GANGANAGAR, IN","        41","I","        27","I","         8","I","","","","","","","","","","","",""," 135.8"," ,I,0903, ","","","    593.9"," ,I","","","",""
"IN019120700","1959","29.917","73.917","177.0","GANGANAGAR, IN","        52","I","        29","I","         6","I","","","","","","","","","","","","","  86.0"," ,I,0826, ","","","    487.7"," ,I","","","",""
"IN019120700","1960","29.917","73.917","177.0","GANGANAGAR, IN","        35","I","        17","I","         3","I","","","","","","","","","","","","","  60.4"," ,I,0712, ","","","    259.2"," ,I","","","",""
"IN019120700","1961","29.917","73.917","177.0","GANGANAGAR, IN","        43","I","        22","I","         3","I","","","","","","","","","","","","","  49.9"," ,I,0817, ","","","    354.2"," ,I","","","",""
"IN019120700","1962","29.917","73.917","177.0","GANGANAGAR, IN","        28","I","        21","I","         6","I","","","","","","","","","","","","","  52.3"," ,I,0912, ","","","    350.7"," ,I","","","",""
"IN019120700","1963","29.917","73.917","177.0","GANGANAGAR, IN","        35","I","        20","I","         4","I","","","","","","","","","","","","","  85.7"," ,I,0812, ","","","    358.9"," ,I","","","",""
"IN019120700","1964","29.917","73.917","177.0","GANGANAGAR, IN","        34","I","        18","I","         4","I","","","","","","","","","","","","","  56.7"," ,I,0827, ","","","    328.9"," ,I","","","",""
"IN019120700","1965","29.917","73.917","177.0","GANGANAGAR, IN","        22","I","        14","I","         0","I","","","","","","","","","","","","","  23.3"," ,I,0829, ","","","    141.8"," ,I","","","",""
"IN019120700","1966","29.917","73.917","177.0","GANGANAGAR, IN","        28","I","        19","I","         6","I","","","","","","","","","","","","","  52.8"," ,I,0621, ","","","    338.4"," ,I","","","",""
"IN019120700","1967","29.917","73.917","177.0","GANGANAGAR, IN","        36","I","        27","I","         6","I","","","","","","","","","","","","","  77.7"," ,I,0326, ","","","    468.1"," ,I","","","",""
"IN019120700","1968","29.917","73.917","177.0","GANGANAGAR, IN","        16","I","         9","I","         1","I","","","","","","","","","","","","","  28.6"," ,I,0320, ","","","    116.1"," ,I","","","",""
"IN019120700","1969","29.917","73.917","177.0","GANGANAGAR, IN","        24","I","        13","I","         1","I","","","","","","","","","","","","","  28.2"," ,I,0817, ","","","    137.9"," ,I","","","",""
"IN019120700","1970","29.917","73.917","177.0","GANGANAGAR, IN","        30","I","        20","I","         3","I","","","","","","","","","","","","","  33.0"," ,I,0614, ","","","    262.2"," ,I","","","",""
"IN019120700","2012","29.917","73.917","177.0","GANGANAGAR, IN","","","","","","","","","","","         0","S","       313","S","       199","S","","","","","   47.8","S,0703, ","","","     32.82","S","",""
"IN019120700","2014","29.917","73.917","177.0","GANGANAGAR, IN","","","","","","","","","","","         0","S","       296","S","       191","S","","","","","   48.6","S,0608, ","","","     32.18","S","",""
"IN019120700","2016","29.917","73.917","177.0","GANGANAGAR, IN","","","","","","","         0","S","         0","S","","","","","","","    3.7","S,1227, ","","","","","","","","","     18.15","S"
