"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"GMW00034192","1962","48.81667","12.58333","370.0","STRAUBING, GM","       65","","         2"," ","","","   178"," ,X,0106,+"
"GMW00034192","1963","48.81667","12.58333","370.0","STRAUBING, GM","       82","","","","","","   508"," ,X,0214, "
"GMW00034192","1964","48.81667","12.58333","370.0","STRAUBING, GM","       36","","        37"," ","         1"," ","   229"," ,X,0112,+"
