"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040356","1981","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       215","S","       124","S","","","   43.0","S,0804,+","","","","","","","","","","","","","     26.35","S","",""
"SAM00040356","1983","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       241","S","       126","S","","","   42.7","S,0718, ","","","","","","","","","","","","","     25.71","S","",""
"SAM00040356","1984","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       226","S","       130","S","","","   40.2","S,0727, ","","","","","","","","","","","","","     26.12","S","",""
"SAM00040356","1985","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       226","S","       125","S","","","   42.4","S,0818, ","","","","","","","","","","","","","     26.35","S","",""
"SAM00040356","1986","31.693","38.731","854.4","TURAIF, SA","         0","S","        17","S","         0","S","       225","S","       120","S","   -4.5","S,0123, ","   41.7","S,0825,+","-1.3","S,1114","-2.7","S,1203","0.0","S,0128","-4.2","S,0124","-4.5","S,0123","     18.70","S","     26.29","S","     11.11","S"
"SAM00040356","1992","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       206","S","        92","S","","","   42.0","S,0815, ","","","","","","","","","","","","","     24.33","S","",""
"SAM00040356","1993","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       231","S","       125","S","","","   41.4","S,0729, ","","","","","","","","","","","","","     25.97","S","",""
"SAM00040356","1995","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       221","S","       127","S","","","   43.0","S,0812, ","","","","","","","","","","","","","     25.73","S","",""
"SAM00040356","1996","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       225","S","       142","S","","","   44.0","S,0720, ","","","","","","","","","","","","","     27.06","S","",""
"SAM00040356","1997","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       215","S","       135","S","","","   39.4","S,0621,+","","","","","","","","","","","","","     25.61","S","",""
"SAM00040356","1999","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       234","S","       139","S","","","   42.4","S,0822, ","","","","","","","","","","","","","     27.35","S","",""
"SAM00040356","2000","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       227","S","       133","S","","","   44.0","S,0801,+","","","","","","","","","","","","","     26.46","S","",""
"SAM00040356","2001","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       238","S","       134","S","","","   44.0","S,0807, ","","","","","","","","","","","","","     27.11","S","",""
"SAM00040356","2002","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       229","S","       133","S","","","   42.0","S,0814,+","","","","","","","","","","","","","     26.38","S","",""
"SAM00040356","2003","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       208","S","       126","S","","","   44.0","S,0812,+","","","","","","","","","","","","","     26.13","S","",""
"SAM00040356","2004","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       232","S","       128","S","","","   43.0","S,0720, ","","","","","","","","","","","","","     26.33","S","",""
"SAM00040356","2005","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       239","S","       128","S","","","   43.0","S,0719, ","","","","","","","","","","","","","     26.27","S","",""
"SAM00040356","2008","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       236","S","       124","S","","","   42.0","S,0905,+","","","","","","","","","","","","","     26.21","S","",""
"SAM00040356","2009","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       219","S","       110","S","","","   41.0","S,0701, ","","","","","","","","","","","","","     26.06","S","",""
"SAM00040356","2010","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       262","S","       137","S","","","   45.0","S,0712,+","","","","","","","","","","","","","     28.37","S","",""
"SAM00040356","2011","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       207","S","       114","S","","","   45.0","S,0801, ","","","","","","","","","","","","","     25.55","S","",""
"SAM00040356","2012","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       222","S","       131","S","","","   43.0","S,0719,+","","","","","","","","","","","","","     26.34","S","",""
"SAM00040356","2013","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       240","S","       109","S","","","   43.0","S,0815, ","","","","","","","","","","","","","     26.11","S","",""
"SAM00040356","2015","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       218","S","       127","S","","","   43.0","S,0819,+","","","","","","","","","","","","","     26.17","S","",""
"SAM00040356","2016","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       241","S","       117","S","","","   43.0","S,0830,+","","","","","","","","","","","","","     26.71","S","",""
"SAM00040356","2017","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       232","S","       126","S","","","   44.0","S,0810,+","","","","","","","","","","","","","     27.25","S","",""
"SAM00040356","2018","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       228","S","       129","S","","","   43.0","S,0901, ","","","","","","","","","","","","","     26.78","S","",""
"SAM00040356","2019","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       206","S","       139","S","","","   43.0","S,0626, ","","","","","","","","","","","","","     26.40","S","",""
"SAM00040356","2020","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       228","S","       136","S","","","   45.0","S,0730,+","","","","","","","","","","","","","     26.79","S","",""
"SAM00040356","2021","31.693","38.731","854.4","TURAIF, SA","","","","","         0","S","       237","S","       146","S","","","   43.0","S,0828,+","","","","","","","","","","","","","     27.50","S","",""
