"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00019073","1951","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    543.5","","     543.5","m","        20","m","        20","m","         8","m","         0","m","         0","m","         0","m","       361","m","        27","m","    0.6","m,1120,+","  69.9"," ,m,0823, ","   35.0","m,1007,+","","","","","","","","","","","","","","","     144.7","7","     144.7","m","    461.0"," ,m","     19.41","m","     29.83","m","      8.99","m"
"MXN00019073","1952","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    543.0","","     543.0","m","","","","","","","         0","m","         0","m","         0","m","       360","m","        32","m","    0.6","m,1231,+","","","   38.9","m,0509, ","","","","","","","","","","","","","","","     187.8","8","     187.8","m","","","     19.12","m","     29.92","m","      8.32","m"
"MXN00019073","1953","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    513.8","","     513.8","m","","","","","","","         0","m","         0","m","         0","m","       334","m","        22","m","    0.6","m,1231,+","","","   38.9","m,0910, ","","","","","","","","","","","","","","","     234.3","3","     234.3","m","","","     18.50","m","     28.42","m","      8.59","m"
"MXN00019073","1954","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    670.4","","     670.4","m","","","","","","","         0","m","         0","m","         0","m","       327","m","        24","m","    0.6","m,1222,+","","","   40.0","m,0428, ","","","","","","","","","","","","","","","     625.5","5","     625.5","m","","","     18.68","m","     26.99","m","     10.37","m"
"MXN00019073","1955","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    692.5","","     692.5","m","        31","m","        30","m","         1","m","         0","m","         0","m","         0","m","       330","m","        29","m","    0.6","m,1229,+","  39.9"," ,m,0919, ","   37.8","m,0525,+","","","","","","","","","","","","","","","     580.7","7","     580.7","m","    349.3"," ,m","     18.81","m","     27.56","m","     10.05","m"
"MXN00019073","1956","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    521.4","","     521.4","m","","","","","","","         0","m","         0","m","         0","m","       330","m","        16","m","    0.6","m,1229,+","","","   36.7","m,1012, ","","","","","","","","","","","","","","","     453.7","7","     453.7","m","","","     18.41","m","     27.25","m","      9.57","m"
"MXN00019073","1957","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    691.6","","     691.6","m","","","","","","","         0","m","         0","m","         0","m","       341","m","        22","m","    0.6","m,1214,+","","","   35.0","m,0629,+","","","","","","","","","","","","","","","     415.8","8","     415.8","m","","","     19.17","m","     28.14","m","     10.19","m"
"MXN00019073","1958","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    667.0","","     667.0","m","        40","m","        39","m","         4","m","         0","m","         0","m","         0","m","       330","m","        27","m","    0.6","m,1231,+","  46.0"," ,m,0626, ","   38.9","m,0422, ","","","","","","","","","","","","","","","     561.3","3","     561.3","m","    449.1"," ,m","     18.64","m","     27.30","m","      9.97","m"
"MXN00019073","1959","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    577.1","","     577.1","m","        36","m","        36","m","         5","m","         0","m","         0","m","         0","m","       322","m","         7","m","    0.6","m,1229,+","  50.8"," ,m,1026, ","   38.9","m,0426, ","","","","","","","","","","","","","","","     509.5","5","     509.5","m","    497.1"," ,m","     18.51","m","     27.40","m","      9.61","m"
"MXN00019073","1961","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    512.7","","     512.7","m","        11","m","        11","m","         1","m","         0","m","         0","m","         0","m","       349","m","        23","m","    0.6","m,1229,+","  39.9"," ,m,0913, ","   36.7","m,0515, ","","","","","","","","","","","","","","","","","","","    198.3"," ,m","     18.81","m","     28.91","m","      8.70","m"
"MXN00019073","1962","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    807.4","","     807.4","m","        24","m","        20","m","         2","m","         0","m","         4","m","         0","m","       341","m","        65","m","    0.0","m,0113,+","  39.9"," ,m,0907, ","   37.8","m,0522, ","","","","","","","0.0","m,0113","","","","","","","     354.1","1","     354.1","m","    226.5"," ,m","     19.50","m","     28.86","m","     10.14","m"
"MXN00019073","2011","24.8167","-100.0667","1608.7","GALEANA SMN, MX","    732.2","","     732.2","m","        31","m","        20","m","         3","m","         0","m","        11","m","         0","m","       314","m","        46","m","   -7.2","m,0204,+","  69.9"," ,m,0630, ","   37.8","m,0524, ","-2.2","m,1128","-2.2","m,1128","","","0.0","m,0213","-5.0","m,0205","-5.0","m,0205","-7.2","m,0204","","","","","    282.8"," ,m","     18.70","m","     26.68","m","     10.72","m"
