"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CPOP","1999","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","    987.6","","     987.6","U","         0","U","        31","U","         0","U","       213","U","        94","U","   -3.9","U,0212, ","   40.6","U,0825, ","-1.7","U,1122","-2.2","U,1123","","","","","-0.6","U,0409","-3.9","U,0212","","","","","","","    1659.5","5","    1659.5","U","     16.87","U","     23.97","U","      9.77","U"
"USR0000CPOP","2000","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","   1128.3","","    1128.3","U","         0","U","        24","U","         0","U","       207","U","        93","U","   -3.3","U,0106, ","   41.7","U,0730, ","-2.2","U,1112","-2.2","U,1112","","","","","-0.6","U,0321","-3.3","U,0106","","","","","","","    1271.9","9","    1271.9","U","     17.39","U","     24.29","U","     10.50","U"
"USR0000CPOP","2001","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","   1296.1","","    1296.1","U","         0","U","        30","U","         0","U","       231","U","       118","U","   -3.9","U,0117, ","   43.3","U,0702, ","-2.8","U,1127","-2.8","U,1127","","","","","0.0","U,0223","-2.8","U,0215","","","","","","","    1618.1","1","    1618.1","U","     17.62","U","     24.45","U","     10.77","U"
"USR0000CPOP","2002","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","   1225.4","","    1225.4","U","         0","U","        32","U","         0","U","       219","U","       103","U","   -4.4","U,0131, ","   45.0","U,0709, ","0.0","U,1218","-2.2","U,1219","","","","","0.0","U,0319","-2.2","U,0304","-4.4","U,0131","","","","","    1384.5","5","    1384.5","U","     17.64","U","     24.77","U","     10.51","U"
"USR0000CPOP","2003","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","   1352.3","","    1352.3","U","         0","U","        25","U","         0","U","       196","U","       130","U","   -4.4","U,1228, ","   42.2","U,0716, ","0.0","U,1105","-2.2","U,1215","-4.4","U,1228","","","0.0","U,0302","-3.3","U,0208","","","","","","","    1499.9","9","    1499.9","U","     17.69","U","     24.71","U","     10.66","U"
"USR0000CPOP","2004","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","   1135.1","","    1135.1","U","         0","U","        37","U","         0","U","       213","U","       106","U","   -5.6","U,1201, ","   41.1","U,0810, ","-0.6","U,1121","-3.3","U,1129","-5.0","U,1130","","","-0.6","U,0214","-2.8","U,0209","-4.4","U,0104","","","","","    1419.0","0","    1419.0","U","     17.28","U","     24.34","U","     10.23","U"
"USR0000CPOP","2005","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","    969.2","","     969.2","U","         0","U","        26","U","         0","U","       217","U","        87","U","   -5.0","U,1205, ","   41.7","U,0717,+","0.0","U,1119","-4.4","U,1204","-4.4","U,1204","","","0.0","U,0405","","","","","","","","","    1698.8","8","    1698.8","U","     16.77","U","     23.75","U","      9.78","U"
"USR0000CPOP","2007","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","   1258.6","","    1258.6","U","         0","U","        43","U","         0","U","       238","U","       111","U","  -11.1","U,0114,+","   46.1","U,0705, ","0.0","U,1122","-2.2","U,1210","","","","","0.0","U,0303","-2.2","U,0224","-5.6","U,0118","-7.2","U,0117","-11.1","U,0114","","","","","     17.80","U","     25.14","U","     10.46","U"
"USR0000CPOP","2008","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","   1234.7","","    1234.7","U","         0","U","        35","U","         0","U","       225","U","       116","U","   -5.0","U,0101, ","   45.0","U,0709, ","-1.7","U,1012","-3.3","U,1218","-4.4","U,1227","","","-1.1","U,0317","-3.9","U,0205","-5.0","U,0101","","","","","    1595.1","1","    1595.1","U","     17.39","U","     24.70","U","     10.08","U"
"USR0000CPOP","2009","34.7325","-118.3833","841.2","POPPY PARK CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1536.7","7","    1536.7","U","","","","","",""
