"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00248152","1970","47.16667","-108.48333","987.9","TEIGEN 10 NNE, MT US","    314.9","","     314.9","0","        53","0","        31","0","         0","0","","","        14","0","        32","0","       194","0","        48","0","       129","0","        45","0","         2"," ","  -34.4","0,0109, ","","","   254"," ,0,0301, ","  24.1"," ,0,0612, ","   37.8","0,0816,+","-4.4","0,0912","-4.4","0,0912","-4.4","0,0912","-6.7","0,1026","-10.0","0,1031","-1.1","0,0502","-3.3","0,0501","-5.0","0,0419","-7.8","0,0417","-10.0","0,0403","    321.1"," ,0","      991"," ,0","      6.84","0","     14.35","0","     -0.68","0"
"USC00248152","1971","47.16667","-108.48333","987.9","TEIGEN 10 NNE, MT US","","","","","        58","0","        32","0","         1","0","       70","","        17","0","","","","","","","","","","","        35"," ","","","   305"," ,0,0208,+","   203"," ,0,0130, ","  26.7"," ,0,0830, ","","","","","","","","","","","","","","","","","","","","","","","    258.7"," ,0","     1396"," ,0","","","","","",""
