"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00243393","1951","46.81667","-113.35","1848.0","GARNET, MT US","         3"," ","         3"," ","","","",""
"USC00243393","1952","46.81667","-113.35","1848.0","GARNET, MT US","         1"," ","         4"," ","","","",""
"USC00243393","1953","46.81667","-113.35","1848.0","GARNET, MT US","         1"," ","        24"," ","","","",""
"USC00243393","1954","46.81667","-113.35","1848.0","GARNET, MT US","","","        11"," ","","","",""
"USC00243393","1955","46.81667","-113.35","1848.0","GARNET, MT US","","","        18"," ","    5932.6","6","    5932.6","0"
"USC00243393","1956","46.81667","-113.35","1848.0","GARNET, MT US","","","        18"," ","","","",""
"USC00243393","1957","46.81667","-113.35","1848.0","GARNET, MT US","         1"," ","        19"," ","","","",""
"USC00243393","1958","46.81667","-113.35","1848.0","GARNET, MT US","","","        24"," ","","","",""
"USC00243393","1959","46.81667","-113.35","1848.0","GARNET, MT US","","","         4"," ","","","",""
"USC00243393","1960","46.81667","-113.35","1848.0","GARNET, MT US","","","        24"," ","","","",""
"USC00243393","1961","46.81667","-113.35","1848.0","GARNET, MT US","","","        18"," ","","","",""
"USC00243393","1962","46.81667","-113.35","1848.0","GARNET, MT US","","","         9"," ","","","",""
"USC00243393","1963","46.81667","-113.35","1848.0","GARNET, MT US","","","        16"," ","","","",""
"USC00243393","1964","46.81667","-113.35","1848.0","GARNET, MT US","","","        10"," ","","","",""
