"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00294652","1950","35.21667","-106.41667","2439.9","LA MADERA SKI AREA, NM US","         2"," ","","","",""
"USC00294652","1951","35.21667","-106.41667","2439.9","LA MADERA SKI AREA, NM US","         5"," ","         3"," ","    508.2"," ,0"
"USC00294652","1952","35.21667","-106.41667","2439.9","LA MADERA SKI AREA, NM US","","","        16"," ","",""
