"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SGM00061695","1977","12.556","-16.282","22.9","ZIGUINCHOR, SG","        59","S","        43","S","         9","S","","","","","         0","S","       337","S","       249","S","","","  70.1"," ,S,0817, ","   42.0","S,0427, ","    757.3"," ,S","","","     34.50","S","",""
"SGM00061695","1979","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       343","S","       258","S","","","","","   43.0","S,1028, ","","","","","     34.32","S","",""
"SGM00061695","1980","12.556","-16.282","22.9","ZIGUINCHOR, SG","        56","S","        39","S","         8","S","         0","S","         0","S","         0","S","       341","S","       272","S","   14.0","S,1228,+"," 199.9"," ,S,0703, ","   42.0","S,0422,+","    845.0"," ,S","     27.93","S","     34.54","S","     21.32","S"
"SGM00061695","1981","12.556","-16.282","22.9","ZIGUINCHOR, SG","        78","S","        55","S","        16","S","","","","","","","","","","","",""," 199.9"," ,S,0320, ","","","   1416.7"," ,S","","","","","",""
"SGM00061695","1983","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       328","S","       279","S","","","","","   44.1","S,0308, ","","","","","     34.50","S","",""
"SGM00061695","1988","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       338","S","       244","S","","","","","   42.5","S,0411, ","","","","","     33.97","S","",""
"SGM00061695","1989","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       344","S","       253","S","","","","","   42.0","S,0427, ","","","","","     33.97","S","",""
"SGM00061695","1994","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       344","S","       252","S","","","","","   43.8","S,0424, ","","","","","     34.10","S","",""
"SGM00061695","1995","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       345","S","       281","S","","","","","   43.1","S,0429, ","","","","","     34.36","S","",""
"SGM00061695","1996","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       337","S","       279","S","","","","","   43.5","S,0506, ","","","","","     34.62","S","",""
"SGM00061695","1999","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       330","S","       251","S","","","","","   42.4","S,0418, ","","","","","     34.36","S","",""
"SGM00061695","2009","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       343","S","       283","S","","","","","   42.7","S,0418, ","","","","","     34.93","S","",""
"SGM00061695","2010","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       343","S","       317","S","","","","","   44.0","S,0329, ","","","","","     36.02","S","",""
"SGM00061695","2011","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       343","S","       318","S","","","","","   42.2","S,0505, ","","","","","     35.52","S","",""
"SGM00061695","2013","12.556","-16.282","22.9","ZIGUINCHOR, SG","","","","","","","","","","","         0","S","       341","S","       294","S","","","","","   41.7","S,0329, ","","","","","     35.23","S","",""
