"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013743","1942","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    769.6","","     769.6","Z","       110","Z","        77","Z","        15","Z","        8","","         4","Z","         0","Z","        74","Z","        10","Z","       184","Z","        25","Z","","","","","","","  -17.2","Z,1221, ","   102"," ,Z,1221, ","   152"," ,Z,0321, "," 144.5"," ,Z,0808, ","   37.2","Z,0719, ","-1.1","Z,1028","-2.2","Z,1114","-5.6","Z,1202","-7.2","Z,1214","-16.7","Z,1220","0.0","Z,0330","-3.3","Z,0225","-4.4","Z,0222","-7.2","Z,0221","-8.9","Z,0220","    2209.2","2","    2209.2","Z","   1220.2"," ,Z","","","      394"," ,Z","     13.78","Z","     18.69","Z","      8.87","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    841.3","","     841.3","Z","       102","Z","        59","Z","         6","Z","        7","","         7","Z","         0","Z","        92","Z","        14","Z","       164","Z","        49","Z","","","","","","","  -13.9","Z,0215, ","   127"," ,Z,0322, ","    76"," ,Z,0321,+","  78.0"," ,Z,1108, ","   36.7","Z,0810, ","0.0","Z,1112","-2.2","Z,1117","-4.4","Z,1211","-9.4","Z,1215","-9.4","Z,1215","-1.7","Z,0416","-7.2","Z,0309","-7.2","Z,0309","-7.2","Z,0309","-11.7","Z,0304","    2483.2","2","    2483.2","Z","    801.9"," ,Z","","","      373"," ,Z","     13.67","Z","     18.84","Z","      8.50","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1944","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    799.3","","     799.3","Z","       111","Z","        65","Z","        10","Z","        8","","         5","Z","         0","Z","        87","Z","         9","Z","       171","Z","        36","Z","","","","","","","   -8.9","Z,1222, ","   102"," ,Z,0116, ","    51"," ,Z,0211,+"," 134.9"," ,Z,0802, ","   36.7","Z,0618, ","0.0","Z,1125","-2.2","Z,1126","-4.4","Z,1214","-8.9","Z,1222","-8.9","Z,1222","-0.6","Z,0406","-3.9","Z,0320","-4.4","Z,0319","-7.2","Z,0310","","","    2489.3","3","    2489.3","Z","   1053.4"," ,Z","","","      264"," ,Z","     13.67","Z","     18.42","Z","      8.91","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1945","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    766.1","","     766.1","X","       129","X","        84","X","         9","X","       16","","         5","X","         0","X","        76","X","        18","X","       189","X","        20","X","        55"," ","","","        24"," ","  -11.1","X,0125, ","   178"," ,X,1219, ","   102"," ,X,1219, ","  52.1"," ,X,0717, ","   37.2","X,0701, ","0.0","X,1105","-3.9","Z,1124","-4.4","X,1211","-7.2","X,1216","-8.9","X,1217","-0.6","Z,0305","-6.1","Z,0220","-6.1","Z,0220","-6.7","Z,0219","-10.0","Z,0131","    2376.1","1","    2376.1","X","   1106.4"," ,X","","","      406"," ,X","     13.96","X","     18.78","X","      9.14","X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1946","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    627.0","","     627.0","X","       110","X","        70","X","         6","X","        6","","         6","X","         0","X","        58","X","         7","X","       189","X","        18","X","       126"," ","","","        30"," ","  -11.7","X,0128, ","   152"," ,X,0127, ","   122"," ,X,0127, ","  65.8"," ,X,0806, ","   35.6","X,0720, ","0.0","X,1116","-5.6","X,1202","-5.6","X,1202","-6.7","X,1203","","","-1.1","X,0312","-3.3","X,0225","-6.1","X,0216","-7.2","X,0215","-11.7","X,0128","    2253.5","5","    2253.5","X","    854.8"," ,X","","","      342"," ,X","     14.47","X","     19.55","X","      9.40","X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1947","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    779.1","","     779.1","X","       110","X","        64","X","         8","X","       13","","         5","X","         0","X","        90","X","         6","X","       172","X","        18","X","        98"," ","","","        40"," ","  -13.9","X,0205, ","   203"," ,X,0221, ","   193"," ,X,0220, ","  88.1"," ,X,0607, ","   35.6","X,0815,+","0.0","X,1113","-2.2","X,1127","-5.6","X,1201","","","","","0.0","X,0331","-2.2","X,0327","-4.4","X,0301","-6.7","X,0228","-9.4","X,0224","    2290.4","4","    2290.4","X","    931.4"," ,X","","","      543"," ,X","     13.61","X","     18.38","X","      8.84","X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1948","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    715.5","","     715.5","0","       134","0","        92","0","        17","0","       24","","         6","X","         0","0","        71","0","        19","0","       170","0","        25","0","       116"," ","","","        43"," ","  -15.0","0,0126, ","   127"," ,X,0125, ","   137"," ,X,0124, ","  72.1"," ,0,0801, ","   37.2","0,0828,+","-1.1","0,1201","-3.3","0,1211","-8.3","0,1225","-8.3","0,1225","-9.4","0,1226","-1.1","X,0329","-3.9","X,0314","-5.6","X,0313","-7.2","X,0306","-11.1","X,0210","    2486.0","0","    2486.0","0","   1462.3"," ,0","","","      618"," ,X","     13.66","0","     18.60","0","      8.71","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1949","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    829.9","","     829.9","0","       122","0","        85","0","         9","0","        4","","         4","0","         0","0","        53","0","         1","0","       176","0","        26","0","        92"," ","","","        23"," ","   -6.1","0,1217,+","    51"," ,0,0201,+","   145"," ,0,0131, ","  48.8"," ,0,0522, ","   36.1","0,0811, ","-0.6","0,1106","-2.2","0,1123","-4.4","0,1216","","","","","-1.1","0,0320","-3.3","0,0319","-4.4","0,0316","","","","","    2073.4","4","    2073.4","0","   1013.2"," ,0","","","      290"," ,0","     15.01","0","     19.81","0","     10.22","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1950","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    655.0","","     655.0","0","       134","0","        83","0","        11","0","        4","","         3","0","         0","0","        76","0","         7","0","       175","0","        13","0","       104"," ","","","        33"," ","   -9.4","0,1227,+","    76"," ,0,0316, ","    76"," ,0,0316, ","  95.0"," ,0,0819, ","   35.6","0,0624, ","-1.1","0,1112","-2.8","0,1122","-7.8","0,1125","-7.8","0,1125","-9.4","0,1227","0.0","0,0415","-4.4","0,0414","-4.4","0,0414","-9.4","0,0303","-9.4","0,0303","    2146.4","4","    2146.4","0","   1217.1"," ,0","","","      224"," ,0","     13.80","0","     18.58","0","      9.03","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1951","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","    764.5","","     764.5","0","       113","0","        72","0","        12","0","        6","","         4","0","         0","0","        76","0","        10","0","       178","0","        28","0","       114"," ","","","        30"," ","  -11.7","0,0208, ","    76"," ,0,1214, ","    86"," ,0,1214, ","  73.7"," ,0,0728, ","   35.6","0,0602, ","-0.6","0,1103","-2.8","0,1119","-6.1","0,1215","-10.6","0,1216","-10.6","0,1216","-1.1","0,0327","-2.2","0,0322","-6.7","0,0210","-6.7","0,0210","-9.4","0,0209","    2314.0","0","    2314.0","0","   1050.4"," ,0","","","      244"," ,0","     14.18","0","     19.15","0","      9.20","0","","","","","","","","","","","","","","","","","","","","","",""
