"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087784","1995","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        59","S","  -11.2","S,0730, ","-0.5","S,0420","-2.5","S,0517","-4.5","S,0522","-6.7","S,0630","-9.4","S,0729","-1.3","S,1013","-2.4","S,0830","-5.0","S,0819","-6.8","S,0810","      7.25","S"
"ARM00087784","1996","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        52","S","   -7.2","S,0624, ","-0.8","S,0417","-3.1","S,0522","-4.5","S,0618","-7.2","S,0624","","","-4.7","S,0924","-4.7","S,0924","-4.7","S,0924","","","      7.60","S"
"ARM00087784","2001","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        32","S","   -6.0","S,0831,+","-0.4","S,0424","-4.6","S,0618","-4.6","S,0618","","","","","-0.5","S,1013","-3.0","S,0916","-6.0","S,0831","","","      7.81","S"
"ARM00087784","2003","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        42","S","   -5.4","S,0825, ","0.0","S,0420","-3.0","S,0517","","","","","","","-1.5","S,1010","-2.8","S,0909","-5.4","S,0825","","","      7.59","S"
"ARM00087784","2005","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        49","S","   -7.0","S,0614,+","-0.4","S,0412","-2.7","S,0425","-7.0","S,0521","-7.0","S,0521","","","-1.7","S,0915","-4.7","S,0913","-4.7","S,0913","","","      7.69","S"
"ARM00087784","2006","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        43","S","   -6.9","S,0522, ","-0.1","S,0502","-2.3","S,0518","-5.2","S,0519","-6.9","S,0522","","","-1.1","S,0917","-2.6","S,0913","-4.9","S,0820","","","      7.72","S"
"ARM00087784","2014","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        34","S","   -7.8","S,0726, ","-1.4","S,0613","-3.8","S,0618","-4.4","S,0625","-7.8","S,0726","","","-1.0","S,0926","-3.2","S,0827","","","","","      7.91","S"
"ARM00087784","2015","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        53","S","   -8.0","S,0623, ","-0.4","S,0506","-2.5","S,0611","-6.8","S,0618","-6.8","S,0618","","","-0.8","S,1017","-2.2","S,1011","-5.1","S,1003","-7.8","S,0901","      7.73","S"
"ARM00087784","2016","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        44","S","   -6.6","S,0702, ","-2.5","S,0427","-2.5","S,0427","-4.5","S,0630","","","","","-1.4","S,0924","-3.0","S,0903","","","","","      8.24","S"
"ARM00087784","2017","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        53","S","   -7.1","S,0804, ","-2.5","S,0510","-2.5","S,0510","-5.0","S,0523","","","","","-1.1","S,0921","-3.0","S,0915","-5.5","S,0805","-7.1","S,0804","      7.50","S"
"ARM00087784","2019","-40.783","-65.1","20.0","SAN ANTONIO OESTE AERO, AR","         0","S","        60","S","   -9.0","S,0705, ","-0.7","S,0419","-2.5","S,0430","-5.3","S,0603","-9.0","S,0705","-9.0","S,0705","-0.3","S,1023","-5.5","S,1002","-5.5","S,1002","-6.8","S,0813","      6.77","S"
