"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IC000004048","1959","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       245","E","       148","E","        10","E","         0","G","        71","E","        21","G","         0","G","         0","G","  -11.2","E,0122, ","  57.2"," ,E,0506, ","   14.5","G,0721,+","-0.7","E,1028","-3.2","E,1109","-5.7","E,1231","","","","","-1.9","E,0505","-3.4","E,0428","-5.0","E,0427","-8.8","E,0407","-11.2","E,0122","    4507.8","8","    4507.8","G","   1762.9"," ,E","      5.49","E","      7.12","G","      3.85","E"
"IC000004048","1960","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       190","E","       128","E","         6","E","         0","G","        49","E","        15","G","         0","G","         0","G","  -10.1","E,0218, ","  51.6"," ,E,1208, ","   18.0","G,0730, ","-1.5","E,1105","-3.3","E,1126","-6.1","E,1127","","","","","-3.4","E,0306","-3.4","E,0306","-8.9","E,0303","-8.9","E,0303","-8.9","E,0303","    4552.8","8","    4552.8","G","   1357.2"," ,E","      6.16","E","      7.80","G","      4.53","E"
"IC000004048","1961","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       225","E","       146","E","         9","E","         0","G","        74","E","        22","G","         0","G","         0","G","  -12.9","E,1228, ","  47.0"," ,E,0629, ","   14.9","G,0806, ","-2.4","E,1030","-2.4","E,1030","-4.7","E,1123","-7.0","E,1202","-9.8","E,1203","-0.9","E,0524","-5.7","E,0416","-5.7","E,0416","-6.7","E,0404","","","    4513.1","1","    4513.1","G","   1619.1"," ,E","      5.42","E","      7.11","G","      3.73","E"
"IC000004048","1962","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       205","E","       125","E","         7","E","         0","G","       103","E","        26","G","         0","G","         0","G","   -8.8","E,1212, ","  36.4"," ,E,0918, ","   14.5","G,0802, ","-0.1","E,0916","-5.4","E,1025","-5.4","E,1025","-7.3","E,1211","","","-1.4","E,0411","-6.0","E,0406","-6.0","E,0406","-7.1","E,0331","","","    4849.6","6","    4849.6","G","   1387.7"," ,E","      4.99","E","      6.87","G","      3.12","E"
"IC000004048","1963","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       210","E","       126","E","         6","E","         0","G","        58","E","        13","G","         0","G","         0","G","  -14.1","E,0411, ","  32.3"," ,E,0726, ","   18.2","G,0812,+","-1.2","E,1107","-4.0","E,1108","-5.0","E,1112","-7.5","E,1115","","","-0.1","E,0507","-3.9","E,0506","-7.4","E,0412","-7.4","E,0412","-14.1","E,0411","    4672.4","4","    4672.4","G","   1215.4"," ,E","      5.43","E","      7.28","G","      3.58","E"
"IC000004048","1964","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       216","E","       153","E","         9","E","         0","G","        52","E","        11","G","         0","G","         0","G","  -10.2","E,1213, ","  60.6"," ,E,0125, ","   16.6","G,0807, ","-0.9","E,1022","-4.7","E,1115","-4.7","E,1115","-7.5","E,1116","-10.2","E,1213","0.0","E,0514","-7.4","E,0205","-7.4","E,0205","-7.4","E,0205","-9.0","E,0204","    4507.1","1","    4507.1","G","   1468.9"," ,E","      5.97","E","      7.74","G","      4.19","E"
"IC000004048","1965","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       179","E","       105","E","         7","E","         0","G","        73","E","        20","G","         0","G","         0","G","  -12.3","E,0307, ","  40.5"," ,E,0831, ","   15.5","G,0704, ","-1.8","E,1102","-2.3","E,1120","-4.5","E,1123","-8.1","E,1128","-9.9","E,1129","-3.0","E,0419","-3.0","E,0419","-5.8","E,0413","-7.0","E,0324","-12.3","E,0307","    4784.2","2","    4784.2","G","   1199.2"," ,E","      5.41","E","      7.24","G","      3.58","E"
"IC000004048","1966","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       216","E","       131","E","        11","E","         0","G","       103","E","        25","G","         0","G","         0","G","  -14.0","E,0124, ","  69.5"," ,E,0824, ","   19.0","G,0802, ","-3.6","E,1004","-3.6","E,1004","-6.2","E,1109","-6.8","E,1116","-9.8","E,1202","-2.0","E,0507","-4.6","E,0418","-4.6","E,0418","-9.6","E,0331","-9.6","E,0331","    4824.0","0","    4824.0","G","   1407.8"," ,E","      4.80","E","      6.67","G","      2.93","E"
"IC000004048","1967","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       213","E","       139","E","         6","E","         0","G","       103","E","        21","G","         0","G","         0","G","  -11.6","E,1208, ","  45.4"," ,E,1220, ","   18.1","G,0711, ","-3.9","E,1015","-3.9","E,1015","-5.0","E,1016","-7.5","E,1017","-10.0","E,1206","-1.0","E,0520","-3.0","E,0503","-5.4","E,0501","-7.0","E,0421","-10.4","E,0417","    4956.8","8","    4956.8","G","   1337.9"," ,E","      4.79","E","      6.87","G","      2.71","E"
"IC000004048","1968","63.4","-20.2831","118.0","VESTMANNAEYJAR, IC","      0.0","","       0.0","E","       230","E","       148","E","        13","E","         0","G","        89","E","        29","G","         0","G","         0","G","  -16.9","E,0401, ","  62.0"," ,E,0321, ","   15.4","G,0807, ","-4.8","E,1030","-4.8","E,1030","-4.8","E,1030","-7.0","E,1218","-11.5","E,1219","-3.0","E,0511","-3.0","E,0511","-6.4","E,0403","-12.9","E,0402","-12.9","E,0402","    5043.4","4","    5043.4","G","   1724.1"," ,E","      5.01","E","      6.84","G","      3.18","E"
