"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00172320","1999","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","","","","","        41"," ","         1"," ","","","","","","","",""
"USC00172320","2000","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","       44","","        18","0","        49"," ","        13"," ","   508"," ,0,0118, ","   356"," ,0,0117, ","","","     2146"," ,0"
"USC00172320","2001","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","","","        22","0","        71"," ","         6"," ","","","   305"," ,0,0206, ","","","     1806"," ,0"
"USC00172320","2002","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","       67","","        22","0","        47"," ","        15"," ","   381"," ,0,1226, ","   381"," ,0,1226, ","","","     2089"," ,0"
"USC00172320","2003","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","       88","","","","        66"," ","         6"," ","   584"," ,0,0221,+","","","","","",""
"USC00172320","2004","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","       63","","        13","0","        50"," ","         3"," ","   406"," ,0,1229,+","   102"," ,0,1114,+","   1110.5"," ,0","      908"," ,0"
"USC00172320","2005","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","","","","","        81"," ","        10"," ","","","","","","","",""
"USC00172320","2006","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","","","        11","0","        59"," ","         3"," ","","","   406"," ,0,0213, ","","","      925"," ,0"
"USC00172320","2007","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","       82","","        23","0","        58"," ","         6"," ","   457"," ,0,1220, ","   432"," ,0,1204, ","","","     2000"," ,0"
"USC00172320","2008","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","","","","","        54"," ","         7"," ","","","","","","","",""
"USC00172320","2009","44.7236","-67.3817","22.9","EAST MACHIAS, ME US","","","","","        58"," ","         8"," ","","","","","","","",""
