"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094850","1959","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","        23"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094850","1961","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094850","1962","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     61.2","","      61.2","0","       131","0","        70","0","         3","0","      163","","","","        43","0","       199","0","       103","0","        87","0","         1","0","       125"," ","","","        17"," ","  -35.6","0,0208, ","  1016"," ,0,0303,+","","","  38.1"," ,0,0803, ","   32.2","0,0516, ","0.0","0,0905","-3.3","0,1020","-6.1","0,1024","-6.7","0,1026","-10.0","0,1123","0.0","0,0613","-2.2","0,0603","-8.9","0,0420","-8.9","0,0420","-8.9","0,0420","","","","","    588.4"," ,0","","","","","      3.24","0","      8.67","0","     -2.18","0","","","","","","","","","",""
"USW00094850","1963","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    130.9","","     130.9","0","       110","0","        59","0","         3","0","","","","","        61","0","       189","0","       103","0","        97","0","         2","0","       128"," ","","","        25"," ","  -34.4","0,0126, ","","","","","  30.5"," ,0,0607, ","   37.2","0,0630, ","-2.2","0,0913","-2.2","0,0913","-8.3","0,1102","-8.3","0,1102","-9.4","0,1103","-1.1","0,0524","-5.0","0,0523","-5.0","0,0523","-6.7","0,0501","-8.9","0,0404","    5714.2","2","    5714.2","0","    578.9"," ,0","","","","","      3.50","0","      9.48","0","     -2.48","0","","","","","","","","","",""
"USW00094850","1964","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    121.3","","     121.3","0","       151","0","        64","0","         7","0","      146","","","","        37","0","       195","0","       107","0","        76","0","         6","0","       132"," ","","","        28"," ","  -27.8","0,0210, ","   813"," ,0,0228,+","","","  61.7"," ,0,0724, ","   33.9","0,0522, ","-0.6","0,0912","-2.2","0,0927","-4.4","0,1006","-6.7","0,1107","-13.3","0,1119","-1.1","0,0616","-3.9","0,0604","-4.4","0,0425","-8.9","0,0415","-8.9","0,0415","    5100.9","9","    5100.9","0","    782.7"," ,0","","","","","      4.16","0","      9.68","0","     -1.37","0","","","","","","","","","",""
"USW00094850","1965","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     60.6","","      60.6","0","       153","0","        70","0","         2","0","      167","","","","        35","0","       200","0","       107","0","        66","0","         1","0","       146"," ","        49"," ","        27"," ","  -34.4","0,0115, ","  1270"," ,0,0215,+","","","  30.5"," ,0,1126, ","   35.0","0,0814, ","-0.6","0,0911","-3.9","0,0926","-6.1","0,0927","-10.6","0,1109","-10.6","0,1109","-1.1","0,0615","-2.8","0,0529","-8.3","0,0428","-8.3","0,0428","-14.4","0,0403","    5623.3","3","    5623.3","0","    733.3"," ,0","","","","","      3.10","0","      8.28","0","     -2.09","0","","","","","","","","","",""
"USW00094850","1966","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    138.5","","     138.5","0","       154","0","        69","0","         6","0","      159","","        28","0","        30","0","       208","0","        99","0","        83","0","         5","0","       124"," ","        43"," ","        27"," ","  -29.4","0,0219, ","  1118"," ,0,1231,+","   411"," ,0,0323, ","  36.3"," ,0,0725, ","   34.4","0,0710, ","0.0","0,0913","-2.2","0,1012","-4.4","0,1020","-8.3","0,1029","-10.0","0,1030","0.0","0,0609","-3.9","0,0513","-6.7","0,0510","-6.7","0,0510","-10.6","0,0414","    5454.7","7","    5454.7","0","    745.7"," ,0","","","     3260"," ,0","      3.78","0","      8.90","0","     -1.34","0","","","","","","","","","",""
"USW00094850","1967","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     59.3","","      59.3","0","       143","0","        70","0","         2","0","      152","","        22","0","        42","0","       209","0","       110","0","        81","0","         0","0","       135"," ","        37"," ","        30"," ","  -35.0","0,0212, ","  1346"," ,0,0111,+","   244"," ,0,0107, ","  29.5"," ,0,1008, ","   30.0","0,0721, ","-1.1","0,0909","-2.8","0,0910","-6.1","0,1104","-7.8","0,1105","-10.0","0,1107","-6.1","0,0522","-6.1","0,0522","-6.1","0,0522","-6.7","0,0503","-9.4","0,0425","    5516.4","4","    5516.4","0","    652.3"," ,0","","","     1978"," ,0","      3.08","0","      8.41","0","     -2.25","0","","","","","","","","","",""
"USW00094850","1968","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     97.4","","      97.4","0","       171","0","       103","0","         8","0","      143","","        42","0","        35","0","       187","0","       101","0","        75","0","         1","0","       136"," ","        41"," ","        38"," ","  -31.7","0,0108, ","   889"," ,0,1225,+","   330"," ,0,1222, "," 103.9"," ,0,0627, ","   32.2","0,0715, ","0.0","0,0818","-2.2","0,1005","-7.2","0,1030","-7.2","0,1030","-8.9","0,1128","0.0","0,0522","-4.4","0,0510","-4.4","0,0510","-15.6","0,0405","-15.6","0,0405","    5401.4","4","    5401.4","0","   1233.4"," ,0","","","     3571"," ,0","      4.27","0","      9.32","0","     -0.78","0","","","","","","","","","",""
"USW00094850","1969","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    135.9","","     135.9","0","       160","0","        81","0","         5","0","      153","","        27","0","        33","0","       193","0","       110","0","        79","0","         7","0","       128"," ","        30"," ","        25"," ","  -24.4","0,0206, ","  1372"," ,0,0112,+","   356"," ,0,0109, ","  38.4"," ,0,1013, ","   35.0","0,0528, ","0.0","0,1013","-4.4","0,1021","-4.4","0,1021","-12.8","0,1023","-12.8","0,1023","-0.6","0,0604","-2.8","0,0526","-6.1","0,0429","-7.8","0,0411","-9.4","0,0406","    5279.5","5","    5279.5","0","    849.6"," ,0","","","     3236"," ,0","      4.08","0","      9.28","0","     -1.13","0","","","","","","","","","",""
