"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000870470","1957","-24.85","-65.483","1246.0","SALTA AERO, AR","    329.3","","     329.3","G","","","","","","","         0","G","        38","G","         0","G","       264","G","        17","G","   -6.0","G,0715, ","","","   36.8","G,1130,+","-3.8","G,0603","-3.8","G,0603","-4.6","G,0608","","","-1.8","G,0908","-2.2","G,0815","-5.7","G,0810","","","","","    1084.3","3","    1084.3","G","","","     16.69","G","     24.37","G","      9.01","G"
"AR000870470","1958","-24.85","-65.483","1246.0","SALTA AERO, AR","","","","","","","","","","","         0"," ","        16","G","","","","","","","   -6.6","G,0810, ","","","","","-3.8","G,0528","-3.8","G,0528","","","","","-1.0","G,0915","-2.6","G,0821","-4.9","G,0820","","","","","","","","","","","","","","","     10.16","G"
"AR000870470","1959","-24.85","-65.483","1246.0","SALTA AERO, AR","","","","","","","","","","","         0","G","        15","G","","","","","","","   -3.0","G,0521, ","","","","","-3.0","G,0521","-3.0","G,0521","","","","","-2.3","G,0901","-2.3","G,0901","","","","","","","","","","","","","","","","","     10.57","G"
"AR000870470","1960","-24.85","-65.483","1246.0","SALTA AERO, AR","","","","","","","","","","","         0"," ","        20","G","","","","","","","   -7.4","G,0708, ","","","","","-3.1","G,0521","-3.1","G,0521","-7.4","G,0708","-7.4","G,0708","-0.4","G,0903","-3.5","G,0902","","","","","","","","","","","","","","","","","     10.36","G"
"AR000870470","1961","-24.85","-65.483","1246.0","SALTA AERO, AR","","","","","","","","","","","         0","G","        15","G","","","","","","","   -7.5","G,0615, ","","","","","-1.1","G,0612","-5.7","G,0614","-5.7","G,0614","-7.5","G,0615","","","","","","","","","","","","","","","","","","","","","     11.58","G"
"AR000870470","1962","-24.85","-65.483","1246.0","SALTA AERO, AR","","","","","","","","","","","         0","G","        29","G","         0","G","       248","G","        18","G","   -5.9","G,0708, ","","","   37.3","G,1128, ","-2.7","G,0603","-2.7","G,0603","-4.9","G,0707","","","-1.1","G,0823","","","","","","","","","    1098.2","2","    1098.2","G","","","     16.74","G","     23.58","G","      9.90","G"
"AR000870470","1963","-24.85","-65.483","1246.0","SALTA AERO, AR","    577.8","","     577.8","G","","","","","","","         0","G","        11","G","         0","G","       255","G","        26","G","   -4.1","G,0805, ","","","   38.7","G,1125, ","-0.1","G,0619","-2.3","G,0722","","","","","0.0","G,0813","-2.8","G,0807","","","","","","","     819.0","0","     819.0","G","","","     17.76","G","     24.07","G","     11.45","G"
"AR000870470","1964","-24.85","-65.483","1246.0","SALTA AERO, AR","    596.8","","     596.8","G","","","","","","","         0","G","        27","G","         0","G","       254","G","         8","G","   -4.6","G,0802, ","","","   34.2","G,1208, ","-1.1","G,0605","-4.3","G,0701","","","","","-0.4","G,0904","-2.3","G,0803","-4.6","G,0802","","","","","     996.6","6","     996.6","G","","","     16.84","G","     23.29","G","     10.40","G"
"AR000870470","1965","-24.85","-65.483","1246.0","SALTA AERO, AR","    409.0","","     409.0","G","","","","","","","         0","G","        10","G","         0","G","       275","G","        19","G","   -4.5","G,0717, ","","","   37.3","G,1009, ","-0.7","G,0708","-3.0","G,0711","-4.5","G,0717","","","-1.3","G,0821","-3.6","G,0820","","","","","","","     795.2","2","     795.2","G","","","     17.65","G","     24.55","G","     10.76","G"
"AR000870470","1966","-24.85","-65.483","1246.0","SALTA AERO, AR","    532.1","","     532.1","G","","","","","","","         0","G","        33","G","         0","G","       267","G","        26","G","   -9.4","G,0805, ","","","   38.5","G,1209, ","0.0","G,0627","-2.9","G,0630","-5.1","G,0715","","","-1.3","G,0921","-4.2","G,0903","-4.9","G,0807","-9.4","G,0805","-9.4","G,0805","    1008.7","7","    1008.7","G","","","     17.02","G","     24.31","G","      9.73","G"
