"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"HRE00105196","1961","42.7667","16.8994","186.0","LASTOVO, HR","    599.6","","     599.6","E","        83","E","        53","E","         8","E","         0","E","         4","E","         0","E","       135","E","         4","E","   -4.0","E,1217, ","  63.8"," ,E,1106, ","   35.8","E,0812, ","-2.4","E,1216","-2.4","E,1216","","","-1.2","E,0119","","","","","","","    1307.7","7","    1307.7","E","    798.6"," ,E","     16.25","E","     18.78","E","     13.72","E"
"HRE00105196","1962","42.7667","16.8994","186.0","LASTOVO, HR","    696.8","","     696.8","E","        99","E","        61","E","         6","E","         0","E","         7","E","         0","E","       133","E","         6","E","   -2.8","E,0131, ","  51.2"," ,E,1028, ","   34.0","E,0728, ","","","","","","","0.0","E,0318","-2.8","E,0131","","","","","    1552.5","5","    1552.5","E","    681.8"," ,E","     15.76","E","     18.41","E","     13.10","E"
"HRE00105196","1963","42.7667","16.8994","186.0","LASTOVO, HR","    634.3","","     634.3","E","       104","E","        63","E","        12","E","         0","E","        17","E","         3","E","       137","E","         1","E","   -6.8","E,0123, ","  74.6"," ,E,0603, ","   32.6","E,0701, ","","","","","","","-2.0","E,0302","-4.7","E,0301","-4.7","E,0301","-6.8","E,0123","    1641.8","8","    1641.8","E","    945.3"," ,E","     15.86","E","     18.43","E","     13.29","E"
"HRE00105196","1964","42.7667","16.8994","186.0","LASTOVO, HR","    550.9","","     550.9","E","        95","E","        51","E","         3","E","         0","E","         2","E","         0","E","       132","E","         0","E","   -2.0","E,0117, ","  42.4"," ,E,1101, ","   31.8","E,0720, ","","","","","","","-0.1","E,0208","","","","","","","    1398.2","2","    1398.2","E","    543.7"," ,E","     15.78","E","     18.37","E","     13.19","E"
"HRE00105196","1965","42.7667","16.8994","186.0","LASTOVO, HR","    518.2","","     518.2","E","        95","E","        53","E","         3","E","         0","E","         7","E","         0","E","       128","E","         3","E","   -3.5","E,0207, ","  35.7"," ,E,1211, ","   34.6","E,0725, ","","","","","","","0.0","E,0218","-3.5","E,0207","","","","","    1649.6","6","    1649.6","E","    523.5"," ,E","     15.21","E","     17.89","E","     12.52","E"
"HRE00105196","1966","42.7667","16.8994","186.0","LASTOVO, HR","    615.7","","     615.7","E","       105","E","        58","E","         5","E","         0","E","         6","E","         0","E","       152","E","         1","E","   -3.2","E,0107, ","  69.0"," ,E,0917, ","   34.0","E,0816, ","","","","","","","-1.0","E,0114","-3.2","E,0107","","","","","    1445.2","2","    1445.2","E","    743.4"," ,E","     15.96","E","     18.64","E","     13.28","E"
"HRE00105196","1967","42.7667","16.8994","186.0","LASTOVO, HR","    615.9","","     615.9","E","        79","E","        47","E","         7","E","         0","E","         7","E","         0","E","       144","E","         5","E","   -1.6","E,1221, ","  58.4"," ,E,1227, ","   34.7","E,0724, ","-1.6","E,1221","","","","","-0.5","E,0214","","","","","","","    1590.6","6","    1590.6","E","    635.2"," ,E","     15.79","E","     18.47","E","     13.10","E"
"HRE00105196","1968","42.7667","16.8994","186.0","LASTOVO, HR","    498.2","","     498.2","E","        97","E","        56","E","         8","E","         0","E","         8","E","         1","E","       150","E","         1","E","   -5.2","E,0113, ","  49.5"," ,E,0809, ","   34.0","E,0711, ","","","","","","","0.0","E,0313","-5.0","E,0114","-5.0","E,0114","","","    1378.6","6","    1378.6","E","    711.2"," ,E","     15.68","E","     18.39","E","     12.96","E"
"HRE00105196","1969","42.7667","16.8994","186.0","LASTOVO, HR","    538.7","","     538.7","E","       109","E","        72","E","         8","E","         0","E","         1","E","         0","E","       148","E","         0","E","   -1.0","E,0212, ","  51.5"," ,E,1207, ","   32.1","E,0727, ","","","","","","","-1.0","E,0212","","","","","","","    1522.6","6","    1522.6","E","    903.5"," ,E","     15.78","E","     18.42","E","     13.13","E"
"HRE00105196","1970","42.7667","16.8994","186.0","LASTOVO, HR","    600.2","","     600.2","E","        84","E","        51","E","         3","E","         0","E","         1","E","         0","E","       123","E","         1","E","   -1.7","E,0217, ","  37.0"," ,E,0304, ","   33.3","E,0807, ","","","","","","","-1.7","E,0217","","","","","","","    1549.2","2","    1549.2","E","    522.1"," ,E","     15.60","E","     18.37","E","     12.82","E"
