"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00346382","2010","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1209.9","","    1209.9","0","         0","0","        74","0","        10","0","       213","0","        74","0","  -14.4","0,0109,+","   38.9","0,0814,+","-1.1","0,1105","-3.9","0,1125","-5.6","0,1126","-6.7","0,1206","-10.0","0,1226","-2.8","0,0322","-2.8","0,0322","-6.7","0,0224","-6.7","0,0224","-13.3","0,0110","    2186.6","6","","","    2186.6","0","","","","","","","","","","","","","     16.10","0","     21.87","0","     10.33","0"
"USC00346382","2011","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1551.2","","    1551.2","K","         1","K","        73","K","        10","K","       223","K","       110","K","  -20.0","K,0210, ","   43.3","K,0805,+","-0.6","K,1103","-3.9","K,1104","-4.4","K,1128","-7.2","K,1206","","","-2.8","K,0315","-2.8","K,0315","-5.0","K,0212","-10.6","K,0211","-10.6","K,0211","    1883.0","0","","","    1883.0","K","","","","","","","","","","","","","     17.28","K","     24.01","K","     10.54","K"
"USC00346382","2012","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1377.6","","    1377.6","7","         0","7","        59","7","         2","7","       233","7","        97","7","  -10.6","7,1226, ","   43.9","7,0803,+","-1.7","7,1027","-2.2","7,1028","-6.7","7,1210","-6.7","7,1210","-10.6","7,1226","-0.6","K,0309","-2.8","K,0225","-8.3","K,0212","-8.3","K,0212","","","    1574.5","5","","","    1574.5","7","","","","","","","","","","","","","     17.89","7","     24.19","7","     11.57","7"
"USC00346382","2013","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1077.7","","    1077.7","7","         0","7","        91","7","        11","7","       197","7","        65","7","  -13.3","7,1210,+","   38.3","7,0831, ","-3.9","7,1112","-3.9","7,1112","-6.7","7,1113","-6.7","7,1113","-10.6","7,1206","0.0","7,0503","-6.7","7,0326","-6.7","7,0326","-6.7","7,0326","","","    1948.9","9","      28.3","7,3,2","    1948.9","7","      38.3","7,3,2","       0.0","7,3,2","       1.1","7,3,2","      13.0","7,3,2","      20.4","7,3,2","","","     15.30","7","     21.22","7","      9.37","7"
"USC00346382","2014","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1133.9","","    1133.9","7","         0","7","        81","7","        15","7","       208","7","        71","7","  -15.6","7,0106, ","   38.3","7,0825,+","-0.6","7,1101","-2.2","7,1111","-6.1","7,1112","-8.3","7,1117","","","-1.7","7,0415","-2.2","7,0324","-8.3","7,0304","-8.3","7,0304","-15.0","7,0303","    2242.1","1","      28.3","7,3,2","    2242.1","7","      35.0","7,3,2","      -0.6","7,3,2","       0.0","7,3,2","      14.6","7,3,2","      19.6","7,3,2","","","     15.59","7","     21.68","7","      9.50","7"
"USC00346382","2015","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1093.5","","    1093.5","7","         0","7","        69","7","         5","7","       219","7","        73","7","  -12.8","7,0305, ","   37.8","7,0907, ","0.0","7,1113","-2.2","7,1121","-5.6","7,1218","","","","","0.0","7,0307","-3.3","7,0306","-12.8","7,0305","-12.8","7,0305","-12.8","7,0305","    1948.0","0","      29.4","7,3,2","    1948.0","7","      37.2","7,3,2","       0.0","7,3,2","       0.0","7,3,2","      15.1","7,3,2","      20.2","7,3,2","   1550.0"," ,7","     16.33","7","     22.17","7","     10.49","7"
"USC00346382","2016","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      30.0","7,3,2","","","      37.2","7,3,2","      -0.6","7,3,2","       0.6","7,3,2","      16.0","7,3,2","      21.5","7,3,2","    770.9"," ,7","","","","","",""
"USC00346382","2017","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1094.0","","    1094.0","7","         1","7","        52","7","         4","7","       238","7","        63","7","  -18.9","7,0107, ","   38.3","7,0722, ","-1.1","7,1027","-2.8","7,1028","-7.8","7,1207","-7.8","7,1207","-8.9","7,1208","-1.1","7,0315","-3.3","7,0302","-5.0","7,0225","-6.7","7,0108","-18.9","7,0107","    1480.3","3","      30.0","7,3,2","    1480.3","7","      37.8","7,3,2","       1.1","7,3,2","       1.7","7,3,2","      15.6","7,3,2","      21.4","7,3,2","    918.3"," ,7","     16.99","7","     23.15","7","     10.84","7"
"USC00346382","2018","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1209.7","","    1209.7","7","         0","7","        86","7","         5","7","       201","7","        71","7","  -15.0","7,0117,+","   42.2","7,0720, ","-2.2","7,1109","-2.2","7,1109","-5.6","7,1110","-7.2","7,1113","","","0.0","7,0416","-4.4","7,0407","-4.4","7,0407","-12.8","7,0212","-12.8","7,0212","    1891.6","6","      30.0","7,3,2","    1891.6","7","      37.2","7,3,2","      -1.1","7,3,2","       0.0","7,3,2","      14.7","7,3,2","      20.1","7,3,2","   1114.6"," ,7","     15.95","7","     21.93","7","      9.97","7"
"USC00346382","2019","35.2361","-97.4649","360.0","NORMAN 2 NW MESONET, OK US","   1147.3","","    1147.3","7","         0","7","        78","7","         5","7","       204","7","        64","7","  -12.2","7,0304, ","   40.0","7,0812, ","-1.1","7,1012","-2.2","7,1030","-5.0","7,1031","-6.7","7,1111","-10.0","7,1112","-1.1","7,0331","-2.8","7,0316","-6.7","7,0306","-6.7","7,0306","-10.6","7,0305","    2082.9","9","      30.0","7,3,2","    2082.9","7","      37.2","7,3,2","       0.0","7,3,2","       1.7","7,3,2","      14.6","7,3,2","      19.5","7,3,2","   1071.4"," ,7","     15.88","7","     21.72","7","     10.03","7"
