"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00193946","1931","42.8","-71.05","36.3","KENOZA LAKE, MA US","       138","6","        72","6","        10","6","","","","","         9"," ","         3"," ","","","  54.4"," ,6,0308, ","","","","","","","","","","","","","","","","","","","","","   1036.1"," ,6","",""
"USC00193946","1932","42.8","-71.05","36.3","KENOZA LAKE, MA US","       132","6","        68","6","         9","6","","","","","","","","","",""," 112.0"," ,6,0916, ","","","","","","","","","","","","","","","","","","","","","   1054.4"," ,6","",""
"USC00193946","1933","42.8","-71.05","36.3","KENOZA LAKE, MA US","       140","6","        83","6","        13","6","","","","","","","","","","","  44.7"," ,6,0916, ","","","","","","","","","","","","","","","","","","","","","   1136.9"," ,6","",""
"USC00193946","1934","42.8","-71.05","36.3","KENOZA LAKE, MA US","       128","6","        79","6","         9","6","","","","","","","","","","","  69.9"," ,6,0917, ","","","","","","","","","","","","","","","","","","","","","   1031.1"," ,6","",""
"USC00193946","1935","42.8","-71.05","36.3","KENOZA LAKE, MA US","       124","6","        70","6","        12","6","","","","","","","","","","","  53.1"," ,6,0109, ","","","","","","","","","","","","","","","","","","","","","   1087.4"," ,6","",""
"USC00193946","1936","42.8","-71.05","36.3","KENOZA LAKE, MA US","       144","6","        81","6","        16","6","         2"," ","       114","6","","","","","  -21.7","6,0130, ","  54.6"," ,6,1210, ","0.0","6,1013","-3.3","6,1027","-4.4","6,1028","-6.7","6,1116","-10.0","6,1118","0.0","6,0522","-2.2","6,0404","-15.6","6,0308","-15.6","6,0308","-15.6","6,0308","   1263.8"," ,6","      4.52","6"
"USC00193946","1937","42.8","-71.05","36.3","KENOZA LAKE, MA US","       133","6","        86","6","        10","6","","","","","","","","","","","  78.5"," ,6,1206, ","","","","","","","","","","","","","","","","","","","","","   1205.6"," ,6","",""
"USC00193946","1938","42.8","-71.05","36.3","KENOZA LAKE, MA US","       146","6","       101","6","        14","6","","","","","","","","","","","  58.7"," ,6,0718, ","","","","","","","","","","","","","","","","","","","","","   1419.4"," ,6","",""
"USC00193946","1939","42.8","-71.05","36.3","KENOZA LAKE, MA US","       112","6","        76","6","         3","6","","","","","","","","","","","  53.6"," ,6,0825, ","","","","","","","","","","","","","","","","","","","","","    945.6"," ,6","",""
"USC00193946","1940","42.8","-71.05","36.3","KENOZA LAKE, MA US","       143","6","        80","6","        14","6","","","","","","","","","","","  60.7"," ,6,0114, ","","","","","","","","","","","","","","","","","","","","","   1071.2"," ,6","",""
"USC00193946","1941","42.8","-71.05","36.3","KENOZA LAKE, MA US","       104","6","        63","6","         6","6","","","","","","","","","","","  70.1"," ,6,1214, ","","","","","","","","","","","","","","","","","","","","","    790.5"," ,6","",""
"USC00193946","1942","42.8","-71.05","36.3","KENOZA LAKE, MA US","       135","6","        84","6","        10","6","        11"," ","       115","6","","","","","  -25.6","6,1220, ","  65.0"," ,6,1202, ","0.0","6,0930","-2.2","6,1105","-6.1","6,1114","-6.7","6,1115","-11.7","6,1214","-1.7","6,0405","-2.8","6,0329","-4.4","6,0227","-7.2","6,0224","-8.9","6,0222","   1105.8"," ,6","      4.76","6"
"USC00193946","1943","42.8","-71.05","36.3","KENOZA LAKE, MA US","       119","6","        70","6","         8","6","         7"," ","       135","6","","","","","  -27.8","6,0216, ","  67.3"," ,6,0723, ","-1.1","6,1010","-4.4","6,1011","-4.4","6,1011","-6.7","6,1129","-14.4","6,1211","-0.6","6,0420","-3.9","6,0416","-4.4","6,0412","-7.8","6,0407","-17.2","6,0309","    931.0"," ,6","      4.10","6"
"USC00193946","1944","42.8","-71.05","36.3","KENOZA LAKE, MA US","       124","6","        75","6","         9","6","         1"," ","       126","6","","","","","  -17.8","6,0117, ","  82.0"," ,6,0915, ","-3.3","6,1031","-3.3","6,1031","-11.1","6,1203","-11.1","6,1203","-11.1","6,1203","0.0","6,0423","-2.2","6,0406","-4.4","6,0405","-9.4","6,0322","-9.4","6,0322","   1063.5"," ,6","      4.80","6"
"USC00193946","1945","42.8","-71.05","36.3","KENOZA LAKE, MA US","       141","6","        87","6","         7","6","         2","6","       105","6","","","","","  -21.1","6,0125, ","  54.4"," ,6,1207, ","-3.3","6,1029","-3.3","6,1029","-4.4","6,1127","-7.2","6,1202","-12.2","6,1212","0.0","6,0424","-3.3","6,0407","-6.1","6,0312","-7.8","6,0305","-9.4","6,0221","   1074.0"," ,6","      5.48","6"
