"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00023080","1893","31.78333","-106.5","1131.1","EL PASO, TX US","   1125.9","","    1125.9","Z","        41","Z","        20","Z","         4","Z","        1","","         2","Z","         0","Z","        49","Z","         0","Z","       245","Z","        93","Z","","","   -7.8","Z,0113, ","    25"," ,Z,0215, ","    56"," ,Z,0215, ","  43.9"," ,Z,0805, ","   40.0","Z,0629, ","-2.2","Z,1112","-2.2","Z,1112","-6.1","Z,1207","-6.7","Z,1231","","","-0.6","Z,0314","-2.2","Z,0305","-4.4","Z,0119","-7.8","Z,0113","","","","","","","    276.4"," ,Z","       91"," ,Z","     17.72","Z","     25.02","Z","     10.42","Z"
"USW00023080","1894","31.78333","-106.5","1131.1","EL PASO, TX US","   1124.6","","    1124.6","Z","        31","Z","        14","Z","         1","Z","        0","","         0","Z","         0","Z","        52","Z","         1","Z","       253","Z","        91","Z","","","  -10.0","Z,0108, ","     0"," ,Z,1231,+","     0","T,Z,0318,+","  27.7"," ,Z,0721, ","   38.9","Z,0704, ","-0.6","Z,1030","-3.3","Z,1117","-5.0","Z,1226","","","","","-2.8","Z,0322","-2.8","Z,0322","-7.8","Z,0225","-7.8","Z,0225","-8.9","Z,0224","    1479.2","2","    1479.2","Z","    108.0"," ,Z","        0","T,Z","     17.46","Z","     24.81","Z","     10.12","Z"
"USW00023080","1895","31.78333","-106.5","1131.1","EL PASO, TX US","   1029.4","","    1029.4","Z","        57","Z","        26","Z","         1","Z","        0","","         1","Z","         0","Z","        62","Z","         1","Z","       234","Z","        89","Z","","","  -13.3","Z,0215, ","     0","T,Z,1229,+","    64"," ,Z,0127, ","  51.8"," ,Z,0521, ","   37.8","Z,0707,+","-1.1","Z,1110","-2.2","Z,1126","-4.4","Z,1206","-7.8","Z,1226","-9.4","Z,1230","-0.6","Z,0406","-4.4","Z,0302","-4.4","Z,0302","-10.6","Z,0216","-10.6","Z,0216","    1306.9","9","    1306.9","Z","    259.9"," ,Z","       70"," ,Z","     16.88","Z","     24.13","Z","      9.62","Z"
"USW00023080","1896","31.78333","-106.5","1131.1","EL PASO, TX US","   1175.5","","    1175.5","Z","        48","Z","        25","Z","         1","Z","        0","","         0","Z","         0","Z","        49","Z","         0","Z","       253","Z","        94","Z","","","  -10.0","Z,0101, ","     0"," ,Z,1231,+","     8"," ,Z,0207, ","  32.5"," ,Z,0131, ","   39.4","Z,0617,+","-1.1","Z,1105","-2.2","Z,1128","-5.0","Z,1130","","","","","-0.6","Z,0319","-3.3","Z,0307","-5.0","Z,0210","-10.0","Z,0101","-10.0","Z,0101","    1486.6","6","    1486.6","Z","    248.9"," ,Z","        8"," ,Z","     17.95","Z","     25.36","Z","     10.54","Z"
"USW00023080","1897","31.78333","-106.5","1131.1","EL PASO, TX US","   1066.7","","    1066.7","Z","        51","Z","        27","Z","         2","Z","        0","","         2","Z","         0","Z","        64","Z","         0","Z","       252","Z","        74","Z","","","   -8.3","Z,0105, ","     0","T,Z,0128,+","    46"," ,Z,0102, ","  46.2"," ,Z,0630, ","   38.9","Z,0624,+","-0.6","Z,1110","-3.3","Z,1203","-7.8","Z,1204","-7.8","Z,1204","","","-1.7","Z,0324","-4.4","Z,0323","-4.4","Z,0323","-6.7","Z,0106","","","    1382.2","2","    1382.2","Z","    315.4"," ,Z","       79"," ,Z","     17.28","Z","     24.63","Z","      9.94","Z"
"USW00023080","1898","31.78333","-106.5","1131.1","EL PASO, TX US","   1035.4","","    1035.4","Z","        56","Z","        24","Z","         0","Z","        4","","         1","Z","         0","Z","        66","Z","         2","Z","       246","Z","        82","Z","","","   -9.4","Z,1210,+","    76"," ,Z,1210,+","    58"," ,Z,1209, ","  12.7"," ,Z,0808, ","   38.9","Z,0626, ","0.0","Z,1021","-2.8","Z,1116","-6.7","Z,1122","-6.7","Z,1122","-9.4","Z,1209","0.0","Z,0328","-5.0","Z,0324","-5.0","Z,0324","-8.3","Z,0125","","","    1422.0","0","    1422.0","Z","    156.9"," ,Z","       87"," ,Z","     16.86","Z","     24.22","Z","      9.49","Z"
"USW00023080","1899","31.78333","-106.5","1131.1","EL PASO, TX US","   1122.0","","    1122.0","Z","        40","Z","        17","Z","         1","Z","        1","","         1","Z","         0","Z","        64","Z","         1","Z","       246","Z","        90","Z","","","  -15.0","Z,0212, ","    25"," ,Z,1219, ","    38"," ,Z,1219, ","  43.2"," ,Z,0718, ","   37.8","Z,0902, ","-1.1","Z,1102","-2.2","Z,1103","-5.6","Z,1222","","","","","0.0","Z,0316","-2.2","Z,0312","-5.0","Z,0215","-10.0","Z,0213","-10.0","Z,0213","    1584.9","9","    1584.9","Z","    185.8"," ,Z","       38"," ,Z","     17.42","Z","     25.02","Z","      9.82","Z"
"USW00023080","1900","31.78333","-106.5","1131.1","EL PASO, TX US","   1219.6","","    1219.6","Z","        48","Z","        17","Z","         2","Z","        0","","         0","Z","         0","Z","        60","Z","         0","Z","       247","Z","       110","Z","","","   -8.3","Z,0218, ","     0"," ,Z,1231,+","     0","T,Z,1229, ","  38.1"," ,Z,0902, ","   39.4","Z,0627, ","-1.1","Z,1101","-2.2","Z,1201","-5.6","Z,1204","","","","","-2.8","Z,0301","-2.8","Z,0301","-8.3","Z,0218","-8.3","Z,0218","","","    1358.3","3","    1358.3","Z","    202.2"," ,Z","        0","T,Z","     17.91","Z","     25.71","Z","     10.11","Z"
"USW00023080","1901","31.78333","-106.5","1131.1","EL PASO, TX US","   1192.1","","    1192.1","Z","        51","Z","        26","Z","         0","Z","        0","","         0","Z","         0","Z","        45","Z","         0","Z","       251","Z","       111","Z","","","   -7.2","Z,1215, ","     0"," ,Z,1231,+","     8"," ,Z,0417, ","  19.1"," ,Z,1021, ","   39.4","Z,0620, ","0.0","Z,1202","-5.6","Z,1209","-5.6","Z,1209","-7.2","Z,1215","","","-0.6","Z,0321","-3.3","Z,0214","-6.1","Z,0112","-6.7","Z,0103","","","    1408.0","0","    1408.0","Z","    220.7"," ,Z","        8"," ,Z","     17.89","Z","     25.43","Z","     10.35","Z"
"USW00023080","1902","31.78333","-106.5","1131.1","EL PASO, TX US","   1127.8","","    1127.8","Z","        45","Z","        24","Z","         0","Z","        0","","         0","Z","         0","Z","        46","Z","         0","Z","       252","Z","        93","Z","","","   -4.4","Z,1127,+","     0"," ,Z,1231,+","     0","T,Z,1203,+","  22.4"," ,Z,0721, ","   40.6","Z,0625, ","-1.1","Z,1103","-4.4","Z,1127","-4.4","Z,1127","","","","","0.0","Z,0326","-2.8","Z,0305","-4.4","Z,0130","","","","","    1248.4","4","    1248.4","Z","    258.3"," ,Z","        0","T,Z","     17.95","Z","     25.62","Z","     10.28","Z"
