"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN024090600","1901","25.033","88.133","31.0","MALDA, IN","        77","I","        59","I","        13","I","","","","","","","  86.6"," ,I,0924, ","   1177.6"," ,I","",""
"IN024090600","1902","25.033","88.133","31.0","MALDA, IN","        97","I","        73","I","        18","I","","","","","","","  66.0"," ,I,0731, ","   1253.5"," ,I","",""
"IN024090600","1903","25.033","88.133","31.0","MALDA, IN","        78","I","        60","I","        14","I","","","","","",""," 117.3"," ,I,0912, ","   1030.6"," ,I","",""
"IN024090600","1904","25.033","88.133","31.0","MALDA, IN","        88","I","        66","I","        12","I","","","","","","","  79.0"," ,I,0528, ","   1005.3"," ,I","",""
"IN024090600","1905","25.033","88.133","31.0","MALDA, IN","        99","I","        86","I","        23","I","","","","","",""," 134.6"," ,I,0831, ","   1686.0"," ,I","",""
"IN024090600","1906","25.033","88.133","31.0","MALDA, IN","        89","I","        75","I","        14","I","","","","","",""," 149.9"," ,I,1001, ","   1246.3"," ,I","",""
"IN024090600","1907","25.033","88.133","31.0","MALDA, IN","        87","I","        66","I","        16","I","","","","","",""," 174.2"," ,I,0924, ","   1276.4"," ,I","",""
"IN024090600","1908","25.033","88.133","31.0","MALDA, IN","        56","I","        45","I","        12","I","","","","","","","  64.0"," ,I,0622, ","    910.9"," ,I","",""
"IN024090600","1909","25.033","88.133","31.0","MALDA, IN","        84","I","        73","I","        17","I","","","","","","","  99.1"," ,I,0721, ","   1239.9"," ,I","",""
"IN024090600","1910","25.033","88.133","31.0","MALDA, IN","        79","I","        74","I","        17","I","","","","","",""," 131.6"," ,I,1007, ","   1339.3"," ,I","",""
"IN024090600","1911","25.033","88.133","31.0","MALDA, IN","        83","I","        76","I","        17","I","","","","","","","  90.2"," ,I,1013, ","   1496.7"," ,I","",""
"IN024090600","1915","25.033","88.133","31.0","MALDA, IN","        84","I","        63","I","        13","I","","","","","",""," 117.1"," ,I,0630, ","   1068.9"," ,I","",""
"IN024090600","1916","25.033","88.133","31.0","MALDA, IN","        98","I","        87","I","        23","I","","","","","",""," 203.2"," ,I,0917, ","   1871.6"," ,I","",""
"IN024090600","1917","25.033","88.133","31.0","MALDA, IN","       106","I","        78","I","        25","I","","","","","",""," 203.2"," ,I,0901, ","   2237.7"," ,I","",""
"IN024090600","1918","25.033","88.133","31.0","MALDA, IN","        84","I","        64","I","        32","I","","","","","",""," 188.0"," ,I,0826, ","   2306.4"," ,I","",""
"IN024090600","1919","25.033","88.133","31.0","MALDA, IN","       109","I","        79","I","        22","I","","","","","",""," 162.1"," ,I,0721, ","   1960.4"," ,I","",""
"IN024090600","1921","25.033","88.133","31.0","MALDA, IN","        87","I","        73","I","        27","I","","","","","","","  91.7"," ,I,0714, ","   1669.7"," ,I","",""
"IN024090600","1923","25.033","88.133","31.0","MALDA, IN","        83","I","        56","I","        15","I","","","","","","","  87.6"," ,I,0602, ","   1096.8"," ,I","",""
