"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00400137","1976","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","        90","0","        69","0","        15","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0108, ","  81.3"," ,0,0514, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1284.6"," ,0","        0","T,0","","","","","",""
"USC00400137","1977","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1033.1","","    1033.1","0","        92","0","        72","0","        15","0","","","","","         2","0","        89","0","        16","0","       216","0","        77","0","","","  -19.4","0,0117, ","","","","","  87.4"," ,0,0304, ","   38.3","0,0708, ","0.0","0,1012","-2.2","0,1111","-7.2","0,1126","-7.2","0,1126","-8.9","0,1207","0.0","0,0406","-2.8","0,0323","-6.1","0,0228","-6.7","0,0221","-10.6","0,0216","    2379.0","0","","","","","    2379.0","0","","","","","","","","","","","","","","","","","","","","","   1252.3"," ,0","","","     15.23","0","     21.77","0","      8.69","0"
"USC00400137","1978","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    909.4","","     909.4","0","        98","0","        70","0","        15","0","","","","","         0","0","       103","0","        28","0","       213","0","        74","0","","","  -13.3","0,0222,+","","","",""," 141.0"," ,0,1204, ","   37.2","0,0731, ","0.0","0,1007","-2.2","0,1008","-7.8","0,1209","-7.8","0,1209","-9.4","0,1210","0.0","0,0421","-2.8","0,0318","-5.6","0,0306","-10.0","0,0305","-10.0","0,0305","    2482.2","2","","","","","    2482.2","0","","","","","","","","","","","","","","","","","","","","","   1210.8"," ,0","","","     14.11","0","     20.80","0","      7.43","0"
"USC00400137","1979","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    758.3","","     758.3","0","       110","0","        90","0","        29","0","","","","","         1","0","        95","0","        18","0","       199","0","        30","0","","","  -17.8","0,0209, ","","","","","  94.0"," ,0,1123, ","   34.4","0,0809,+","-1.1","0,1014","-3.3","0,1113","-5.0","0,1129","-7.8","0,1130","-8.9","0,1203","0.0","0,0327","-2.8","0,0326","-5.0","0,0228","-6.7","0,0227","-12.8","0,0220","    2277.1","1","","","","","    2277.1","0","","","","","","","","","","","","","","","","","","","","","   1896.8"," ,0","","","     13.95","0","     20.00","0","      7.90","0"
"USC00400137","1980","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1079.8","","    1079.8","0","        90","0","        62","0","        14","0","","","","","         0","0","        78","0","        11","0","       199","0","        88","0","","","  -12.2","0,0303,+","","","",""," 108.2"," ,0,0317, ","   40.6","0,0715, ","-1.1","0,1030","-2.2","0,1031","-4.4","0,1120","-9.4","0,1220","-9.4","0,1220","-1.7","0,0322","-2.8","0,0318","-10.0","0,0304","-10.0","0,0304","-10.0","0,0304","    2212.3","3","","","","","    2212.3","0","","","","","","","","","","","","","","","","","","","","","   1189.0"," ,0","","","     15.03","0","     21.43","0","      8.63","0"
"USC00400137","1981","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    878.1","","     878.1","0","        94","0","        73","0","         7","0","        0","","         0","0","         0","0","        88","0","         8","0","       207","0","        46","0","","","  -15.0","0,1219,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.2"," ,0,0901, ","   36.1","0,0816,+","-3.3","0,1024","-3.3","0,1024","-7.2","0,1121","-7.2","0,1121","-11.1","0,1218","-1.1","0,0325","-2.8","0,0319","-4.4","0,0309","-12.8","0,0213","-12.8","0,0213","    2104.0","0","","","","","    2104.0","0","","","","","","","","","","","","","","","","","","","","","   1114.3"," ,0","        0"," ,0","     14.98","0","     21.35","0","      8.61","0"
"USC00400137","1982","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    898.6","","     898.6","0","       129","0","        92","0","        19","0","","","","","         3","0","        81","0","        12","0","       205","0","        44","0","","","  -20.6","0,0117, ","","","","","  97.3"," ,0,1204, ","   35.0","0,0806,+","-0.6","0,1024","-2.2","0,1104","-5.6","0,1105","-8.3","0,1213","","","-1.7","0,0410","-3.9","0,0309","-6.1","0,0308","-6.7","0,0212","-11.7","0,0211","    2110.4","4","      28.9","0,0,2","","","    2110.4","0","      36.1","0,0,2","","","      -2.8","0,0,2","","","      -0.6","0,0,2","","","      14.4","0,0,2","","","      20.0","0,0,2","","","   1712.5"," ,0","","","     15.20","0","     21.30","0","      9.10","0"
"USC00400137","1983","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    922.7","","     922.7","0","        97","0","        73","0","        23","0","","","         0","0","         1","0","        81","0","         7","0","       200","0","        71","0","","","  -19.4","0,1226, ","","","    13"," ,0,1220, ","  74.9"," ,0,0519, ","   37.8","0,0826,+","-1.1","0,1105","-3.3","0,1112","-6.1","0,1207","-7.2","0,1217","-9.4","0,1219","0.0","0,0420","-2.8","0,0325","-4.4","0,0322","-6.7","0,0208","-8.9","0,0116","    1983.9","9","      30.6","0,0,2","","","    1983.9","0","      38.3","0,0,2","","","      -4.4","0,0,2","","","      -0.6","0,0,2","","","      14.6","0,0,2","","","      20.4","0,0,2","","","   1528.7"," ,0","       13"," ,0","     14.65","0","     20.87","0","      8.42","0"
"USC00400137","1984","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","       105","0","        84","0","        21","0","","","","","","","","","         4","0","       200","0","        48","0","","","","","","","","","  69.1"," ,0,0502, ","   35.6","0,0710, ","","","","","","","","","","","","","","","","","","","","","    2224.0","0","      28.9","0,0,2","","","    2224.0","0","      38.9","0,0,2","","","      -4.4","0,0,2","","","      -0.6","0,0,2","","","      14.6","0,0,2","","","      20.5","0,0,2","","","   1473.9"," ,0","","","","","     21.45","0","",""
"USC00400137","1985","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      29.4","0,0,2","","","","","      38.3","0,0,2","","","       0.6","0,0,2","","","       1.7","0,0,2","","","      15.2","0,0,2","","","      20.6","0,0,2","","","","","","","","","","","",""
