"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA002100942","1990","63.0333","-133.3833","686.0","RUSSELL CREEK, YT CA","       129","C","        61","C","         1","C","        18","C","       127","C","       255","C","  -51.0","C,0130,+","   100"," ,C,1222,+","  27.4"," ,C,0623, ","-3.0","C,0823","-3.0","C,0823","-6.0","C,0908","-12.5","C,1005","-12.5","C,1005","-0.5","C,0712","-4.0","C,0603","-5.0","C,0519","-7.0","C,0510","-10.0","C,0416","    475.3"," ,C","     1464"," ,C","    -12.13","C"
"CA002100942","1991","63.0333","-133.3833","686.0","RUSSELL CREEK, YT CA","       132","C","        81","C","         0","C","        37","C","","","","","","","   230"," ,C,1130, ","  24.4"," ,C,0906, ","","","","","","","","","","","","","","","","","","","","","    686.3"," ,C","     3101"," ,C","",""
"CA002100942","1992","63.0333","-133.3833","686.0","RUSSELL CREEK, YT CA","       129","C","        80","C","         0","C","        35","C","       113","C","       274","C","  -48.0","C,1229,+","   140"," ,C,1212, ","  14.0"," ,C,1212, ","0.0","C,0813","-5.0","C,0821","-5.0","C,0821","-11.0","C,0913","-11.0","C,0913","0.0","C,0625","-2.5","C,0610","-9.0","C,0521","-9.0","C,0521","-9.0","C,0521","    497.2"," ,C","     2172"," ,C","    -10.35","C"
