"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033877","1936","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        80","I","        33","I","         2","I","","","","","","","","","","","","","  77.8"," ,I,0707, ","","","","","","","","","","","","","","","","","","","","","","","    338.3"," ,I","","","","","",""
"UPM00033877","1937","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       104","I","        52","I","         0","I","","","","","","","","","","","","","  22.2"," ,I,0806, ","","","","","","","","","","","","","","","","","","","","","","","    434.0"," ,I","","","","","",""
"UPM00033877","1938","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        96","I","        33","I","         2","I","","","","","","","","","","","","","  30.0"," ,I,0602, ","","","","","","","","","","","","","","","","","","","","","","","    345.6"," ,I","","","","","",""
"UPM00033877","1939","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        95","I","        43","I","         3","I","","","","","","","","","","","","","  37.8"," ,I,0529, ","","","","","","","","","","","","","","","","","","","","","","","    427.8"," ,I","","","","","",""
"UPM00033877","1944","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       101","I","        31","I","         1","I","","","","","","","","","","","","","  41.0"," ,I,0707, ","","","","","","","","","","","","","","","","","","","","","","","    286.7"," ,I","","","","","",""
"UPM00033877","1945","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       113","I","        44","I","         1","I","","","","","","","","","","","","","  55.7"," ,I,0615, ","","","","","","","","","","","","","","","","","","","","","","","    354.1"," ,I","","","","","",""
"UPM00033877","1947","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        91","I","        33","I","         0","I","","","","","","","","","","","","","  25.2"," ,I,0829, ","","","","","","","","","","","","","","","","","","","","","","","    303.5"," ,I","","","","","",""
"UPM00033877","1948","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        88","I","        25","I","         0","I","","","","","","","","","","","","","  19.0"," ,I,0827, ","","","","","","","","","","","","","","","","","","","","","","","    230.6"," ,I","","","","","",""
"UPM00033877","1949","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        85","I","        32","I","         0","I","","","","","","","","","","","","","  21.5"," ,I,1214, ","","","","","","","","","","","","","","","","","","","","","","","    319.2"," ,I","","","","","",""
"UPM00033877","1950","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        93","I","        35","I","         0","I","","","","","","","","","","","","","  19.7"," ,I,1013, ","","","","","","","","","","","","","","","","","","","","","","","    310.3"," ,I","","","","","",""
"UPM00033877","1951","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        73","I","        27","I","         1","I","","","","","","","","","","","","","  29.8"," ,I,0903, ","","","","","","","","","","","","","","","","","","","","","","","    284.5"," ,I","","","","","",""
"UPM00033877","1953","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        81","I","        35","I","         0","I","","","","","","","","","","","","","  18.2"," ,I,0210, ","","","","","","","","","","","","","","","","","","","","","","","    309.3"," ,I","","","","","",""
"UPM00033877","1954","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        76","I","        31","I","         0","I","","","","","","","","","","","","","  20.4"," ,I,0718, ","","","","","","","","","","","","","","","","","","","","","","","    240.4"," ,I","","","","","",""
"UPM00033877","1955","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        92","I","        47","I","         2","I","","","","","","","","","","","","","  36.7"," ,I,0730, ","","","","","","","","","","","","","","","","","","","","","","","    448.2"," ,I","","","","","",""
"UPM00033877","1956","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       111","I","        44","I","         1","I","","","","","","","","","","","","","  26.1"," ,I,0802, ","","","","","","","","","","","","","","","","","","","","","","","    370.8"," ,I","","","","","",""
"UPM00033877","1957","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        86","I","        35","I","         1","I","","","","","","","","","","","","","  29.1"," ,I,0725, ","","","","","","","","","","","","","","","","","","","","","","","    322.0"," ,I","","","","","",""
"UPM00033877","1959","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        92","I","        39","I","         1","I","","","","","","","","","","","","","  26.0"," ,I,0528, ","","","","","","","","","","","","","","","","","","","","","","","    372.2"," ,I","","","","","",""
"UPM00033877","1960","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       102","I","        55","I","         1","I","","","","","","","","","","","","","  43.4"," ,I,1020, ","","","","","","","","","","","","","","","","","","","","","","","    488.8"," ,I","","","","","",""
"UPM00033877","1961","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        95","I","        37","I","         2","I","","","","","","","","","","","","","  31.5"," ,I,0426, ","","","","","","","","","","","","","","","","","","","","","","","    369.7"," ,I","","","","","",""
"UPM00033877","1963","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        87","I","        40","I","         0","I","","","","","","","","","","","","","  24.5"," ,I,0930, ","","","","","","","","","","","","","","","","","","","","","","","    329.5"," ,I","","","","","",""
"UPM00033877","1965","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        89","I","        43","I","         1","I","","","","","","","","","","","","","  34.2"," ,I,0509, ","","","","","","","","","","","","","","","","","","","","","","","    410.4"," ,I","","","","","",""
"UPM00033877","1966","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       134","I","        59","I","         1","I","","","","","","","","","","","","","  39.1"," ,I,0605, ","","","","","","","","","","","","","","","","","","","","","","","    493.8"," ,I","","","","","",""
"UPM00033877","1967","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       106","I","        44","I","         1","I","","","","","","","","","","","","","  35.5"," ,I,0709, ","","","","","","","","","","","","","","","","","","","","","","","    398.2"," ,I","","","","","",""
"UPM00033877","1968","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       113","I","        41","I","         0","I","","","","","","","","","","","","","  23.0"," ,I,0822, ","","","","","","","","","","","","","","","","","","","","","","","    372.5"," ,I","","","","","",""
"UPM00033877","1970","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       118","I","        52","I","         3","I","","","","","","","","","","","","","  28.6"," ,I,0826, ","","","","","","","","","","","","","","","","","","","","","","","    499.7"," ,I","","","","","",""
"UPM00033877","1971","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       103","I","        42","I","         0","I","","","","","","","","","","","","","  16.5"," ,I,0510, ","","","","","","","","","","","","","","","","","","","","","","","    319.1"," ,I","","","","","",""
"UPM00033877","1972","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        83","I","        38","I","         5","I","","","","","","","","","","","","","  37.0"," ,I,0702, ","","","","","","","","","","","","","","","","","","","","","","","    443.5"," ,I","","","","","",""
"UPM00033877","1973","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       125","I","        51","I","         2","I","","","","","","","","","","","","","  48.7"," ,I,0528, ","","","","","","","","","","","","","","","","","","","","","","","    607.5"," ,I","","","","","",""
"UPM00033877","1974","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       114","I","        43","I","         2","I","","","","","","","","","","","","","  34.3"," ,I,0815, ","","","","","","","","","","","","","","","","","","","","","","","    422.9"," ,I","","","","","",""
"UPM00033877","1975","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        83","I","        25","I","         1","I","","","","","","","","","","","","","  30.4"," ,I,0324, ","","","","","","","","","","","","","","","","","","","","","","","    276.2"," ,I","","","","","",""
"UPM00033877","1977","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       138","I","        52","I","         1","I","","","","","","","","","","","","","  36.8"," ,I,0413, ","","","","","","","","","","","","","","","","","","","","","","","    467.8"," ,I","","","","","",""
"UPM00033877","1979","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       104","I","        41","I","         2","I","","","","","","","","","","","","","  33.7"," ,I,0801, ","","","","","","","","","","","","","","","","","","","","","","","    408.9"," ,I","","","","","",""
"UPM00033877","1980","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       114","I","        48","I","         0","I","","","","","","","","","","","","","  22.6"," ,I,0823, ","","","","","","","","","","","","","","","","","","","","","","","    421.3"," ,I","","","","","",""
"UPM00033877","1982","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        89","I","        40","I","         3","I","","","","","","","","","","","","","  28.7"," ,I,0709, ","","","","","","","","","","","","","","","","","","","","","","","    386.1"," ,I","","","","","",""
"UPM00033877","1984","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        99","I","        35","I","         3","I","","","","","","","","","","","","","  56.0"," ,I,0716, ","","","","","","","","","","","","","","","","","","","","","","","    424.5"," ,I","","","","","",""
"UPM00033877","1985","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       114","I","        54","I","         2","I","","","","","","","","","","","","","  51.6"," ,I,0705, ","","","","","","","","","","","","","","","","","","","","","","","    499.5"," ,I","","","","","",""
"UPM00033877","1986","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        97","I","        43","I","         1","I","","","","","","","","","","","","","  41.4"," ,I,0809, ","","","","","","","","","","","","","","","","","","","","","","","    426.3"," ,I","","","","","",""
"UPM00033877","1987","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       101","I","        46","I","         2","I","","","","","","","","","","","","","  44.4"," ,I,0623, ","","","","","","","","","","","","","","","","","","","","","","","    363.8"," ,I","","","","","",""
"UPM00033877","1988","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","       128","I","        49","I","         1","I","","","","","","","","","","","","","  50.2"," ,I,0722, ","","","","","","","","","","","","","","","","","","","","","","","    515.8"," ,I","","","","","",""
"UPM00033877","1990","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","","","","","        98","I","        34","I","         1","I","","","","","","","","","","","","","  34.5"," ,I,0602, ","","","","","","","","","","","","","","","","","","","","","","","    321.7"," ,I","","","","","",""
"UPM00033877","2001","46.85","34.4","53.0","NIZHNI SIROHOZY, UP","    461.1","","     461.1","u","","","","","","","         3","u","        99","u","        35","u","       131","u","        38","u","  -19.4","u,1220, ","","","   37.4","u,0725, ","-0.1","u,1017","-3.1","u,1025","-6.2","u,1026","-7.3","u,1027","-10.2","u,1206","-2.3","u,0401","-2.3","u,0401","-7.5","u,0330","-7.5","u,0330","-11.9","u,0226","","","     10.56","u","     15.85","u","      5.26","u"
