"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00292442","1920","32.25","-107.78333","1322.8","DEMING NEAR, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1855.5","5","    1855.5"," ","","","","","",""
"USC00292442","1921","32.25","-107.78333","1322.8","DEMING NEAR, NM US","        46","6","        19","6","         1","6","         0","6","","","","","","","     0","T,6,0206, ","  25.4"," ,6,0804, ","","","","","","","","","","","","","","","","","","","","","","","    150.3"," ,6","        0","T,6","",""
"USC00292442","1922","32.25","-107.78333","1322.8","DEMING NEAR, NM US","        44","6","        23","6","         1","6","","","         0","6","       123","6","  -12.8","6,0121, ","","","  28.4"," ,6,1014, ","-1.7","6,1029","-3.9","6,1031","-4.4","6,1101","-8.3","6,1219","0.0","6,0511","-5.0","6,0419","-5.0","6,0419","-7.2","6,0311","-9.4","6,0304","","","","","    185.3"," ,6","","","      5.91","6"
"USC00292442","1923","32.25","-107.78333","1322.8","DEMING NEAR, NM US","        68","6","        33","6","         2","6","         2","6","","","","","","","   102"," ,6,1210, ","  30.5"," ,6,0822, ","","","","","","","","","","","","","","","","","","","","","","","    333.9"," ,6","      153"," ,6","",""
