"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001180R07","1983","56.3333","-120.1","711.0","BOUNDARY LAKE, BC CA","        88","C","        46","C","         1","C","         9","C","","","","","","","   100"," ,C,0109, ","  26.8"," ,C,0624, ","","","","","","","","","","","","","","","","","","","","","    430.3"," ,C","      754"," ,C","",""
"CA001180R07","1986","56.3333","-120.1","711.0","BOUNDARY LAKE, BC CA","","","","","","","","","        57","C","       212","C","  -46.0","C,0219, ","","","","","0.0","C,0819","-5.0","C,0912","-5.0","C,0912","-7.0","C,1028","-10.5","C,1029","-1.0","C,0625","-3.0","C,0521","-5.0","C,0426","-7.0","C,0415","-14.0","C,0414","","","","","     -5.17","C"
