"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00144562","1953","38.9742","-95.2359","243.8","LAWRENCE KANSAS RIVER, KS US","","","","","","","         1"," ","","","",""
"USC00144562","1961","38.9742","-95.2359","243.8","LAWRENCE KANSAS RIVER, KS US","","","","","","","         2"," ","","","",""
"USC00144562","1962","38.9742","-95.2359","243.8","LAWRENCE KANSAS RIVER, KS US","","","","","","","         1"," ","","","",""
"USC00144562","1969","38.9742","-95.2359","243.8","LAWRENCE KANSAS RIVER, KS US","        29","6","       152","6","        34","6","","","   36.7","6,0715,+","     16.58","6"
