"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00104443","1954","68.1503","14.6506","11.0","SKROVA FYR, NO","     14.3","","      14.3","E","       81","","         0","E","       102","E","        30","E","        12","E","         0","E","   -7.1","E,0108, ","   640"," ,E,0113, ","   25.7","E,0715, ","-0.4","E,1018","","","","","","","","","-1.5","E,0428","-2.3","E,0425","-5.4","E,0324","-7.1","E,0108","","","","","","","      5.85","E","      7.73","E","      3.97","E"
"NOE00104443","1955","68.1503","14.6506","11.0","SKROVA FYR, NO","      0.0","","       0.0","E","      156","","         0","E","       154","E","        73","E","         3","E","         0","E","  -10.8","E,1213,+","   900"," ,E,0223, ","   21.9","E,0818, ","-0.2","E,1019","-2.6","E,1031","-6.6","E,1127","-6.7","E,1128","-10.1","E,1211","-0.6","E,0523","-2.2","E,0425","-5.3","E,0402","-6.7","E,0317","-10.0","E,0310","    4933.4","4","    4933.4","E","      3.73","E","      5.58","E","      1.87","E"
"NOE00104443","1956","68.1503","14.6506","11.0","SKROVA FYR, NO","      5.0","","       5.0","E","","","         0","E","       127","E","        49","E","         8","E","         0","E","   -9.0","E,0214, ","","","   25.5","E,0705, ","-0.7","E,1010","-2.7","E,1106","-5.2","E,1127","","","","","-0.1","E,0429","-2.7","E,0419","-4.7","E,0406","-8.2","E,0307","-9.0","E,0214","    5195.0","0","    5195.0","E","      4.57","E","      6.47","E","      2.66","E"
"NOE00104443","1957","68.1503","14.6506","11.0","SKROVA FYR, NO","     18.6","","      18.6","E","       57","","         0","E","       117","E","        41","E","         7","E","         0","E","  -12.3","E,0315, ","   300"," ,E,1215,+","   28.4","E,0729, ","-1.0","E,1108","-3.2","E,1125","-4.5","E,1126","-9.0","E,1209","-9.0","E,1209","0.0","E,0506","-3.4","E,0414","-4.4","E,0323","-7.4","E,0321","-12.3","E,0315","    4945.8","8","    4945.8","E","      4.99","E","      6.99","E","      2.98","E"
"NOE00104443","1958","68.1503","14.6506","11.0","SKROVA FYR, NO","     17.4","","      17.4","E","      125","","         0","E","       118","E","        66","E","         8","E","         0","E","   -9.5","E,0301,+","   700"," ,E,0110, ","   27.0","E,0630, ","-0.1","E,1024","-3.4","E,1206","-7.4","E,1209","-7.4","E,1209","","","-2.8","E,0419","-2.8","E,0419","-8.5","E,0407","-8.5","E,0407","-9.0","E,0312","    4997.6","6","    4997.6","E","      5.06","E","      6.90","E","      3.22","E"
"NOE00104443","1959","68.1503","14.6506","11.0","SKROVA FYR, NO","      3.8","","       3.8","E","       45","","         0","E","        81","E","        24","E","         6","E","         0","E","   -9.7","E,0119, ","   450"," ,E,0120, ","   24.0","E,0815, ","0.0","E,1028","-2.6","E,1123","-4.6","E,1211","","","","","0.0","E,0520","-2.3","E,0419","-6.0","E,0222","-6.9","E,0123","-9.7","E,0119","    4501.4","4","    4501.4","E","      5.68","E","      7.31","E","      4.04","E"
"NOE00104443","1960","68.1503","14.6506","11.0","SKROVA FYR, NO","     25.0","","      25.0","E","       85","","         0","E","        94","E","        41","E","        14","E","         0","E","   -9.0","E,0224,+","   560"," ,E,0202,+","   25.0","E,0708,+","-2.8","E,1028","-2.8","E,1028","-4.6","E,1206","-7.0","E,1211","","","-0.6","E,0521","-2.4","E,0302","-4.4","E,0301","-7.4","E,0226","-9.0","E,0224","    4654.5","5","    4654.5","E","      5.90","E","      7.69","E","      4.12","E"
"NOE00104443","1961","68.1503","14.6506","11.0","SKROVA FYR, NO","     11.6","","      11.6","E","      108","","         0","E","       106","E","        30","E","         7","E","         0","E","   -7.0","E,0207, ","  1100"," ,E,0413,+","   27.0","E,0715, ","-1.5","E,1128","-4.4","E,1202","-4.4","E,1202","","","","","-0.8","E,0428","-3.0","E,0420","-7.0","E,0207","-7.0","E,0207","","","    4575.5","5","    4575.5","E","      5.96","E","      7.78","E","      4.14","E"
"NOE00104443","1962","68.1503","14.6506","11.0","SKROVA FYR, NO","      0.0","","       0.0","E","      132","","         0","E","       128","E","        64","E","         0","E","         0","E","   -9.0","E,0305, ","  1180"," ,E,0329,+","   20.0","E,0705, ","-1.9","E,1014","-2.3","E,1029","-6.3","E,1213","-6.8","E,1217","","","-1.0","E,0604","-2.5","E,0414","-4.6","E,0331","-7.0","E,0315","-9.0","E,0305","    4742.6","6","    4742.6","E","      4.51","E","      6.42","E","      2.60","E"
"NOE00104443","1963","68.1503","14.6506","11.0","SKROVA FYR, NO","      0.8","","       0.8","E","      116","","         0","E","       116","E","        56","E","         5","E","         0","E","  -10.0","E,0221, ","   650"," ,E,0116,+","   22.0","E,0802, ","0.0","E,1109","-3.0","E,1112","-5.0","E,1217","-8.0","E,1218","","","-2.0","E,0419","-3.6","E,0411","-5.0","E,0410","-7.2","E,0324","-9.2","E,0222","    4880.5","5","    4880.5","E","      5.41","E","      7.47","E","      3.36","E"
