"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00427421","1985","40.8","-112.61667","1283.2","ROWLEY PUMP STATION, UT US","        11"," ","    274.9"," ,0"
"USC00427421","1986","40.8","-112.61667","1283.2","ROWLEY PUMP STATION, UT US","         7"," ","",""
