"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003957","1999","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.5","X","","","","","        87","0","        55","0","         7","0","","","","","","","","","","","","","","","","","","","","","  48.3"," ,0,0701, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    749.8"," ,0","","","","","","","","","       330","X","       340","X","      21.9","X","      27.7","X"
"USW00003957","2000","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.4","X","   1058.5","","    1058.5","0","        86","0","        51","0","         7","0","","","         2","0","         1","0","       116","0","        17","0","       188","0","        85","0","  -17.8","0,1214, ","","","   102"," ,0,0128, ","  79.5"," ,0,1024, ","   41.7","0,0902,+","-5.0","0,1008","-5.0","0,1008","-5.0","0,1008","-6.7","0,1009","-8.9","0,1117","-1.1","0,0408","-3.3","0,0404","-4.4","0,0220","-8.3","0,0214","-9.4","0,0212","","","","","    871.4"," ,0","      132"," ,0","     14.19","0","     21.06","0","      7.32","0","       350","X","        20","X","      19.2","X","      24.6","X"
"USW00003957","2001","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.2","X","   1050.5","","    1050.5","0","        63","0","        27","0","         6","0","","","         2","0","         0","0","       110","0","        15","0","       207","0","        83","0","  -13.9","0,0210,+","","","    30"," ,0,0209, ","  51.8"," ,0,0504, ","   42.2","0,0723,+","0.0","0,1006","-2.2","0,1016","-4.4","0,1119","-7.2","0,1120","-11.1","0,1129","0.0","0,0417","-2.2","0,0320","-4.4","0,0301","-8.3","0,0228","-11.1","0,0217","    2739.1","1","    2739.1","0","    501.5"," ,0","       98"," ,0","     14.78","0","     21.78","0","      7.77","0","       230","X","       170","Z","      22.8","X","      30.8","Z"
"USW00003957","2002","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.4","X","    998.0","","     998.0","0","        78","0","        44","0","         8","0","        5","","         3","0","         1","0","       117","0","         8","0","       179","0","        79","0","  -18.3","0,0303, ","   152"," ,0,1204,+","   140"," ,0,1203, ","  80.8"," ,0,1003, ","   40.0","0,0726, ","0.0","0,1020","-2.8","0,1117","-7.2","0,1125","-7.2","0,1125","-10.0","0,1205","-0.6","0,0404","-4.4","0,0403","-4.4","0,0403","-7.8","0,0326","-10.0","0,0322","    2327.7","7","    2327.7","0","    728.7"," ,0","      290"," ,0","     13.93","0","     20.80","0","      7.06","0","        20","X","        30","X","      20.6","X","      25.0","X"
"USW00003957","2003","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.1","X","    964.8","","     964.8","0","        72","0","        36","0","         8","0","       16","","         5","0","         0","0","       111","0","        15","0","       199","0","        75","0","  -16.7","0,0225, ","   356"," ,0,0228,+","   305"," ,0,0223, ","  98.3"," ,0,0830, ","   43.9","0,0714, ","-1.1","0,1026","-2.2","0,1106","-7.2","0,1123","-7.2","0,1123","-11.7","0,1124","-4.4","0,0409","-4.4","0,0409","-4.4","0,0409","-6.7","0,0309","-8.9","0,0306","    2559.9","9","    2559.9","0","    687.7"," ,0","      678"," ,0","     14.20","0","     21.04","0","      7.37","0","        40","X","        40","X","      20.1","X","      23.7","X"
"USW00003957","2004","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.2","X","    926.4","","     926.4","0","        87","0","        52","0","         6","0","       10","","         3","0","         0","0","        96","0","        14","0","       194","0","        67","0","  -17.2","0,0207,+","   152"," ,0,0206,+","   107"," ,0,0204, ","  65.0"," ,0,0304, ","   40.0","0,0803, ","-1.7","0,1103","-3.3","0,1104","-5.6","0,1130","-6.7","0,1201","-10.0","0,1214","-0.6","0,0413","-2.8","0,0302","-7.2","0,0226","-7.2","0,0226","-10.0","0,0215","    2417.0","0","    2417.0","0","    686.8"," ,0","      209"," ,0","     14.47","0","     21.05","0","      7.89","0","        20","X","        20","X","      26.8","X","      30.4","X"
"USW00003957","2005","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.1","X","   1065.8","","    1065.8","0","        85","0","        50","0","         3","0","        6","","         2","0","         1","0","       108","0","        17","0","       201","0","        83","0","  -20.0","0,1208, ","    76"," ,0,1219,+","    76"," ,0,1217,+","  86.1"," ,0,0612, ","   39.4","0,0723,+","-0.6","0,1023","-3.3","0,1024","-7.8","0,1116","-7.8","0,1116","-8.9","0,1204","-1.1","0,0402","-3.3","0,0319","-7.2","0,0301","-7.2","0,0301","-8.9","0,0209","    2283.2","2","    2283.2","0","    630.9"," ,0","      152"," ,0","     14.73","0","     21.51","0","      7.95","0","       330","X","       330","X","      19.2","X","      28.2","X"
"USW00003957","2006","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.2","W","   1133.6","","    1133.6","0","        76","0","        42","0","         7","0","        2","","         1","0","         0","0","        96","0","         4","0","       204","0","        91","0","  -15.0","0,1201,+","    51"," ,0,0110, ","    51"," ,0,0109, ","  57.9"," ,0,0530, ","   42.8","0,0720,+","-1.1","0,1021","-4.4","0,1022","-4.4","0,1022","-10.6","0,1130","-10.6","0,1130","-0.6","0,0328","-6.1","0,0324","-6.1","0,0324","-6.7","0,0314","-9.4","0,0221","    2130.0","0","    2130.0","0","    593.4"," ,0","       77"," ,0","     15.64","0","     23.14","0","      8.14","0","       270","X","       290","X","      20.6","X","      29.9","X"
"USW00003957","2007","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.0","W","    982.9","","     982.9","0","        84","0","        54","0","         8","0","        6","","         5","0","         0","0","       115","0","        25","0","       213","0","        67","0","  -16.7","0,0216, ","   203"," ,0,0121,+","   203"," ,0,0120, ","  88.6"," ,0,0506, ","   39.4","0,0815,+","0.0","0,1023","-2.2","0,1101","-9.4","0,1122","-9.4","0,1122","-9.4","0,1122","0.0","0,0415","-2.2","0,0408","-4.4","0,0308","-7.8","0,0304","-16.7","0,0216","    2334.7","7","    2334.7","0","    853.9"," ,0","      487"," ,0","     14.33","0","     20.90","0","      7.75","0","       330","X","       330","X","      19.2","X","      24.6","X"
"USW00003957","2008","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.3","W","    868.4","","     868.4","0","        79","0","        48","0","         9","0","        4","","         2","0","         0","0","       113","0","        11","0","       192","0","        56","0","  -16.7","0,0201, ","    76"," ,0,0131, ","    76"," ,0,0131, "," 101.9"," ,0,0708, ","   40.6","0,0804, ","-3.3","0,1027","-3.3","0,1027","-4.4","0,1120","-8.3","0,1121","-10.6","0,1210","-3.3","0,0414","-3.3","0,0414","-11.7","0,0308","-11.7","0,0308","-11.7","0,0308","    2488.9","9","    2488.9","0","    933.5"," ,0","      134"," ,0","     13.81","0","     20.77","0","      6.86","0","        10","X","        70","X","      19.2","X","      27.7","X"
"USW00003957","2009","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.1","W","    898.7","","     898.7","0","        87","0","        43","0","         2","0","        2","","         1","0","         1","0","       105","0","        14","0","       185","0","        67","0","  -17.8","0,0128, ","    51"," ,0,0115, ","    38"," ,0,0115, ","  50.3"," ,0,0620, ","   43.9","0,0710, ","0.0","0,1011","-4.4","0,1118","-4.4","0,1118","-9.4","0,1203","-9.4","0,1203","-7.2","0,0407","-7.2","0,0407","-7.2","0,0407","-7.2","0,0407","-10.0","0,0301","    2380.4","4","    2380.4","0","    532.0"," ,0","       71"," ,0","     13.96","0","     20.91","0","      7.01","0","        10","X","       340","X","      20.6","X","      27.7","X"
"USW00003957","2010","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       3.9","W","   1154.5","","    1154.5","0","        70","0","        38","0","        10","0","        4","","         1","0","         0","0","       115","0","        18","0","       195","0","        85","0","  -17.2","0,0109,+","    51"," ,0,0131,+","    64"," ,0,0129, ","  82.3"," ,0,0613, ","   43.3","0,0813, ","0.0","0,1028","-4.4","0,1105","-4.4","0,1105","-7.2","0,1125","-10.0","0,1206","-2.8","0,0408","-2.8","0,0408","-7.2","0,0322","-7.2","0,0322","-8.9","0,0224","    2646.0","0","    2646.0","0","    723.3"," ,0","       92"," ,0","     14.55","0","     21.15","0","      7.96","0","       340","X","       210","X","      17.4","X","      23.7","X"
"USW00003957","2011","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.2","W","   1345.2","","    1345.2","X","        68","X","        30","X","         4","X","","","","","         4","X","       113","X","        15","X","       200","X","       107","X","  -27.2","X,0210, ","","","","","  42.2"," ,X,1219, ","   45.6","X,0709, ","-0.6","X,1020","-2.8","X,1028","-5.6","X,1104","-7.2","X,1117","-9.4","X,1206","-3.3","X,0405","-3.3","X,0405","-6.1","X,0305","-7.2","X,0225","-13.3","X,0211","    2506.5","5","    2506.5","X","    412.8"," ,X","","","     15.09","X","     22.67","X","      7.52","X","       320","X","       320","X","      21.9","X","      31.3","X"
"USW00003957","2012","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.1","X","   1229.5","","    1229.5","X","        57","X","        30","X","         4","X","        0","","         1","X","         0","X","        94","X","         7","X","       219","X","       104","X","  -13.3","X,1226, ","     0","T,X,1226, ","    25"," ,X,1231, ","  85.1"," ,X,0203, ","   43.3","X,0801,+","-2.2","X,1007","-2.2","X,1007","-7.2","X,1027","-7.2","X,1027","-12.8","X,1210","-1.1","X,0310","-2.2","X,0309","-6.1","X,0225","-10.0","X,0212","-10.0","X,0212","    2047.8","8","    2047.8","X","    465.4"," ,X","       25"," ,X","     16.20","X","     23.84","X","      8.55","X","       350","X","       340","X","      19.7","X","      25.9","X"
"USW00003957","2013","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","       4.2","W","    971.8","","     971.8","W","        81","W","        53","W","         4","W","        7","","         5","W","         0","W","       133","W","        17","W","       177","W","        74","W","  -17.2","W,0223, ","   381"," ,W,0222, ","   254"," ,W,0221, ","  81.5"," ,W,0808, ","   42.8","W,0627, ","0.0","W,1018","-4.9","W,1112","-4.9","W,1112","-7.1","W,1126","-11.0","W,1127","0.0","W,0504","-3.8","W,0424","-8.9","X,0326","-8.9","X,0326","-8.9","X,0326","    2541.7","7","    2541.7","W","    654.2"," ,W","      776"," ,W","     13.30","W","     20.29","W","      6.32","W","       240","W","       220","W","      17.9","W","      25.0","W"
