"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00057461","1951","30.7","111.3","134.0","YICHANG, CH","","","","","       132","s","        80","s","        12","s","","","","","","","","","","","","","  69.6"," ,s,0203, ","","","","","","","","","","","","","","","","","","","","","","","   1189.7"," ,s","","","","","",""
"CHM00057461","1952","30.7","111.3","134.0","YICHANG, CH","   1204.7","","    1204.7","s","       124","s","        82","s","        18","s","         0","s","        23","s","         1","s","       200","s","        45","s","   -4.0","s,0217, ","  90.0"," ,s,0618, ","   38.3","s,0702, ","-0.7","s,1201","","","","","0.0","s,0225","-3.4","s,0218","","","","","","","","","","","   1489.0"," ,s","     17.20","s","     21.16","s","     13.25","s"
"CHM00057461","1953","30.7","111.3","134.0","YICHANG, CH","   1378.7","","    1378.7","s","       124","s","        78","s","         9","s","         0","s","        14","s","         0","s","       198","s","        67","s","   -2.8","s,0120,+","  64.5"," ,s,0622, ","   39.7","s,0618, ","0.0","s,1211","","","","","0.0","s,0216","-2.8","s,0120","","","","","","","    1582.0","0","    1582.0","s","   1000.4"," ,s","     17.88","s","     21.95","s","     13.81","s"
"CHM00057461","1954","30.7","111.3","134.0","YICHANG, CH","   1063.5","","    1063.5","s","       158","s","       102","s","        18","s","         0","s","        27","s","         5","s","       206","s","        29","s","   -5.4","s,1231,+","  90.9"," ,s,0905, ","   35.8","s,0813, ","-0.8","s,1203","-3.0","s,1227","-4.4","s,1229","-0.2","s,0305","-2.2","s,0127","-4.8","s,0123","","","","","    1510.0","0","    1510.0","s","   1702.7"," ,s","     16.79","s","     20.63","s","     12.95","s"
"CHM00057461","1955","30.7","111.3","134.0","YICHANG, CH","   1186.7","","    1186.7","s","       116","s","        63","s","        10","s","         0","s","        23","s","         6","s","       201","s","        48","s","   -6.2","s,0105, ","  63.0"," ,s,0629, ","   36.6","s,0911, ","-0.2","s,1231","","","","","-0.6","s,0221","-3.2","s,0117","-4.8","s,0116","","","","","    1746.3","3","    1746.3","s","    908.1"," ,s","     17.35","s","     21.53","s","     13.17","s"
"CHM00057461","1956","30.7","111.3","134.0","YICHANG, CH","   1179.3","","    1179.3","s","       118","s","        77","s","        16","s","         0","s","        42","s","         4","s","       203","s","        54","s","   -5.6","s,0122, ","  78.4"," ,s,0707, ","   37.4","s,0710, ","0.0","s,1124","-2.3","s,1212","-4.5","s,1216","0.0","s,0302","-2.5","s,0214","-5.5","s,0123","","","","","    1508.5","5","    1508.5","s","   1363.8"," ,s","     16.85","s","     21.42","s","     12.27","s"
"CHM00057461","1957","30.7","111.3","134.0","YICHANG, CH","   1205.8","","    1205.8","s","       118","s","        71","s","         9","s","         0","s","        34","s","         2","s","       202","s","        54","s","   -5.7","s,0114, ","  60.9"," ,s,0604, ","   39.5","s,0830, ","-0.6","s,1231","","","","","-0.7","s,0314","-3.5","s,0213","-5.7","s,0114","","","","","    1778.6","6","    1778.6","s","    936.2"," ,s","     17.14","s","     21.46","s","     12.81","s"
"CHM00057461","1958","30.7","111.3","134.0","YICHANG, CH","   1195.4","","    1195.4","s","       117","s","        76","s","        16","s","         0","s","        20","s","         0","s","       189","s","        61","s","   -4.8","s,0124, "," 150.5"," ,s,0715, ","   37.0","s,0723,+","","","","","","","-1.1","s,0228","-2.6","s,0213","-4.8","s,0124","","","","","    1453.8","8","    1453.8","s","   1483.7"," ,s","     17.36","s","     21.60","s","     13.11","s"
"CHM00057461","1959","30.7","111.3","134.0","YICHANG, CH","   1441.2","","    1441.2","s","       106","s","        70","s","        10","s","         0","s","        15","s","         0","s","       198","s","        87","s","   -3.6","s,0117, ","  52.6"," ,s,1031, ","   40.6","s,0822, ","-2.6","s,1226","-2.6","s,1226","","","0.0","s,0216","-2.7","s,0122","","","","","","","    1502.8","8","    1502.8","s","    944.1"," ,s","     18.00","s","     22.41","s","     13.60","s"
"CHM00057461","1960","30.7","111.3","134.0","YICHANG, CH","   1253.0","","    1253.0","s","       113","s","        79","s","        10","s","         0","s","        18","s","         0","s","       203","s","        69","s","   -4.9","s,0124, "," 127.7"," ,s,0707, ","   37.7","s,0706, ","-1.8","s,1218","-2.2","s,1219","","","0.0","s,0314","-2.4","s,0126","-4.9","s,0124","","","","","    1501.2","2","    1501.2","s","   1124.2"," ,s","     17.66","s","     22.20","s","     13.11","s"
