"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"BOM00026941","1995","53.117","26.0","193.0","BARANOVICHI, BO","       146","b","        59","b","         0","b","","","","","","","  23.5"," ,b,0903, ","","","    508.2"," ,b","",""
"BOM00026941","1996","53.117","26.0","193.0","BARANOVICHI, BO","       140","b","        68","b","         2","b","","","","","","","  33.7"," ,b,0907, ","","","    635.6"," ,b","",""
"BOM00026941","1997","53.117","26.0","193.0","BARANOVICHI, BO","       151","b","        78","b","         2","b","","","","","","","  27.6"," ,b,0623, ","","","    591.6"," ,b","",""
"BOM00026941","1998","53.117","26.0","193.0","BARANOVICHI, BO","       174","b","        80","b","         1","b","","","","","","","  66.2"," ,b,0929, ","","","    725.5"," ,b","",""
"BOM00026941","1999","53.117","26.0","193.0","BARANOVICHI, BO","       131","b","        67","b","         2","b","","","","","","","  41.2"," ,b,0516, ","","","    575.9"," ,b","",""
"BOM00026941","2000","53.117","26.0","193.0","BARANOVICHI, BO","       150","b","        64","b","         1","b","","","","","","","  26.1"," ,b,0718, ","","","    559.4"," ,b","",""
"BOM00026941","2001","53.117","26.0","193.0","BARANOVICHI, BO","       158","b","        69","b","         3","b","","","","","","","  66.9"," ,b,0725, ","","","    757.9"," ,b","",""
"BOM00026941","2002","53.117","26.0","193.0","BARANOVICHI, BO","       133","b","        67","b","         3","b","","","","","","","  41.9"," ,b,1008, ","","","    582.7"," ,b","",""
"BOM00026941","2003","53.117","26.0","193.0","BARANOVICHI, BO","       132","b","        63","b","         2","b","","","","","","","  39.6"," ,b,0708, ","","","    538.4"," ,b","",""
"BOM00026941","2004","53.117","26.0","193.0","BARANOVICHI, BO","       173","b","        80","b","         4","b","","","","","","","  40.2"," ,b,0827, ","","","    700.7"," ,b","",""
"BOM00026941","2005","53.117","26.0","193.0","BARANOVICHI, BO","       154","b","        77","b","         2","b","","","","","","","  61.4"," ,b,0809, ","","","    631.6"," ,b","",""
"BOM00026941","2006","53.117","26.0","193.0","BARANOVICHI, BO","       146","b","        64","b","         4","b","","","","","","","  38.6"," ,b,0904, ","","","    559.4"," ,b","",""
"BOM00026941","2007","53.117","26.0","193.0","BARANOVICHI, BO","       147","b","        75","b","         6","b","","","","","","","  45.0"," ,b,0706, ","","","    668.5"," ,b","",""
"BOM00026941","2008","53.117","26.0","193.0","BARANOVICHI, BO","       166","b","        81","b","         4","b","","","","","","","  44.0"," ,b,0708, ","","","    775.9"," ,b","",""
