"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00072035","1964","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","       115","a","        80","a","         7","a","","","","","","","","","","","","","  61.7"," ,a,0422, ","","","","","","","","","","","","","","","","","    958.0"," ,a","","","","","",""
"ASN00072035","1965","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","        82","a","        50","a","         4","a","         0","a","        42","a","         0","a","       175","a","        29","a","   -3.3","a,0630,+","  31.0"," ,a,1125, ","   37.8","a,0217, ","-1.1","a,0517","-3.3","a,0611","","","-1.1","a,0822","-2.2","a,0809","    1917.2","2","    1917.2","a","    531.8"," ,a","     14.13","a","     20.67","a","      7.59","a"
"ASN00072035","1966","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","       118","a","        78","a","         8","a","         0","a","        45","a","         0","a","       148","a","        26","a","   -2.2","a,0907,+"," 119.1"," ,a,0316, ","   37.8","a,0116, ","0.0","a,0522","-2.2","a,0605","","","0.0","a,1008","-2.2","a,0907","","","","","   1028.0"," ,a","     13.42","a","     19.19","a","      7.64","a"
"ASN00072035","1967","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","        71","a","        33","a","         4","a","","","","","","","","","","","","","  30.7"," ,a,0520, ","","","","","","","","","","","","","","","","","    380.2"," ,a","","","","","",""
"ASN00072035","1968","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","       127","a","        73","a","         7","a","         0","a","        21","a","","","","","","","   -5.6","a,0725, ","  78.7"," ,a,0511, ","","","-1.1","a,0618","-3.3","a,0715","-5.6","a,0725","0.0","a,0927","","","","","","","    978.3"," ,a","","","","","      8.48","a"
"ASN00072035","1969","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","       105","a","        64","a","         7","a","","","","","","","","","","","","","  72.4"," ,a,0416, ","","","","","","","","","","","","","","","","","    947.6"," ,a","","","","","",""
"ASN00072035","1970","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","       142","a","        92","a","        10","a","","","","","","","","","","","","","  68.6"," ,a,0423, ","","","","","","","","","","","","","","","","","   1179.7"," ,a","","","","","",""
"ASN00072035","1971","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","       123","a","        85","a","         4","a","","","","","","","","","","","","","  63.8"," ,a,1226, ","","","","","","","","","","","","","","","","","    851.2"," ,a","","","","","",""
"ASN00072035","1972","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","        88","a","        53","a","         6","a","","","","","","","","","","","","","  43.4"," ,a,0217, ","","","","","","","","","","","","","","","","","    649.3"," ,a","","","","","",""
"ASN00072035","1973","-35.5","147.6167","492.9","MURRAGULDRIE STATE FOREST 1, AS","       124","a","        95","a","        13","a","","","","","","","","","","","","","  81.5"," ,a,1216, ","","","","","","","","","","","","","","","","","   1299.9"," ,a","","","","","",""
