"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00031348","1936","53.05","136.033","153.0","BURUKAN, RS","       123","I","        64","I","         4","I","","","","","","","","","","","","","  29.0"," ,I,0804, ","","","","","","","","","","","","","","","","","","","","","","","    689.2"," ,I","","","","","",""
"RSM00031348","1937","53.05","136.033","153.0","BURUKAN, RS","       108","I","        47","I","         3","I","","","","","","","","","","","","","  33.5"," ,I,1016, ","","","","","","","","","","","","","","","","","","","","","","","    540.7"," ,I","","","","","",""
"RSM00031348","1938","53.05","136.033","153.0","BURUKAN, RS","       102","I","        48","I","         3","I","","","","","","","","","","","","","  59.1"," ,I,1109, ","","","","","","","","","","","","","","","","","","","","","","","    493.7"," ,I","","","","","",""
"RSM00031348","1939","53.05","136.033","153.0","BURUKAN, RS","        83","I","        36","I","         1","I","","","","","","","","","","","","","  32.4"," ,I,0618, ","","","","","","","","","","","","","","","","","","","","","","","    378.3"," ,I","","","","","",""
"RSM00031348","1944","53.05","136.033","153.0","BURUKAN, RS","       115","I","        50","I","         5","I","","","","","","","","","","","","","  41.2"," ,I,1203, ","","","","","","","","","","","","","","","","","","","","","","","    584.2"," ,I","","","","","",""
"RSM00031348","1946","53.05","136.033","153.0","BURUKAN, RS","       111","I","        50","I","         2","I","","","","","","","","","","","","","  46.3"," ,I,0818, ","","","","","","","","","","","","","","","","","","","","","","","    593.6"," ,I","","","","","",""
"RSM00031348","1947","53.05","136.033","153.0","BURUKAN, RS","        98","I","        45","I","         2","I","","","","","","","","","","","","","  65.6"," ,I,0719, ","","","","","","","","","","","","","","","","","","","","","","","    498.2"," ,I","","","","","",""
"RSM00031348","1948","53.05","136.033","153.0","BURUKAN, RS","        99","I","        49","I","         3","I","","","","","","","","","","","","","  62.5"," ,I,0904, ","","","","","","","","","","","","","","","","","","","","","","","    503.3"," ,I","","","","","",""
"RSM00031348","1949","53.05","136.033","153.0","BURUKAN, RS","        84","I","        39","I","         6","I","","","","","","","","","","","","","  53.1"," ,I,0721, ","","","","","","","","","","","","","","","","","","","","","","","    510.5"," ,I","","","","","",""
"RSM00031348","1950","53.05","136.033","153.0","BURUKAN, RS","       104","I","        48","I","         4","I","","","","","","","","","","","","","  44.8"," ,I,0822, ","","","","","","","","","","","","","","","","","","","","","","","    537.4"," ,I","","","","","",""
"RSM00031348","1951","53.05","136.033","153.0","BURUKAN, RS","       105","I","        45","I","         3","I","","","","","","","","","","","","","  78.8"," ,I,0619, ","","","","","","","","","","","","","","","","","","","","","","","    584.6"," ,I","","","","","",""
"RSM00031348","1952","53.05","136.033","153.0","BURUKAN, RS","        78","I","        35","I","         0","I","","","","","","","","","","","","","  25.1"," ,I,0915, ","","","","","","","","","","","","","","","","","","","","","","","    311.5"," ,I","","","","","",""
"RSM00031348","1953","53.05","136.033","153.0","BURUKAN, RS","        95","I","        45","I","         7","I","","","","","","","","","","","","","  54.7"," ,I,0904, ","","","","","","","","","","","","","","","","","","","","","","","    615.8"," ,I","","","","","",""
"RSM00031348","1954","53.05","136.033","153.0","BURUKAN, RS","        91","I","        40","I","         3","I","","","","","","","","","","","","","  30.1"," ,I,0911, ","","","","","","","","","","","","","","","","","","","","","","","    448.1"," ,I","","","","","",""
"RSM00031348","1955","53.05","136.033","153.0","BURUKAN, RS","       102","I","        52","I","         4","I","","","","","","","","","","","","","  68.8"," ,I,0703, ","","","","","","","","","","","","","","","","","","","","","","","    581.6"," ,I","","","","","",""
"RSM00031348","1957","53.05","136.033","153.0","BURUKAN, RS","       105","I","        59","I","         4","I","","","","","","","","","","","","","  80.4"," ,I,0722, ","","","","","","","","","","","","","","","","","","","","","","","    703.7"," ,I","","","","","",""
"RSM00031348","1959","53.05","136.033","153.0","BURUKAN, RS","       116","I","        63","I","         7","I","","","","","","","","","","","","","  84.3"," ,I,0821, ","","","","","","","","","","","","","","","","","","","","","","","    917.8"," ,I","","","","","",""
"RSM00031348","1961","53.05","136.033","153.0","BURUKAN, RS","       125","I","        57","I","         9","I","","","","","","","","","","","","","  45.4"," ,I,0610, ","","","","","","","","","","","","","","","","","","","","","","","    857.6"," ,I","","","","","",""
"RSM00031348","1962","53.05","136.033","153.0","BURUKAN, RS","        88","I","        39","I","         4","I","","","","","","","","","","","","","  47.5"," ,I,0908, ","","","","","","","","","","","","","","","","","","","","","","","    463.9"," ,I","","","","","",""
"RSM00031348","1963","53.05","136.033","153.0","BURUKAN, RS","        87","I","        48","I","         1","I","","","","","","","","","","","","","  32.7"," ,I,1127, ","","","","","","","","","","","","","","","","","","","","","","","    486.7"," ,I","","","","","",""
"RSM00031348","1964","53.05","136.033","153.0","BURUKAN, RS","        89","I","        45","I","         4","I","","","","","","","","","","","","","  38.3"," ,I,0922, ","","","","","","","","","","","","","","","","","","","","","","","    503.5"," ,I","","","","","",""
"RSM00031348","1965","53.05","136.033","153.0","BURUKAN, RS","        96","I","        43","I","         2","I","","","","","","","","","","","","","  31.7"," ,I,0817, ","","","","","","","","","","","","","","","","","","","","","","","    464.6"," ,I","","","","","",""
"RSM00031348","1968","53.05","136.033","153.0","BURUKAN, RS","       107","I","        48","I","         1","I","","","","","","","","","","","","","  28.5"," ,I,1003, ","","","","","","","","","","","","","","","","","","","","","","","    399.7"," ,I","","","","","",""
"RSM00031348","1969","53.05","136.033","153.0","BURUKAN, RS","       123","I","        68","I","         4","I","","","","","       146","S","        52","S","         5","S","","","  29.8"," ,I,1110,+","   35.0","S,0712, ","","","","","","","","","","","","","","","","","","","","","    764.4"," ,I","","","      0.77","S","",""
"RSM00031348","1970","53.05","136.033","153.0","BURUKAN, RS","       111","I","        44","I","         4","I","       147","S","       250","S","       147","S","        69","S","         4","S","  -47.2","S,0112,+","  41.2"," ,I,0905, ","   32.8","S,0712,+","0.0","S,0801","-2.2","S,0828","-5.0","S,0927","-8.9","S,1001","-8.9","S,1001","0.0","S,0625","-2.2","S,0612","-5.0","S,0523","-8.9","S,0514","-8.9","S,0514","    538.5"," ,I","     -5.65","S","      3.33","S","    -14.64","S"
"RSM00031348","1975","53.05","136.033","153.0","BURUKAN, RS","       102","I","        54","I","         9","I","       126","S","       242","S","       128","S","        72","S","         1","S","  -47.0","S,0129,+","  52.6"," ,I,0729, ","   34.0","S,0527, ","-2.0","S,0901","-4.0","S,0904","-6.0","S,0916","-8.0","S,0923","-9.0","S,0924","0.0","S,0630","-4.0","S,0520","-8.0","S,0506","-8.0","S,0506","-9.0","S,0505","    792.1"," ,I","     -3.85","S","      5.08","S","    -12.78","S"
"RSM00031348","1977","53.05","136.033","153.0","BURUKAN, RS","       115","I","        59","I","         4","I","","","","","       145","S","        66","S","         1","S","","","  36.4"," ,I,0802, ","   34.0","S,0628, ","","","","","","","","","","","","","","","","","","","","","    591.9"," ,I","","","      2.59","S","",""
"RSM00031348","1978","53.05","136.033","153.0","BURUKAN, RS","       119","I","        65","I","         3","I","","","","","       139","S","        71","S","         2","S","","","  58.3"," ,I,0729, ","   35.0","S,0701, ","","","","","","","","","","","","","","","","","","","","","    696.9"," ,I","","","      3.94","S","",""
"RSM00031348","1979","53.05","136.033","153.0","BURUKAN, RS","       118","I","        59","I","         5","I","","","","","       154","S","        73","S","         1","S","","","  49.1"," ,I,0730, ","   33.0","S,0811, ","","","","","","","","","","","","","","","","","","","","","    662.1"," ,I","","","      3.84","S","",""
"RSM00031348","1980","53.05","136.033","153.0","BURUKAN, RS","       121","I","        51","I","         3","I","","","","","","","","","","","","","  42.1"," ,I,0603, ","","","","","","","","","","","","","","","","","","","","","","","    635.8"," ,I","","","","","",""
"RSM00031348","1981","53.05","136.033","153.0","BURUKAN, RS","       112","I","        56","I","         8","I","","","","","       152","S","        50","S","         1","S","","","  53.5"," ,I,0818, ","   34.0","S,0520, ","","","","","","","","","","","","","","","","","","","","","    781.1"," ,I","","","      2.95","S","",""
"RSM00031348","1982","53.05","136.033","153.0","BURUKAN, RS","       113","I","        67","I","         5","I","","","","","","","","","","","","","  32.6"," ,I,0828, ","","","","","","","","","","","","","","","","","","","","","","","    661.0"," ,I","","","","","",""
"RSM00031348","1983","53.05","136.033","153.0","BURUKAN, RS","        98","I","        56","I","         1","I","","","","","","","","","","","","","  27.3"," ,I,0903, ","","","","","","","","","","","","","","","","","","","","","","","    524.9"," ,I","","","","","",""
"RSM00031348","1984","53.05","136.033","153.0","BURUKAN, RS","       116","I","        55","I","         5","I","","","","","","","","","","","","","  69.9"," ,I,0831, ","","","","","","","","","","","","","","","","","","","","","","","    694.4"," ,I","","","","","",""
"RSM00031348","1985","53.05","136.033","153.0","BURUKAN, RS","       103","I","        56","I","         7","I","","","","","       140","S","        56","S","         0","S","","","  67.0"," ,I,0922, ","   31.9","S,0710, ","","","","","","","","","","","","","","","","","","","","","    741.1"," ,I","","","      3.07","S","",""
"RSM00031348","1987","53.05","136.033","153.0","BURUKAN, RS","       102","I","        56","I","         4","I","","","","","       148","S","        46","S","         3","S","","","  47.1"," ,I,0927, ","   33.2","S,0620, ","","","","","","","","","","","","","","","","","","","","","    671.3"," ,I","","","      2.00","S","",""
"RSM00031348","1988","53.05","136.033","153.0","BURUKAN, RS","        93","I","        52","I","         1","I","","","","","","","","","","","","","  37.6"," ,I,0822, ","","","","","","","","","","","","","","","","","","","","","","","    469.1"," ,I","","","","","",""
"RSM00031348","1989","53.05","136.033","153.0","BURUKAN, RS","        96","I","        56","I","         3","I","","","","","       132","S","        76","S","         5","S","","","  44.2"," ,I,0812, ","   32.7","S,0704, ","","","","","","","","","","","","","","","","","","","","","    536.1"," ,I","","","      5.01","S","",""
"RSM00031348","1990","53.05","136.033","153.0","BURUKAN, RS","       115","I","        66","I","         5","I","","","","","       114","S","        72","S","         4","S","","","  55.1"," ,I,0919, ","   34.8","S,0721, ","","","","","","","","","","","","","","","","","","","","","    789.1"," ,I","","","      5.33","S","",""
"RSM00031348","1991","53.05","136.033","153.0","BURUKAN, RS","       114","I","        61","I","         5","I","","","","","       142","S","        47","S","         0","S","","","  52.8"," ,I,0911, ","   30.2","S,0718, ","","","","","","","","","","","","","","","","","","","","","    653.2"," ,I","","","      3.34","S","",""
"RSM00031348","1992","53.05","136.033","153.0","BURUKAN, RS","       118","I","        54","I","         9","I","","","","","       139","S","        56","S","         3","S","","","  56.2"," ,I,0727, ","   33.2","S,0627,+","","","","","","","","","","","","","","","","","","","","","    727.3"," ,I","","","      3.77","S","",""
"RSM00031348","1993","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       139","S","        60","S","         0","S","","","","","   31.8","S,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","      4.06","S","",""
"RSM00031348","1995","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       144","S","        63","S","         2","S","","","","","   34.4","S,0611, ","","","","","","","","","","","","","","","","","","","","","","","","","      4.53","S","",""
"RSM00031348","1996","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       147","S","        66","S","         1","S","","","","","   35.3","S,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","      4.31","S","",""
"RSM00031348","1998","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       127","S","        77","S","         4","S","","","","","   36.2","S,0714, ","","","","","","","","","","","","","","","","","","","","","","","","","      3.88","S","",""
"RSM00031348","2002","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       125","S","        67","S","         1","S","","","","","   32.2","S,0521, ","","","","","","","","","","","","","","","","","","","","","","","","","      4.71","S","",""
"RSM00031348","2003","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       123","S","        57","S","         1","S","","","","","   34.0","S,0618, ","","","","","","","","","","","","","","","","","","","","","","","","","      4.59","S","",""
"RSM00031348","2004","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       133","S","        61","S","         3","S","","","","","   33.7","S,0708, ","","","","","","","","","","","","","","","","","","","","","","","","","      3.97","S","",""
"RSM00031348","2012","53.05","136.033","153.0","BURUKAN, RS","","","","","","","","","","","       137","S","        93","S","         6","S","","","","","   34.0","S,0629, ","","","","","","","","","","","","","","","","","","","","","","","","","      4.69","S","",""
"RSM00031348","2013","53.05","136.033","153.0","BURUKAN, RS","       138","S","        72","S","         4","S","","","","","","","","","","","","","  45.0"," ,S,0529, ","","","","","","","","","","","","","","","","","","","","","","","    750.0"," ,S","","","","","",""
"RSM00031348","2014","53.05","136.033","153.0","BURUKAN, RS","       112","S","        58","S","         5","S","       118","S","       221","S","","","","","","","  -46.3","S,1220, ","  99.1"," ,S,0803, ","","","-0.8","S,0911","-2.8","S,0918","-5.0","S,0919","-6.8","S,0923","-9.3","S,0929","-1.0","S,0611","-2.3","S,0519","-5.1","S,0517","-7.5","S,0427","-9.3","S,0418","    724.2"," ,S","","","","","    -12.03","S"
"RSM00031348","2015","53.05","136.033","153.0","BURUKAN, RS","       113","S","        52","S","         8","S","","","","","","","","","","","","","  66.0"," ,S,0629, ","","","","","","","","","","","","","","","","","","","","","","","    820.8"," ,S","","","","","",""
"RSM00031348","2016","53.05","136.033","153.0","BURUKAN, RS","       119","S","        64","S","         2","S","","","","","","","","","","","","","  49.0"," ,S,0726, ","","","","","","","","","","","","","","","","","","","","","","","    647.1"," ,S","","","","","",""
"RSM00031348","2017","53.05","136.033","153.0","BURUKAN, RS","       118","S","        60","S","         4","S","","","","","","","","","","","","","  56.9"," ,S,0609, ","","","","","","","","","","","","","","","","","","","","","","","    678.6"," ,S","","","","","",""
