"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"SPW00013024","1958","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","","","","","","","","","","","","","","","","","","","","","","","","","        37"," ","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPW00013024","1959","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","    876.2","","     876.2","X","        76","X","        38","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       198","X","        62","X","        45"," ","        11"," ","    1.1","X,1220, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  52.1"," ,X,0530, ","   41.7","X,0706, ","","","","","","","","","","","     963.0","0","     963.0","X","    386.8"," ,X","        0"," ,X","     17.90","X","     23.28","X","     12.52","X","","","",""
"SPW00013024","1960","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","    944.0","","     944.0","X","        88","X","        59","X","         6","X","        0","","         0","X","         0","X","         5","X","         0","X","       205","X","        72","X","        48"," ","        15"," ","   -1.7","X,0117, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  53.3"," ,X,1022, ","   40.6","X,0621, ","","","","","","","0.0","X,0209","","","     986.8","8","     986.8","X","    705.6"," ,X","        0"," ,X","     18.03","X","     23.43","X","     12.62","X","","","",""
"SPW00013024","1961","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","   1107.6","","    1107.6","X","        71","X","        39","X","         7","X","        0","","         0","X","         0","X","         0","X","         0","X","       237","X","        84","X","        50"," ","        21"," ","    1.1","X,0114, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  41.7"," ,X,1119, ","   40.0","X,0824, ","","","","","","","","","","","     960.1","1","     960.1","X","    567.2"," ,X","        0"," ,X","     19.01","X","     24.86","X","     13.17","X","","","",""
"SPW00013024","1962","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","   1028.5","","    1028.5","X","        72","X","        53","X","         3","X","        0","","         0","X","         0","X","         5","X","         0","X","       193","X","        93","X","        62"," ","        20"," ","   -5.0","X,1225, ","     0"," ,X,1231,+","     0","T,X,1213, "," 131.1"," ,X,1227, ","   42.8","X,0820, ","0.0","X,1120","-5.0","X,1225","-5.0","X,1225","","","","","     986.8","8","     986.8","X","    772.9"," ,X","        0","T,X","     18.04","X","     23.97","X","     12.11","X","","","",""
"SPW00013024","1963","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","    805.8","","     805.8","X","        91","X","        70","X","         9","X","        0","","         0","X","         0","X","         4","X","         0","X","       202","X","        66","X","        56"," ","        30"," ","   -1.1","X,0205,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  50.0"," ,X,1102, ","   40.0","X,0809, ","","","","","","","-1.1","X,0205","","","    1285.2","2","    1285.2","X","    941.4"," ,X","        0"," ,X","     17.47","X","     23.27","X","     11.67","X","       270","X","      28.3","X"
"SPW00013024","1964","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","   1009.8","","    1009.8","X","        59","X","        40","X","         4","X","        0","","         0","X","         0","X","        11","X","         0","X","       205","X","        88","X","        48"," ","        15"," ","   -2.8","X,1227, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  53.1"," ,X,0307, ","   39.4","X,0917,+","0.0","X,1208","-2.8","X,1227","","","-1.1","X,0211","","","    1022.5","5","    1022.5","X","    475.3"," ,X","        0"," ,X","     17.57","X","     24.02","X","     11.11","X","       230","X","      17.5","X"
"SPW00013024","1965","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","    786.6","","     786.6","X","","","","","","","        0","","         0","X","         0","X","        18","X","         0","X","       208","X","        76","X","        48"," ","        16"," ","   -2.8","X,0220,+","     0"," ,X,1231,+","     0"," ,X,1231,+","","","   43.9","X,0805, ","","","","","","","-2.8","X,0220","-2.8","X,0220","    1361.5","5","    1361.5","X","","","        0"," ,X","     17.02","X","     23.37","X","     10.67","X","       220","X","      21.6","X"
"SPW00013024","1966","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","    843.5","","     843.5","X","        63","X","        43","X","         4","X","        0","","         0","X","         0","X","         9","X","         0","X","       197","X","        67","X","        47"," ","        18"," ","   -2.2","X,1225, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  67.1"," ,X,0122, ","   40.0","X,0813,+","0.0","X,1119","-2.2","X,1225","","","","","","","    1088.8","8","    1088.8","X","    565.0"," ,X","        0"," ,X","     17.15","X","     23.62","X","     10.69","X","       270","X","      23.6","X"
"SPW00013024","1967","37.174917","-5.615944","86.9","MORON DE LA FRONTERA, SP","    706.7","","     706.7","X","        60","X","        38","X","         1","X","        0","","         0","X","         0","X","        23","X","         0","X","       207","X","        60","X","        59"," ","        17"," ","   -6.1","X,1212, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  33.5"," ,X,1021, ","   44.4","X,0720, ","0.0","X,1209","-3.9","X,1211","-6.1","X,1212","0.0","X,0331","-3.3","X,0108","    1422.8","8","    1422.8","X","    421.8"," ,X","        0"," ,X","     16.53","X","     23.30","X","      9.75","X","       260","X","      24.7","X"
