"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00401585","2000","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00401585","2001","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","         1","0","","","","","","","","","","","","","","","","","","","    38"," ,0,0102, ","","","","","","","","","","","","","","","","","","","","","","","       51"," ,0","","","","","",""
"USC00401585","2002","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","        1","","         1","0","","","","","","","","","","","","","","","","","    25"," ,0,0207, ","    25"," ,0,0207, ","","","","","","","","","","","","","","","","","","","","","","","       25"," ,0","","","","","",""
"USC00401585","2003","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","         4","0","","","","","","","","","","","","","","","","","","","   102"," ,0,0117, ","","","","","","","","","","","","","","","","","","","","","","","      229"," ,0","","","","","",""
"USC00401585","2004","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       126","0","        86","0","        22","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0","T,0,0226,+","     8"," ,0,1223, ","  76.2"," ,0,0422, ","","","","","","","","","","","","","","","","","","","   1545.4"," ,0","        8"," ,0","","","","","",""
"USC00401585","2005","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00401585","2006","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       114","0","        76","0","         8","0","        4","","         0","0","","","","","","","","","","","","","","","","","    25"," ,0,0219,+","    13"," ,0,0219,+","  41.9"," ,0,1116, ","","","","","","","","","","","","","","","","","","","   1119.1"," ,0","       62"," ,0","","","","","",""
"USC00401585","2007","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       115","0","        71","0","         8","0","        2","","         2","0","","","","","","","","","","","","","","","","","    25"," ,0,0217,+","    25"," ,0,0217,+","  73.7"," ,0,1023, ","","","","","","","","","","","","","","","","","","","   1015.1"," ,0","       59"," ,0","","","","","",""
"USC00401585","2008","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       114","0","        87","0","        18","0","        2","","         1","0","","","","","","","","","","","         4"," ","         6"," ","","","    76"," ,0,0308, ","    76"," ,0,0308, ","  88.1"," ,0,1210, ","","","","","","","","","","","","","","","","","","","   1491.5"," ,0","      105"," ,0","","","","","",""
"USC00401585","2009","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       128","0","        94","0","        17","0","        1","","         1","0","","","","","","","","","","","        12"," ","        38"," ","","","    51"," ,0,0301, ","    38"," ,0,0301, "," 100.3"," ,0,0502, ","","","","","","","","","","","","","","","","","","","   1538.3"," ,0","       51"," ,0","","","","","",""
"USC00401585","2010","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","         4","0","","","","","","","","","","","         9"," ","        21"," ","","","","","    76"," ,0,0130, ","","","","","","","","","","","","","","","","","","","","","","","      228"," ,0","","","","","",""
"USC00401585","2011","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","        10"," ","        37"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00401585","2012","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       110","7","        74","7","        15","7","        0","","         0","7","","","","","","","","","","","        18"," ","        41"," ","","","     0","T,7,0113, ","     3"," ,7,0113, ","  41.1"," ,7,0513, ","","","","","","","","","","","","","","","","","","","   1155.1"," ,7","        3"," ,7","","","","","",""
"USC00401585","2013","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","        19"," ","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1473.7"," ,7","","","","","","","",""
"USC00401585","2014","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","        21"," ","        38"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00401585","2015","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","        19"," ","        31"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1440.4"," ,7","","","","","","","",""
"USC00401585","2016","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","        2","","         2","7","","","","","","","","","","","        10"," ","        26"," ","","","   102"," ,7,0123, ","   102"," ,7,0123, ","","","","","","","","","","","","","","","","","","","","","","","      127"," ,7","","","","","",""
"USC00401585","2017","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","        14"," ","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00401585","2018","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       125","7","        93","7","        16","7","        3","","         2","7","","","","","","","","","","","        21"," ","        14"," ","","","    51"," ,7,0118,+","    25"," ,7,0117,+","  62.0"," ,7,0211, ","","","","","","","","","","","","","","","","","","","   1507.9"," ,7","       63"," ,7","","","","","",""
"USC00401585","2019","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","        0","","         0","7","","","","","","","","","","","        10"," ","        30"," ","","","     0","T,7,1112, ","     5"," ,7,0120, ","","","","","","","","","","","","","","","","","","","","","   1615.0"," ,7","        5"," ,7","","","","","",""
"USC00401585","2020","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","       119","7","        90","7","        16","7","        1","","         1","7","","","","","","","","","","","        16"," ","        30"," ","","","    25"," ,7,0207, ","    25"," ,7,0207, ","  61.2"," ,7,0712, ","","","","","","","","","","","","","","","","","","","   1560.9"," ,7","       25"," ,7","","","","","",""
"USC00401585","2021","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","    586.3","","     586.3","7","       103","7","        84","7","        25","7","        4","","         3","7","         0","7","        83","7","         9","7","       190","7","         5","7","        12"," ","        34"," ","  -14.4","7,0217, ","   127"," ,7,0218, ","    76"," ,7,0218, "," 184.2"," ,7,0328, ","   32.2","7,0827,+","-0.6","7,1104","-5.0","7,1123","-5.0","7,1123","0.0","7,0423","-2.2","7,0403","-9.4","7,0221","-9.4","7,0221","-9.4","7,0221","   1926.8"," ,7","      170"," ,7","     14.44","7","     20.05","7","      8.83","7"
"USC00401585","2022","35.8318","-87.4219","225.6","CENTERVILLE 4 NE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
