"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MU000041288","1984","20.667","58.9","19.0","MASIRAH, MU","         2","I","         1","I","         0","I","","","","","","","","","","","","","   7.1"," ,I,0316, ","","","","","","","      7.6"," ,I","","","","","",""
"MU000041288","1985","20.667","58.9","19.0","MASIRAH, MU","         1","I","         0","I","         0","I","","","","","         0","I","       347","I","       123","I","","","   2.0"," ,I,0604, ","   42.5","I,0512, ","","","","","      2.0"," ,I","","","     31.24","I","",""
"MU000041288","1986","20.667","58.9","19.0","MASIRAH, MU","","","","","","","","","","","         0","I","       335","I","       116","I","","","","","   43.0","I,0518, ","","","","","","","","","     30.79","I","",""
"MU000041288","1987","20.667","58.9","19.0","MASIRAH, MU","         3","I","         2","I","         1","I","","","","","","","","","","","","","  41.9"," ,I,0315, ","","","","","","","     50.8"," ,I","","","","","",""
"MU000041288","1988","20.667","58.9","19.0","MASIRAH, MU","         9","I","         4","I","         0","I","","","","","","","","","","","","","  14.0"," ,I,0724, ","","","","","","","     31.3"," ,I","","","","","",""
"MU000041288","1989","20.667","58.9","19.0","MASIRAH, MU","         9","I","         3","I","         0","I","","","","","","","","","","","","","   5.1"," ,I,0320, ","","","","","","","     16.3"," ,I","","","","","",""
"MU000041288","1990","20.667","58.9","19.0","MASIRAH, MU","         5","I","         5","I","         0","I","","","","","","","","","","","","","  18.0"," ,I,0412, ","","","","","","","     41.1"," ,I","","","","","",""
"MU000041288","1993","20.667","58.9","19.0","MASIRAH, MU","         4","I","         2","I","         0","I","","","","","","","","","","","","","  15.0"," ,I,0406, ","","","","","","","     23.1"," ,I","","","","","",""
"MU000041288","1994","20.667","58.9","19.0","MASIRAH, MU","         4","I","         2","I","         0","I","","","","","","","","","","","","","  16.0"," ,I,0111, ","","","","","","","     20.5"," ,I","","","","","",""
"MU000041288","1995","20.667","58.9","19.0","MASIRAH, MU","        12","I","         8","I","         2","I","","","","","         0","I","       335","I","       117","I","","","  54.1"," ,I,0722, ","   43.5","I,0613, ","","","","","    146.2"," ,I","","","     31.19","I","",""
