"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES"
"USC00273172","1903","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         1"," "
"USC00273172","1905","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         1"," "
"USC00273172","1906","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         3"," "
"USC00273172","1908","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         1"," "
"USC00273172","1913","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         1"," "
"USC00273172","1914","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         1"," "
"USC00273172","1915","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         3"," "
"USC00273172","1916","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         5"," "
"USC00273172","1917","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         5"," "
"USC00273172","1918","43.41667","-71.65","76.2","FRANKLIN JUNCTION, NH US","         4"," "
