"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TH000048569","1973","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","         0","I","       365","I","       199","I","","","","","   37.8","I,0412, ","","","     32.05","I","",""
"TH000048569","1974","6.917","100.433","35.0","HAT YAI, TH","       135","S","        81","S","        12","S","","","","","         0","I","       365","I","       180","I","","","  89.9"," ,S,1119, ","   35.1","I,0831, ","   1298.3"," ,S","     31.81","I","",""
"TH000048569","1975","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","         0","I","       365","I","       195","I","","","","","   36.0","I,0401, ","","","     31.78","I","",""
"TH000048569","1976","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","         0","I","       366","I","       165","I","","","","","   36.2","I,0416, ","","","     31.73","I","",""
"TH000048569","1977","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","         0","I","       365","I","       219","I","","","","","   38.2","I,0416, ","","","     32.79","I","",""
"TH000048569","1978","6.917","100.433","35.0","HAT YAI, TH","       115","S","        72","S","         8","S","","","","","         0","I","       365","I","       204","I","",""," 140.0"," ,S,1207, ","   37.1","I,0309, ","   1061.9"," ,S","     32.32","I","",""
"TH000048569","1979","6.917","100.433","35.0","HAT YAI, TH","       150","S","       104","S","        14","S","","","","","         0","I","       365","I","       212","I","",""," 199.9"," ,S,0323, ","   38.0","I,0314, ","   1726.4"," ,S","     32.49","I","",""
"TH000048569","1980","6.917","100.433","35.0","HAT YAI, TH","       130","S","        87","S","        19","S","","","","","         0","I","       366","I","       224","I","",""," 255.0"," ,S,1024, ","   36.9","I,0416, ","   1687.1"," ,S","     32.72","I","",""
"TH000048569","1981","6.917","100.433","35.0","HAT YAI, TH","       123","S","        77","S","        17","S","","","","","         0","I","       365","I","       248","I","","","  70.1"," ,S,1031, ","   37.5","I,0407, ","   1323.0"," ,S","     32.93","I","",""
"TH000048569","1982","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","         0","I","       365","I","       212","I","","","","","   38.3","I,0324, ","","","     32.41","I","",""
"TH000048569","1983","6.917","100.433","35.0","HAT YAI, TH","       158","S","       100","S","        21","S","","","","","         0","I","       365","I","       230","I","",""," 150.1"," ,S,1205, ","   39.0","I,0413, ","   2002.0"," ,S","     32.61","I","",""
"TH000048569","1984","6.917","100.433","35.0","HAT YAI, TH","       158","S","       101","S","        24","S","","","","","         0","I","       366","I","       181","I","",""," 257.0"," ,S,0825, ","   35.7","I,0316, ","   2466.8"," ,S","     31.80","I","",""
"TH000048569","1985","6.917","100.433","35.0","HAT YAI, TH","       154","S","       103","S","        21","S","","","","","         0","I","       365","I","       195","I","",""," 257.0"," ,S,0921, ","   37.0","I,0408, ","   2316.3"," ,S","     32.13","I","",""
"TH000048569","1986","6.917","100.433","35.0","HAT YAI, TH","       145","S","        88","S","        16","S","","","","","","","","","","","",""," 257.0"," ,S,0105, ","","","   1751.4"," ,S","","","",""
"TH000048569","1987","6.917","100.433","35.0","HAT YAI, TH","       138","S","        87","S","        17","S","","","","","","","","","","","",""," 112.0"," ,S,1206, ","","","   1636.4"," ,S","","","",""
"TH000048569","1988","6.917","100.433","35.0","HAT YAI, TH","       159","S","       100","S","        21","S","","","","","","","","","","","",""," 158.0"," ,S,1122, ","","","   1989.7"," ,S","","","",""
"TH000048569","1989","6.917","100.433","35.0","HAT YAI, TH","       154","S","        86","S","        10","S","","","","","","","","","","","","","  58.9"," ,S,0927, ","","","   1251.3"," ,S","","","",""
"TH000048569","1990","6.917","100.433","35.0","HAT YAI, TH","       130","S","        76","S","         9","S","","","","","","","","","","","","","  84.1"," ,S,0707, ","","","   1071.5"," ,S","","","",""
"TH000048569","1991","6.917","100.433","35.0","HAT YAI, TH","       135","S","        86","S","        19","S","","","","","","","","","","","","","  85.1"," ,S,1119, ","","","   1541.2"," ,S","","","",""
"TH000048569","1992","6.917","100.433","35.0","HAT YAI, TH","       125","S","        82","S","         9","S","","","","","","","","","","","",""," 131.1"," ,S,1113, ","","","   1201.7"," ,S","","","",""
"TH000048569","1993","6.917","100.433","35.0","HAT YAI, TH","       137","S","        93","S","        15","S","","","","","","","","","","","","","  88.9"," ,S,1216, ","","","   1560.2"," ,S","","","",""
"TH000048569","1994","6.917","100.433","35.0","HAT YAI, TH","       142","S","        95","S","        21","S","","","","","","","","","","","",""," 114.0"," ,S,0428, ","","","   2044.9"," ,S","","","",""
"TH000048569","1995","6.917","100.433","35.0","HAT YAI, TH","       149","S","        89","S","        19","S","","","","","","","","","","","","","  95.0"," ,S,1113, ","","","   1651.4"," ,S","","","",""
"TH000048569","1996","6.917","100.433","35.0","HAT YAI, TH","       149","S","        98","S","        20","S","","","","","","","","","","","","","  66.0"," ,S,1017, ","","","   1765.8"," ,S","","","",""
"TH000048569","1997","6.917","100.433","35.0","HAT YAI, TH","       144","S","        97","S","        22","S","","","","","","","","","","","",""," 140.0"," ,S,0824, ","","","   1752.2"," ,S","","","",""
"TH000048569","1998","6.917","100.433","35.0","HAT YAI, TH","       173","S","       103","S","        14","S","","","","","","","","","","","","","  49.0"," ,S,0905, ","","","   1409.6"," ,S","","","",""
"TH000048569","2003","6.917","100.433","35.0","HAT YAI, TH","       164","S","        98","S","        23","S","","","","","","","","","","","","","  91.7"," ,S,1209, ","","","   1678.1"," ,S","","","",""
"TH000048569","2004","6.917","100.433","35.0","HAT YAI, TH","       149","S","        98","S","        16","S","","","","","","","","","","","","","  89.9"," ,S,0501, ","","","   1646.0"," ,S","","","",""
"TH000048569","2017","6.917","100.433","35.0","HAT YAI, TH","","","","","","","         0","S","         0","S","","","","","","","   18.7","S,0312, ","","","","","","","","","     22.88","S"
