"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033933","1961","45.9","33.8","2.0","ISHUN, UP","        74","I","        34","I","         0","I","","","","","","","","","","","","","  23.7"," ,I,0605, ","","","","","","","","","","","","","","","","","","","    284.1"," ,I","","","","","",""
"UPM00033933","1963","45.9","33.8","2.0","ISHUN, UP","        89","I","        36","I","         0","I","","","","","","","","","","","","","  20.6"," ,I,0728, ","","","","","","","","","","","","","","","","","","","    328.8"," ,I","","","","","",""
"UPM00033933","1967","45.9","33.8","2.0","ISHUN, UP","       109","I","        40","I","         1","I","","","","","","","","","","","","","  28.7"," ,I,0524, ","","","","","","","","","","","","","","","","","","","    329.0"," ,I","","","","","",""
"UPM00033933","1968","45.9","33.8","2.0","ISHUN, UP","       106","I","        40","I","         0","I","","","","","","","","","","","","","  22.6"," ,I,0822, ","","","","","","","","","","","","","","","","","","","    382.3"," ,I","","","","","",""
"UPM00033933","1970","45.9","33.8","2.0","ISHUN, UP","       106","I","        47","I","         1","I","","","","","","","","","","","","","  31.2"," ,I,0506, ","","","","","","","","","","","","","","","","","","","    467.6"," ,I","","","","","",""
"UPM00033933","1972","45.9","33.8","2.0","ISHUN, UP","        65","I","        31","I","         2","I","","","","","","","","","","","","","  36.3"," ,I,0707, ","","","","","","","","","","","","","","","","","","","    317.7"," ,I","","","","","",""
"UPM00033933","1974","45.9","33.8","2.0","ISHUN, UP","        96","I","        31","I","         0","I","","","","","","","","","","","","","  15.9"," ,I,0814, ","","","","","","","","","","","","","","","","","","","    236.5"," ,I","","","","","",""
"UPM00033933","1975","45.9","33.8","2.0","ISHUN, UP","        67","I","        21","I","         2","I","","","","","","","","","","","","","  50.0"," ,I,0813, ","","","","","","","","","","","","","","","","","","","    247.6"," ,I","","","","","",""
"UPM00033933","1979","45.9","33.8","2.0","ISHUN, UP","        87","I","        35","I","         2","I","","","","","","","","","","","","","  49.2"," ,I,0825, ","","","","","","","","","","","","","","","","","","","    386.0"," ,I","","","","","",""
"UPM00033933","1980","45.9","33.8","2.0","ISHUN, UP","        94","I","        48","I","         0","I","","","","","","","","","","","","","  23.2"," ,I,0608, ","","","","","","","","","","","","","","","","","","","    371.5"," ,I","","","","","",""
"UPM00033933","1982","45.9","33.8","2.0","ISHUN, UP","        81","I","        37","I","         1","I","","","","","","","","","","","","","  50.9"," ,I,0709, ","","","","","","","","","","","","","","","","","","","    370.4"," ,I","","","","","",""
"UPM00033933","1984","45.9","33.8","2.0","ISHUN, UP","        81","I","        35","I","         0","I","","","","","","","","","","","","","  22.9"," ,I,0813, ","","","","","","","","","","","","","","","","","","","    345.2"," ,I","","","","","",""
"UPM00033933","1985","45.9","33.8","2.0","ISHUN, UP","       102","I","        41","I","         4","I","","","","","","","","","","","","","  43.4"," ,I,1016, ","","","","","","","","","","","","","","","","","","","    467.8"," ,I","","","","","",""
"UPM00033933","1986","45.9","33.8","2.0","ISHUN, UP","        73","I","        30","I","         0","I","","","","","","","","","","","","","  24.8"," ,I,0117, ","","","","","","","","","","","","","","","","","","","    269.6"," ,I","","","","","",""
"UPM00033933","1987","45.9","33.8","2.0","ISHUN, UP","       100","I","        36","I","         0","I","","","","","","","","","","","","","  19.6"," ,I,0912, ","","","","","","","","","","","","","","","","","","","    312.0"," ,I","","","","","",""
"UPM00033933","1988","45.9","33.8","2.0","ISHUN, UP","        86","I","        47","I","         2","I","","","","","","","","","","","","","  36.6"," ,I,0908, ","","","","","","","","","","","","","","","","","","","    459.4"," ,I","","","","","",""
"UPM00033933","1990","45.9","33.8","2.0","ISHUN, UP","        59","I","        26","I","         1","I","","","","","","","","","","","","","  29.9"," ,I,0602, ","","","","","","","","","","","","","","","","","","","    251.0"," ,I","","","","","",""
"UPM00033933","2003","45.9","33.8","2.0","ISHUN, UP","","","","","","","         0","u","        86","u","        31","u","       144","u","         2","u","  -12.8","u,0218, ","","","   33.6","u,0703, ","-1.0","u,1028","-5.8","u,1208","-5.8","u,1208","-1.0","u,0411","-2.8","u,0410","-5.0","u,0329","-10.7","u,0228","-10.7","u,0228","","","     10.69","u","     14.82","u","      6.57","u"
