"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027326","1936","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    954.4","","     954.4","0","        59","0","        41","0","         4","0","        0","","         0","0","         0","0","        25","0","         0","0","       250","0","        71","0","         4"," ","        26"," ","   -4.4","0,0101, ","     0"," ,0,1231,+","     0","T,0,1230,+","  37.8"," ,0,0818, ","   39.4","0,0619, ","0.0","0,1202","-3.3","0,1230","","","-1.1","0,0406","-2.8","0,0206","-4.4","0,0101","","","","","","","","","    494.4"," ,0","        0","T,0","     17.44","0","     24.76","0","     10.11","0"
"USC00027326","1937","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    920.7","","     920.7","0","        52","0","        39","0","         2","0","        1","","         3","0","         0","0","        38","0","         0","0","       247","0","        70","0","","","         9"," ","  -10.6","0,0122, ","    25"," ,0,0120, ","    81"," ,0,0108, ","  36.1"," ,0,0317, ","   37.8","0,0804,+","0.0","0,1207","-4.4","0,1220","-4.4","0,1220","0.0","0,0327","-2.2","0,0323","-4.4","0,0125","-7.8","0,0124","-10.6","0,0122","    1492.5","5","    1492.5","0","    380.7"," ,0","      157"," ,0","     16.86","0","     24.42","0","      9.30","0"
"USC00027326","1938","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    746.3","","     746.3","0","        46","0","        35","0","         4","0","        0","","         1","0","         0","0","        37","0","         0","0","       239","0","        52","0","","","        15"," ","   -5.6","0,0218, ","     0"," ,0,1231,+","   165"," ,0,0121, ","  41.9"," ,0,0628, ","   37.2","0,0709,+","0.0","0,1128","-2.2","0,1226","","","0.0","0,0401","-2.2","0,0331","-5.6","0,0218","","","","","    1341.0","0","    1341.0","0","    464.7"," ,0","      165"," ,0","     16.53","0","     24.17","0","      8.88","0"
"USC00027326","1939","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    809.7","","     809.7","0","        52","0","        43","0","         3","0","        5","","         5","0","         0","0","        40","0","         0","0","       257","0","        50","0","","","        23"," ","   -8.9","0,0202, ","   152"," ,0,0218, ","   165"," ,0,0218, ","  31.0"," ,0,0731, ","   38.3","0,0713, ","0.0","0,1130","-3.9","0,1226","","","0.0","0,0311","-2.8","0,0301","-4.4","0,0219","-8.9","0,0202","-8.9","0,0202","    1375.8","8","    1375.8","0","    446.7"," ,0","      342"," ,0","     17.01","0","     24.09","0","      9.93","0"
"USC00027326","1940","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        72","0","        46","0","         9","0","        0","","         0","0","","","","","","","","","","","         7"," ","        25"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.8"," ,0,0815, ","","","","","","","","","","","","","","","","","","","","","","","    694.1"," ,0","        0"," ,0","","","","","",""
"USC00027326","1941","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    720.0","","     720.0","0","        64","0","        42","0","         3","0","        0","","         0","0","         0","0","        19","0","         0","0","       229","0","        56","0","         7"," ","        17"," ","   -6.1","0,1226,+","     0","T,0,1225, ","     0","T,0,1225,+"," 112.5"," ,0,0722, ","   37.2","0,0705,+","-2.8","0,1119","-2.8","0,1119","-6.1","0,1225","0.0","0,0307","-2.2","0,0116","","","","","","","    1346.8","8","    1346.8","0","    580.4"," ,0","        0","T,0","     16.39","0","     23.94","0","      8.85","0"
"USC00027326","1942","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    833.0","","     833.0","0","        48","0","        31","0","         3","0","        1","","         1","0","         0","0","        37","0","         0","0","       272","0","        82","0","         1"," ","         9"," ","   -5.0","0,0215, ","    51"," ,0,0103, ","    64"," ,0,0103, ","  34.8"," ,0,0228, ","   39.4","0,0706, ","-2.2","0,1207","-2.2","0,1207","","","-0.6","0,0430","-2.8","0,0325","-4.4","0,0216","","","","","    1368.4","4","    1368.4","0","    328.0"," ,0","       64"," ,0","     17.03","0","     25.34","0","      8.72","0"
"USC00027326","1943","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    888.4","","     888.4","0","        49","0","        33","0","         2","0","        0","","         0","0","         0","0","        21","0","         0","0","       265","0","        71","0","","","         4"," ","   -3.3","0,1229,+","     0"," ,0,1231,+","     0","T,0,1226,+","  31.8"," ,0,0706, ","   37.8","0,0708,+","-0.6","0,1222","-3.3","0,1227","","","0.0","0,0411","-2.8","0,0210","","","","","","","    1090.3","3","    1090.3","0","    349.8"," ,0","        0","T,0","     17.72","0","     25.54","0","      9.89","0"
"USC00027326","1944","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        60","0","        46","0","         9","0","        1","","         3","0","","","","","","","","","","","","","        13"," ","","","    25"," ,0,0227, ","   102"," ,0,0227, ","  66.0"," ,0,1027, ","","","","","","","","","","","","","","","","","","","    1427.4","4","    1427.4","0","    771.7"," ,0","      270"," ,0","","","","","",""
"USC00027326","1945","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        46","0","        22","0","         5","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","","","     0","T,0,0410, ","     0","T,0,0410,+","  39.6"," ,0,0714, ","","","","","","","","","","","","","","","","","","","","","","","    366.4"," ,0","        0","T,0","","","","","",""
"USC00027326","1946","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        66","0","        43","0","         1","0","        0","","         2","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","    51"," ,0,0305, ","  25.9"," ,0,0106, ","","","","","","","","","","","","","","","","","","","","","","","    465.0"," ,0","       84"," ,0","","","","","",""
"USC00027326","1947","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        58","0","        34","0","         3","0","        0","","         1","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","    51"," ,0,0102, ","  35.8"," ,0,0814, ","","","","","","","","","","","","","","","","","","","","","","","    333.9"," ,0","       51"," ,0","","","","","",""
"USC00027326","1948","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        49","0","        28","0","         1","0","        1","","         1","0","","","","","","","","","","","","","","","","","    25"," ,0,0229, ","    25"," ,0,0229, ","  30.0"," ,0,0805, ","","","","","","","","","","","","","","","","","","","","","","","    288.4"," ,0","       25"," ,0","","","","","",""
"USC00027326","1949","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        56","0","        45","0","         2","0","        2","","         5","0","","","","","","","","","","","","","","","","","    51"," ,0,0125, ","   140"," ,0,0125, ","  39.9"," ,0,1210, ","","","","","","","","","","","","","","","","","","","","","","","    424.0"," ,0","      305"," ,0","","","","","",""
"USC00027326","1950","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        40","0","        26","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.9"," ,0,0721, ","","","","","","","","","","","","","","","","","","","","","","","    299.8"," ,0","        0"," ,0","","","","","",""
"USC00027326","1951","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        56","0","        38","0","         4","0","","","         4","0","","","","","","","","","","","","","","","","","","","   267"," ,0,0112, ","  73.9"," ,0,0802, ","","","","","","","","","","","","","","","","","","","","","","","    544.4"," ,0","      521"," ,0","","","","","",""
"USC00027326","1952","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        67","0","        41","0","         5","0","        0","","         3","0","","","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","   127"," ,0,0309, ","  39.1"," ,0,1116, ","","","","","","","","","","","","","","","","","","","","","","","    575.9"," ,0","      254"," ,0","","","","","",""
"USC00027326","1953","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        40","0","        21","0","         0","0","        0","","         2","0","","","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","   147"," ,0,0224, ","  21.8"," ,0,0714, ","","","","","","","","","","","","","","","","","","","","","","","    256.9"," ,0","      198"," ,0","","","","","",""
"USC00027326","1954","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        57","0","        37","0","         6","0","        0","","         1","0","","","","","","","","","","","","","         9"," ","","","     0"," ,0,1231,+","    25"," ,0,0324, ","  35.3"," ,0,0812, ","","","","","","","","","","","","","","","","","","","","","","","    539.3"," ,0","       25"," ,0","","","","","",""
"USC00027326","1955","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        46","0","        33","0","         5","0","        0","","         2","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","    38"," ,0,0117, ","  47.5"," ,0,0826, ","","","","","","","","","","","","","","","","","","","","","","","    463.5"," ,0","       76"," ,0","","","","","",""
