"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027398","2010","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","   1739.5","","    1739.5","0","        53","0","        28","0","         2","0","        0","","         0","0","         0","0","         3","0","         0","0","       261","0","       135","0","   -2.8","0,1231, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.6"," ,0,0122, ","   42.8","0,0716, ","0.0","0,1129","-2.2","0,1130","","","","","","","","","","","","","","","    332.3"," ,0","        0"," ,0","     20.94","0","     27.97","0","     13.91","0"
"USC00027398","2011","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","   1759.2","","    1759.2","7","        48","7","        31","7","         2","7","","","","","         0","7","        15","7","         0","7","       264","7","       142","7","  -10.6","7,0203, ","","","","","  34.8"," ,7,0911, ","   43.9","7,0628, ","-0.6","7,1204","-2.8","7,1206","0.0","7,0205","-8.3","7,0204","-8.3","7,0204","-8.3","7,0204","-10.6","7,0203","     705.6","6","     705.6","7","    360.6"," ,7","","","     20.92","7","     28.06","7","     13.78","7"
"USC00027398","2014","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","   1813.4","","    1813.4","7","        44","7","        24","7","         1","7","","","","","         0","7","         3","7","         0","7","       303","7","       133","7","   -1.7","7,1229,+","","","","","  28.7"," ,7,1009, ","   41.1","7,0723,+","-1.1","7,1227","","","","","","","","","","","","","","","","","    284.2"," ,7","","","     21.84","7","     28.73","7","     14.94","7"
"USC00027398","2015","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","   1755.2","","    1755.2","7","        78","7","        36","7","         2","7","","","","","         0","7","        12","7","         0","7","       298","7","       134","7","   -3.3","7,1227,+","","","","","  42.2"," ,7,0131, ","   42.2","7,0620,+","-1.1","7,1215","-2.2","7,1216","-0.6","7,0104","-3.3","7,0103","","","","","","","     587.8","8","     587.8","7","    402.6"," ,7","","","     21.16","7","     28.01","7","     14.31","7"
"USC00027398","2016","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","","","","","        57","7","        26","7","         2","7","","","","","","","","","","","","","","","","","","","","","  34.8"," ,7,0810, ","","","","","","","","","","","","","","","","","     758.1","1","     758.1"," ","    358.6"," ,7","","","","","","","",""
"USC00027398","2017","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","   2043.5","","    2043.5","7","        52","7","        22","7","         2","7","","","","","         0","7","         6","7","         0","7","       302","7","       170","7","   -1.7","7,1222, ","","","","","  50.5"," ,7,0813, ","   45.6","7,0622,+","0.0","7,1208","","","-1.1","7,0128","","","","","","","","","","","","","    266.8"," ,7","","","     22.47","7","     29.72","7","     15.22","7"
"USC00027398","2018","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     429.5","5","     429.5","7","","","","","","","","","",""
"USC00027398","2020","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","","","","","        43","7","        18","7","         0","7","","","","","","","","","","","","","","","","","","","","","  15.2"," ,7,0211, ","","","","","","","","","","","","","","","","","","","","","    144.9"," ,7","","","","","","","",""
"USC00027398","2021","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","","","","","        65","7","        32","7","         6","7","","","","","","","","","","","","","","","","","","","","","  69.9"," ,7,0723, ","","","","","","","","","","","","","","","","","","","","","    518.5"," ,7","","","","","","","",""
"USC00027398","2023","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    252.9"," ,7","","","","","","","",""
"USC00027398","2024","32.1794","-110.7363","938.8","SAGUARO NATIONAL PARK, AZ US","   2126.9","","    2126.9","7","        55","7","        32","7","         1","7","","","","","         0","7","         3","7","         0","7","       294","7","       170","7","   -2.2","7,0109,+","","","","","  25.4"," ,7,0719, ","   43.9","7,0710,+","","","","","-1.7","7,0112","-2.2","7,0109","","","","","","","     702.7","7","     702.7","7","    280.8"," ,7","","","     22.30","7","     29.75","7","     14.85","7"
