"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000COKG","2009","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    839.1","","     839.1","U","         0","U","        46","U","         0","U","       274","U","       116","U","   -3.9","U,0210,+","   42.2","U,0828, ","0.0","U,1028","-2.8","U,1208","","","0.0","U,0426","-2.8","U,0416","","","","","","","    1201.9","9","    1201.9","U","     17.02","U","     26.61","U","      7.44","U"
"USR0000COKG","2010","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    646.4","","     646.4","U","         0","U","        34","U","         0","U","       249","U","        94","U","   -5.0","U,1231, ","   41.7","U,0824, ","0.0","U,1110","-2.2","U,1127","-4.4","U,1129","0.0","U,0430","-2.2","U,0310","","","","","","","    1409.0","0","    1409.0","U","     16.17","U","     25.33","U","      7.01","U"
"USR0000COKG","2011","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    774.9","","     774.9","U","         0","U","        40","U","         0","U","       254","U","       108","U","   -5.0","U,0227, ","   41.7","U,0825, ","0.0","U,1125","","","","","-1.7","U,0410","-2.2","U,0228","-5.0","U,0227","","","","","    1429.1","1","    1429.1","U","     16.49","U","     25.89","U","      7.09","U"
"USR0000COKG","2012","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    756.6","","     756.6","U","         0","U","        24","U","         0","U","       250","U","        92","U","   -4.4","U,0117, ","   39.4","U,0811,+","-1.1","U,1110","-2.2","U,1111","","","-0.6","U,0415","-2.8","U,0229","-4.4","U,0117","","","","","    1352.7","7","    1352.7","U","     16.72","U","     25.05","U","      8.38","U"
"USR0000COKG","2013","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    700.6","","     700.6","U","         0","U","        34","U","         0","U","       253","U","        71","U","   -7.2","U,0112, ","   40.6","U,0630,+","-1.7","U,1205","-2.2","U,1206","","","-0.6","U,0417","-3.3","U,0222","-6.1","U,0114","-7.2","U,0112","","","    1393.6","6","    1393.6","U","     16.36","U","     24.55","U","      8.16","U"
"USR0000COKG","2014","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    744.5","","     744.5","U","         0","U","        14","U","         0","U","       276","U","        79","U","   -5.6","U,1231, ","   39.4","U,0724, ","0.0","U,1225","-2.2","U,1228","-5.6","U,1231","-0.6","U,0405","-2.2","U,0202","","","","","","","    1137.3","3","    1137.3","U","     17.45","U","     25.81","U","      9.09","U"
"USR0000COKG","2015","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    731.9","","     731.9","U","         0","U","        27","U","         0","U","       267","U","        77","U","   -6.7","U,0101, ","   40.0","U,0816,+","0.0","U,1111","-2.8","U,1214","-4.4","U,1226","-0.6","U,0407","-2.2","U,0103","-6.7","U,0101","-6.7","U,0101","","","    1112.7","7","    1112.7","U","     17.00","U","     25.15","U","      8.85","U"
"USR0000COKG","2016","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    718.5","","     718.5","U","         0","U","        15","U","         0","U","       259","U","        80","U","   -3.9","U,0202, ","   42.8","U,0620, ","-2.2","U,1217","-2.2","U,1217","","","-1.7","U,0330","-3.9","U,0202","","","","","","","    1286.3","3","    1286.3","U","     17.02","U","     25.14","U","      8.90","U"
"USR0000COKG","2017","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    801.9","","     801.9","U","         0","U","        11","U","         0","U","       260","U","        89","U","   -3.3","U,1221,+","   41.1","U,0707, ","-3.3","U,1221","-3.3","U,1221","","","0.0","U,0409","-3.3","U,0224","","","","","","","    1287.2","2","    1287.2","U","     17.27","U","     25.48","U","      9.06","U"
"USR0000COKG","2018","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    766.5","","     766.5","U","         0","U","        25","U","         0","U","       262","U","        88","U","   -6.7","U,0220, ","   41.7","U,0706, ","0.0","U,1226","","","","","0.0","U,0417","-2.8","U,0228","-4.4","U,0221","-6.7","U,0220","","","    1140.3","3","    1140.3","U","     16.95","U","     25.05","U","      8.86","U"
"USR0000COKG","2019","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    603.6","","     603.6","U","         0","U","        27","U","         0","U","       218","U","        71","U","   -5.0","U,0219, ","   38.3","U,0901,+","0.0","U,1130","-2.8","U,1219","","","0.0","U,0311","-3.3","U,0223","-5.0","U,0219","","","","","    1513.5","5","    1513.5","U","     15.63","U","     23.43","U","      7.82","U"
"USR0000COKG","2020","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","","","","","","","","","         0","U","       245","U","       107","U","","","   43.3","U,0905, ","","","","","","","","","","","","","","","","","    1428.2","2","    1428.2","U","","","     25.39","U","",""
"USR0000COKG","2021","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    826.7","","     826.7","U","         0","U","        22","U","         0","U","       247","U","        91","U","   -3.3","U,0316,+","   41.3","U,0616, ","-0.4","U,1213","-2.4","U,1216","","","-0.6","U,0522","-3.3","U,0316","","","","","","","","","","","     16.84","U","     25.17","U","      8.51","U"
"USR0000COKG","2022","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    866.9","","     866.9","U","         0","U","        25","U","         0","U","       239","U","        99","U","   -5.6","U,0224, ","   40.6","U,0906,+","0.0","U,1104","-2.2","U,1214","","","-2.2","U,0511","-2.2","U,0511","-5.6","U,0224","","","","","    1219.9","9","    1219.9","U","     17.03","U","     25.34","U","      8.73","U"
"USR0000COKG","2023","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    598.1","","     598.1","U","         0","U","        32","U","         0","U","       202","U","        64","U","   -6.1","U,0215, ","   40.0","U,0715, ","","","","","","","-0.6","U,0405","-3.3","U,0302","-6.1","U,0215","","","","","    1790.6","6","    1790.6","U","     15.37","U","     23.05","U","      7.70","U"
"USR0000COKG","2024","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    867.7","","     867.7","U","         0","U","        27","U","         0","U","       238","U","       103","U","   -3.9","U,0108, ","   42.8","U,0906, ","-1.7","U,1116","","","","","0.0","U,0506","-2.2","U,0112","","","","","","","    1527.1","1","    1527.1","U","     16.49","U","     24.84","U","      8.14","U"
