"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00412655","1894","30.416667","-97.733333","198.1","DUVAL, TX US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00412655","1899","30.416667","-97.733333","198.1","DUVAL, TX US","","","","","        49","6","        43","6","        11","6","         1","6","        34","6","         4","6","       272","6","       100","6","","","","","  -17.8","6,0213, "," 117.9"," ,6,0701, ","   38.9","6,0325, ","-0.6","6,1103","-2.8","6,1215","","","","","-2.2","6,0328","-2.2","6,0328","-6.7","6,0214","-6.7","6,0214","-17.8","6,0213","","","","","    810.1"," ,6","     19.99","6","     25.81","6","     14.16","6"
"USC00412655","1900","30.416667","-97.733333","198.1","DUVAL, TX US","   1371.2","","    1371.2","6","        73","6","        59","6","        16","6","         0","6","        16","6","         0","6","       268","6","        53","6","","","         4"," ","   -8.9","6,0217, "," 132.1"," ,6,0406, ","   36.1","6,0626, ","0.0","6,1110","","","","","","","0.0","6,0316","-7.8","6,0218","-7.8","6,0218","-7.8","6,0218","-8.9","6,0217","     850.7","7","     850.7","6","   1198.5"," ,6","     19.57","6","     24.94","6","     14.19","6"
"USC00412655","1901","30.416667","-97.733333","198.1","DUVAL, TX US","","","","","        48","6","        38","6","         4","6","","","","","         0","6","       278","6","        86","6","         5"," ","        28"," ","","","  64.8"," ,6,0523, ","   40.0","6,0817, ","","","","","","","","","","","","","","","","","","","     829.6","6","     829.6","6","    543.6"," ,6","","","     25.85","6","",""
"USC00412655","1902","30.416667","-97.733333","198.1","DUVAL, TX US","","","","","        62","6","        52","6","        11","6","","","","","         1","6","       279","6","       118","6","        10"," ","        45"," ","","","  60.5"," ,6,0906, ","   38.3","6,0901, ","","","","","","","","","","","","","","","","","","","","","","","    923.2"," ,6","","","     27.13","6","",""
"USC00412655","1903","30.416667","-97.733333","198.1","DUVAL, TX US","","","","","","","","","","","","","","","","","","","","","         3"," ","        35"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00412655","1904","30.416667","-97.733333","198.1","DUVAL, TX US","","","","","        45","6","        34","6","        12","6","         0","6","        25","6","","","","","","","         8"," ","        31"," ","   -9.4","6,0129, ","  85.3"," ,6,0503, ","","","-1.1","6,1112","-2.2","6,1215","-4.4","6,1227","","","-0.6","6,0304","-2.8","6,0211","-9.4","6,0129","-9.4","6,0129","-9.4","6,0129","","","","","    716.6"," ,6","","","","","     13.98","6"
"USC00412655","1905","30.416667","-97.733333","198.1","DUVAL, TX US","   1504.1","","    1504.1","6","","","","","","","         0","6","        31","6","         2","6","       253","6","        83","6","         1"," ","        23"," ","  -12.2","6,0213, ","","","   37.8","6,0826, ","0.0","6,1203","-3.9","6,1231","","","","","-1.1","6,0221","-2.2","6,0215","-8.3","6,0214","-8.3","6,0214","-12.2","6,0213","    1056.5","5","    1056.5","6","","","     19.22","6","     24.42","6","     14.03","6"
"USC00412655","1906","30.416667","-97.733333","198.1","DUVAL, TX US","   1460.8","","    1460.8","6","","","","","","","         0","6","        25","6","         1","6","       280","6","        91","6","         3"," ","        41"," ","   -5.0","6,0205, ","","","   37.8","6,0623,+","-1.1","6,1120","-3.3","6,1121","","","","","-2.8","6,0320","-2.8","6,0320","-5.0","6,0205","","","","","    1049.8","8","    1049.8","6","","","     19.74","6","     25.62","6","     13.86","6"
"USC00412655","1907","30.416667","-97.733333","198.1","DUVAL, TX US","   1504.9","","    1504.9","6","","","","","","","         0","6","         8","6","         0","6","       273","6","        90","6","         4"," ","        38"," ","   -3.9","6,0205, ","","","   37.2","6,0909,+","-0.6","6,1112","-2.2","6,1113","","","","","-0.6","6,0208","-3.9","6,0205","","","","","","","     657.5","5","     657.5","6","","","     20.49","6","     26.09","6","     14.89","6"
