"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00310650","1949","35.63333","-82.4","775.1","BEETREE DAM, NC US","       121","0","        85","0","        13","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.1"," ,0,0828, ","   1352.6"," ,0","        0"," ,0","     14189","0"
"USC00310650","1950","35.63333","-82.4","775.1","BEETREE DAM, NC US","        97","0","        59","0","         6","0","","","","","","","","","  66.5"," ,0,0831, ","    914.8"," ,0","","","",""
"USC00310650","1952","35.63333","-82.4","775.1","BEETREE DAM, NC US","       106","0","        71","0","         9","0","","","","","","","","","  66.5"," ,0,1120, ","   1003.4"," ,0","","","",""
"USC00310650","1953","35.63333","-82.4","775.1","BEETREE DAM, NC US","       105","0","        67","0","         8","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.8"," ,0,0920, ","    961.3"," ,0","        0"," ,0","     15302","0"
"USC00310650","1954","35.63333","-82.4","775.1","BEETREE DAM, NC US","       106","0","        68","0","        10","0","","","","","","","","","  48.8"," ,0,0221, ","    944.4"," ,0","","","     13353","0"
"USC00310650","1955","35.63333","-82.4","775.1","BEETREE DAM, NC US","       115","0","        77","0","         6","0","","","","","","","","","  51.3"," ,0,0711, ","    940.6"," ,0","","","     10569","0"
"USC00310650","1956","35.63333","-82.4","775.1","BEETREE DAM, NC US","       117","0","        79","0","         9","0","","","","","","","","","  48.0"," ,0,0926, ","   1027.8"," ,0","","","     14656","0"
"USC00310650","1957","35.63333","-82.4","775.1","BEETREE DAM, NC US","","","","","","","","","","","","","","","","","   1476.5"," ,0","","","     12259","0"
"USC00310650","1958","35.63333","-82.4","775.1","BEETREE DAM, NC US","       111","0","        71","0","        11","0","","","","","","","","","  62.7"," ,0,1229, ","   1116.4"," ,0","","","     13764","0"
"USC00310650","1959","35.63333","-82.4","775.1","BEETREE DAM, NC US","       140","0","        92","0","         8","0","","","","","","","",""," 113.0"," ,0,0930, ","   1292.3"," ,0","","","     13295","0"
"USC00310650","1960","35.63333","-82.4","775.1","BEETREE DAM, NC US","       134","0","        92","0","         8","0","","","","","","","","","  48.0"," ,0,0813, ","   1095.4"," ,0","","","",""
"USC00310650","1961","35.63333","-82.4","775.1","BEETREE DAM, NC US","       137","0","        89","0","        14","0","","","","","","","","","  61.0"," ,0,0825, ","   1305.1"," ,0","","","     14196","0"
"USC00310650","1962","35.63333","-82.4","775.1","BEETREE DAM, NC US","       137","0","        97","0","         7","0","","","","","","","","","  57.7"," ,0,1109, ","   1156.7"," ,0","","","",""
"USC00310650","1963","35.63333","-82.4","775.1","BEETREE DAM, NC US","       114","0","        69","0","         8","0","","","","","","","","","  68.6"," ,0,1129, ","   1104.9"," ,0","","","",""
"USC00310650","1965","35.63333","-82.4","775.1","BEETREE DAM, NC US","       129","0","        78","0","        14","0","","","","","","","",""," 100.3"," ,0,0326, ","   1284.2"," ,0","","","     12569","0"
"USC00310650","1966","35.63333","-82.4","775.1","BEETREE DAM, NC US","       130","0","        91","0","        10","0","","","","","","","","","  75.2"," ,0,0810, ","   1220.7"," ,0","","","     11595","0"
"USC00310650","1967","35.63333","-82.4","775.1","BEETREE DAM, NC US","       116","0","        90","0","        14","0","","","","","","","","","  56.4"," ,0,0605, ","   1307.4"," ,0","","","",""
"USC00310650","1969","35.63333","-82.4","775.1","BEETREE DAM, NC US","       125","0","        87","0","         9","0","","","","","","","","","  43.4"," ,0,0319, ","   1068.2"," ,0","","","     12618","0"
"USC00310650","1970","35.63333","-82.4","775.1","BEETREE DAM, NC US","       125","0","        84","0","         7","0","","","","","","","","","  50.8"," ,0,0722, ","    964.8"," ,0","","","     16631","0"
"USC00310650","1971","35.63333","-82.4","775.1","BEETREE DAM, NC US","       143","0","        98","0","         6","0","","","","","","","","","  38.1"," ,0,1101, ","   1165.3"," ,0","","","",""
