"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"VMW00041068","1968","16.68333","106.83333","37.2","VANDERGRIF, VM","       107"," ","        28"," ","         6"," "
"VMW00041068","1969","16.68333","106.83333","37.2","VANDERGRIF, VM","       169"," ","        25"," ","        29"," "
