"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00403679","1893","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","","","","","       121","6","       101","6","         8","6","","","","","         6","6","        76","6","        16","6","       157","6","         1","6","","","  -28.9","6,0116, ","","","","","  65.0"," ,6,0503, ","   32.2","6,0714, ","","","-2.2","6,1030","-2.2","6,1030","-4.4","6,1116","-6.7","6,1124","-8.9","6,1125","-0.6","6,0424","-2.8","6,0319","-5.6","6,0316","-6.7","6,0305","-12.8","6,0122","","","","","","","","","","","","","","","","","   1167.7"," ,6","","","     13.23","6","     17.74","6","      8.72","6","",""
"USC00403679","1894","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    598.7","","     598.7","6","       114","6","        83","6","         6","6","","","","","         1","6","        77","6","         4","6","       182","6","        13","6","","","  -20.0","6,1229, ","","","","","  85.6"," ,6,0203, ","   33.3","6,0810,+","","","-1.1","6,1014","-4.4","6,1107","-4.4","6,1107","-8.3","6,1112","-15.0","6,1228","-2.2","6,0413","-2.2","6,0413","-6.1","6,0330","-7.8","6,0328","-10.6","6,0327","    2137.5","5","","","    2137.5","6","","","","","","","","","","","   1029.7"," ,6","","","     14.01","6","     20.18","6","      7.83","6","",""
"USC00403679","1895","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    593.7","","     593.7","6","       122","6","        88","6","        11","6","","","","","         6","6","       106","6","        16","6","       176","6","        16","6","","","  -23.3","6,0208, ","","","","","  61.0"," ,6,0725, ","   35.0","6,0603, ","","","0.0","6,0930","-2.8","6,1020","-4.4","6,1113","-7.2","6,1121","-11.1","6,1204","-0.6","6,0515","-2.2","6,0415","-6.7","6,0318","-6.7","6,0318","-8.9","6,0218","    2576.4","4","","","    2576.4","6","","","","","","","","","","","   1026.0"," ,6","","","     12.70","6","     19.03","6","      6.38","6","",""
"USC00403679","1896","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    650.6","","     650.6","6","       113","6","        86","6","        12","6","","","","","         1","6","        93","6","         6","6","       192","6","        18","6","","","  -18.3","6,0221, ","","","","","  82.3"," ,6,0708, ","   33.9","6,0918, ","","","-1.7","6,1019","-5.0","6,1109","-5.0","6,1109","-7.8","6,1201","-10.6","6,1225","-1.1","6,0407","-3.9","6,0404","-6.7","6,0321","-6.7","6,0321","-13.3","6,0222","    2293.6","6","","","    2293.6","6","","","","","","","","","","","   1301.7"," ,6","","","     14.00","6","     20.10","6","      7.89","6","",""
"USC00403679","1897","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    511.5","","     511.5","6","       140","6","        90","6","        14","6","","","","","         3","6","        74","6","         7","6","       191","6","        23","6","","","  -22.2","6,0129, ","","","","","  46.7"," ,6,0306, ","   35.6","6,0916,+","","","0.0","6,1030","-2.8","6,1113","-5.6","6,1118","-6.7","6,1124","-10.6","6,1224","-1.1","6,0418","-6.1","6,0328","-6.1","6,0328","-9.4","6,0228","-9.4","6,0228","    2234.4","4","","","    2234.4","6","","","","","","","","","","","   1205.9"," ,6","","","     13.83","6","     20.20","6","      7.46","6","",""
"USC00403679","1898","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","","","","","       138","6","        91","6","         9","6","","","","","         0","6","        94","6","","","","","","","","","  -17.2","6,0203, ","","","","","  59.2"," ,6,0804, ","","","","","-1.1","6,1015","-3.3","6,1027","-7.2","6,1123","-7.2","6,1123","-8.9","6,1125","-3.3","6,0408","-3.3","6,0408","-6.1","6,0406","-7.2","6,0226","-12.8","6,0204","    2104.1","1","","","    2104.1","6","","","","","","","","","","","   1021.0"," ,6","","","","","","","      7.30","6","",""
"USC00403679","1899","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    629.8","","     629.8","6","       137","6","        95","6","        12","6","","","","","         4","6","        92","6","        13","6","       185","6","        42","6","","","  -25.6","6,0214, ","","","","","  68.6"," ,6,0919, ","   35.6","6,0715, ","","","-0.6","6,0930","-5.0","6,1105","-5.0","6,1105","-11.1","6,1205","-11.1","6,1205","0.0","6,0417","-2.2","6,0410","-4.4","6,0402","-6.7","6,0329","-11.7","6,0308","","","","","","","","","","","","","","","","","   1219.0"," ,6","","","     13.40","6","     19.98","6","      6.82","6","",""
"USC00403679","1900","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    679.9","","     679.9","6","       127","6","        87","6","         9","6","","","","","         2","6","        99","6","        10","6","       202","6","        35","6","","","  -19.4","6,0102, ","","","","","  62.7"," ,6,0612, ","   36.1","6,0811, ","","","-0.6","6,1106","-2.2","6,1108","-7.2","6,1109","-7.2","6,1109","","","-2.2","6,0413","-2.2","6,0413","-5.6","6,0401","-6.7","6,0321","-10.0","6,0318","    2441.1","1","","","    2441.1","6","","","","","","","","","","","   1045.9"," ,6","","","     13.77","6","     20.36","6","      7.19","6","",""
"USC00403679","1901","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    507.2","","     507.2","6","       129","6","        93","6","        18","6","","","","","         1","6","       118","6","        12","6","       179","6","        19","6","","","  -22.2","6,1221, ","","","","","  71.1"," ,6,0521, ","   36.1","6,0724,+","","","-0.6","6,1015","-2.2","6,1018","-6.1","6,1106","-7.8","6,1118","-12.8","6,1215","-0.6","6,0424","-2.2","6,0422","-5.6","6,0322","-11.1","6,0307","-11.1","6,0307","    2437.8","8","","","    2437.8","6","","","","","","","","","","","   1470.2"," ,6","","","     12.10","6","     18.64","6","      5.56","6","",""
"USC00403679","1902","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    560.3","","     560.3","6","       133","6","        77","6","         9","6","","","","","         0","6","        91","6","        13","6","       199","6","        27","6","","","  -15.0","6,0205, ","","","","","  49.3"," ,6,0618, ","   34.4","6,0814, ","","","-2.2","6,1015","-2.2","6,1015","-4.4","6,1206","-7.8","6,1209","-11.1","6,1226","-2.2","6,0409","-2.2","6,0409","-4.4","6,0408","-9.4","6,0319","-9.4","6,0319","    2703.2","2","","","    2703.2","6","","","","","","","","","","","    996.1"," ,6","","","     13.24","6","     19.75","6","      6.73","6","",""
"USC00403679","1903","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","","","","","       133","6","        88","6","        10","6","","","","","","","","","","","","","","","","","","","","","","","  82.6"," ,6,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","    2118.0","0","","","    2118.0","6","","","","","","","","","","","   1228.9"," ,6","","","","","","","","","",""
"USC00403679","1904","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    532.4","","     532.4","6","       131","6","        90","6","         8","6","","","","","         0","6","        91","6","         6","6","       182","6","         8","6","","","  -12.2","6,0202,+","","","","","  42.4"," ,6,1113, ","   33.9","6,0719, ","","","-0.6","6,1023","-3.3","6,1024","-7.2","6,1115","-7.2","6,1115","-10.0","6,1229","-6.1","6,0421","-6.1","6,0421","-6.1","6,0421","-9.4","6,0217","-9.4","6,0217","","","","","","","","","","","","","","","","","   1044.9"," ,6","","","     13.32","6","     19.25","6","      7.38","6","",""
"USC00403679","1905","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    617.8","","     617.8","6","       143","6","        97","6","         4","6","","","","","         3","6","        85","6","        12","6","       191","6","         4","6","","","  -24.4","6,0214, ","","","","","  44.5"," ,6,1203, ","   32.8","6,0703, ","","","0.0","6,1013","-2.2","6,1022","-4.4","6,1111","-6.7","6,1201","-9.4","6,1205","0.0","6,0419","-2.2","6,0227","-8.9","6,0218","-8.9","6,0218","-8.9","6,0218","    2344.7","7","","","    2344.7","6","","","","","","","","","","","   1107.3"," ,6","","","     13.67","6","     19.29","6","      8.04","6","",""
"USC00403679","1906","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    634.1","","     634.1","6","       130","6","        97","6","         8","6","","","","","         0","6","        93","6","         3","6","       185","6","         5","6","","","  -13.9","6,1224, ","","","","","  48.3"," ,6,0813, ","   33.3","6,0628, ","","","-3.9","6,1011","-3.9","6,1011","-4.4","6,1012","-7.2","6,1114","-13.9","6,1224","0.0","6,0510","-2.8","6,0402","-7.8","6,0321","-7.8","6,0321","-10.0","6,0228","    2180.0","0","","","    2180.0","6","","","","","","","","","","","   1139.0"," ,6","","","     13.99","6","     19.81","6","      8.16","6","",""
"USC00403679","1933","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    801.4","","     801.4","6","       124","6","        76","6","         6","6","","","","","         1","6","        84","6","         3","6","       201","6","        53","6","","","  -18.3","6,0209, ","","","","","  50.0"," ,6,0714, ","   37.8","6,0608, ","","","0.0","6,1009","-2.8","6,1108","-6.7","6,1109","-6.7","6,1109","-11.1","6,1116","-2.8","6,0329","-2.8","6,0329","-5.6","6,0311","-6.7","6,0213","-15.0","6,0212","","","","","","","","","","","","","","","","","    981.5"," ,6","","","     15.05","6","     22.15","6","      7.96","6","",""
"USC00403679","1934","36.1056","-82.8436","402.3","GREENEVILLE EXPERIMENTAL STATION, TN US","    770.6","","     770.6","6","       137","6","        95","6","        12","6","","","","","         0","6","       100","6","         7","6","       198","6","        52","6","","","  -15.6","6,0130, ","","","","","  43.7"," ,6,0409, ","   37.2","6,0724,+","","","-1.1","6,1015","-3.3","6,1028","-6.7","6,1113","-6.7","6,1113","-9.4","6,1211","-2.2","6,0428","-2.2","6,0428","-5.0","6,0316","-7.8","6,0315","-9.4","6,0312","    2108.1","1","","","    2108.1","6","","","","","","","","","","","   1070.3"," ,6","","","     14.20","6","     21.16","6","      7.23","6","",""
