"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00008333","1984","28.3833","-106.9167","2089.7","NORTEA MANZANEROS UNIDOS, MX","","","","","        49","m","        30","m","         3","m","","","","","","","","","","","","","  38.9"," ,m,0926, ","","","","","","","","","","","","","","","","","","","","","","","    386.6"," ,m","","","","","",""
"MXN00008333","1985","28.3833","-106.9167","2089.7","NORTEA MANZANEROS UNIDOS, MX","    184.8","","     184.8","m","        60","m","        43","m","        10","m","         0","m","       132","m","         1","m","       226","m","        14","m","  -12.2","m,0208, ","  50.8"," ,m,0915, ","   35.6","m,0610, ","-1.1","m,1013","-2.2","m,1103","-4.4","m,1115","-7.2","m,1209","-10.0","m,1212","0.0","m,0514","-2.8","m,0402","-4.4","m,0401","-9.4","m,0331","-9.4","m,0331","    671.1"," ,m","     13.15","m","     22.90","m","      3.40","m"
