"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000087129","1957","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1325.0","","    1325.0","G","         0","G","        30","G","         0","G","       293","G","       113","G","   -7.4","G,0720, ","   41.8","G,1130,+","-3.8","G,0603","-3.8","G,0603","-4.8","G,0701","-6.7","G,0714","","","-0.4","G,0818","-3.0","G,0810","","","","","     673.2","2","     673.2","G","     20.56","G","     27.94","G","     13.17","G"
"AR000087129","1958","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1543.5","","    1543.5","G","         0","G","        15","G","         0","G","       303","G","       116","G","   -3.0","G,0829, ","   41.6","G,1122, ","-2.2","G,0523","-2.2","G,0523","","","","","","","-3.0","G,0829","-3.0","G,0829","","","","","     478.8","8","     478.8","G","     21.29","G","     28.18","G","     14.39","G"
"AR000087129","1959","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","","","","","         0","G","        11","G","","","","","","","   -3.2","G,0521, ","","","-1.6","G,0519","-3.2","G,0521","","","","","","","0.0","G,0913","","","","","","","","","","","","","","","     13.43","G"
"AR000087129","1960","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1453.0","","    1453.0","G","         0","G","        16","G","         0","G","       310","G","       104","G","   -5.8","G,0709,+","   41.6","G,1208, ","-3.7","G,0520","-3.7","G,0520","-5.8","G,0708","","","","","-2.6","G,0902","-2.6","G,0902","-4.6","G,0802","","","     582.8","8","     582.8","G","     20.74","G","     27.97","G","     13.50","G"
"AR000087129","1961","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1456.4","","    1456.4","G","         0","G","        13","G","         0","G","       323","G","       104","G","   -6.9","G,0615, ","   43.6","G,1218, ","-0.4","G,0613","-6.3","G,0614","-6.3","G,0614","-6.9","G,0615","","","","","","","","","","","     405.1","1","     405.1","G","     21.62","G","     28.53","G","     14.71","G"
"AR000087129","1962","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1574.5","","    1574.5","G","         0","G","        25","G","         0","G","       295","G","       117","G","   -7.3","G,0716, ","   46.4","G,1128, ","-0.8","G,0603","-2.3","G,0705","-5.2","G,0706","-7.3","G,0716","","","-1.5","G,0823","-3.2","G,0812","","","","","     690.7","7","     690.7","G","     20.64","G","     28.20","G","     13.08","G"
"AR000087129","1963","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1555.4","","    1555.4","G","         0","G","        12","G","","","","","","","   -4.6","G,0805, ","","","-2.3","G,0616","-2.3","G,0616","","","","","","","-0.2","G,0812","-4.6","G,0805","-4.6","G,0805","","","","","","","","","","","     14.65","G"
"AR000087129","1964","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","","","","","         0","G","        22","G","","","","","","","   -6.1","G,0802, ","","","-0.9","G,0611","-2.6","G,0625","","","","","","","-1.0","G,0904","-4.3","G,0804","-5.3","G,0803","","","","","","","","","","","     13.72","G"
"AR000087129","1965","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1412.6","","    1412.6","G","         0","G","        10","G","         0","G","       300","G","       105","G","   -5.0","G,0711, ","   44.2","G,1129, ","-0.8","G,0522","-5.0","G,0711","-5.0","G,0711","","","","","-2.3","G,0822","-2.3","G,0822","","","","","     520.1","1","     520.1","G","     21.03","G","     28.13","G","     13.93","G"
"AR000087129","1966","-27.767","-64.3","200.0","SANTIAGO DEL ESTERO, AR","   1448.6","","    1448.6","G","         0","G","        21","G","         0","G","       306","G","        83","G","   -4.4","G,0715, ","   43.4","G,1209, ","-1.8","G,0624","-4.1","G,0629","-4.4","G,0715","","","","","-1.6","G,0903","-2.3","G,0814","","","","","     554.1","1","     554.1","G","     20.73","G","     27.87","G","     13.59","G"
