"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076160","1950","29.096","-111.048","191.1","GENERAL IGNACIO P GARCIA INTERNATIONAL, MX","         0","S","         0","S","    2.2","S,0105, ","","","     16.25","S"
"MXM00076160","1951","29.096","-111.048","191.1","GENERAL IGNACIO P GARCIA INTERNATIONAL, MX","         0","S","         1","S","    0.0","S,0102, ","0.0","S,0102","     16.26","S"
