"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120026","1953","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    524.9","","     524.9","E","        53","E","        40","E","         6","E","         0","E","         0","E","         0","E","       141","E","         4","E","    3.7","E,0107, ","  77.7"," ,E,1116, ","   33.0","E,0826,+","","","","","    1001.3","3","    1001.3","E","    608.1"," ,E","     17.01","E","     19.43","E","     14.60","E"
"SPE00120026","1954","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    365.5","","     365.5","E","        50","E","        38","E","         4","E","         0","E","         0","E","         0","E","       139","E","         0","E","    0.3","E,0204, ","  50.0"," ,E,0120, ","   30.0","E,0711, ","","","","","    1015.6","6","    1015.6","E","    433.3"," ,E","     16.65","E","     19.22","E","     14.08","E"
"SPE00120026","1955","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    524.7","","     524.7","E","","","","","","","         0","E","         0","E","         0","E","       148","E","         4","E","    5.0","E,1203, ","","","   35.0","E,0811, ","","","","","     717.5","5","     717.5","E","","","     17.64","E","     20.31","E","     14.97","E"
"SPE00120026","1956","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    345.7","","     345.7","E","        70","E","        56","E","         5","E","         0","E","         0","E","         0","E","       127","E","         0","E","    2.0","E,0213,+","  33.5"," ,E,0215, ","   31.5","E,0710, ","","","","","    1030.3","3","    1030.3","E","    606.7"," ,E","     16.16","E","     19.07","E","     13.25","E"
"SPE00120026","1957","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    445.7","","     445.7","E","        63","E","        52","E","         5","E","         0","E","         0","E","         0","E","       126","E","         4","E","    3.0","E,0118, ","  70.0"," ,E,1211, ","   35.0","E,0710, ","","","","","     995.1","1","     995.1","E","    620.1"," ,E","     16.80","E","     19.60","E","     14.01","E"
"SPE00120026","1958","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    347.6","","     347.6","E","        52","E","        26","E","         4","E","         0","E","         0","E","         0","E","       143","E","         2","E","    6.0","E,0310,+","  30.0"," ,E,1117, ","   33.0","E,0922,+","","","","","     999.0","0","     999.0","E","    344.0"," ,E","     16.69","E","     19.95","E","     13.43","E"
"SPE00120026","1959","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    365.0","","     365.0","E","        55","E","        39","E","         7","E","         0","E","         0","E","         0","E","       123","E","         0","E","    4.0","E,1212,+","  68.3"," ,E,1128, ","   31.8","E,0815, ","","","","","     958.1","1","     958.1","E","    582.5"," ,E","     16.47","E","     19.16","E","     13.78","E"
"SPE00120026","1960","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    416.0","","     416.0","E","        76","E","        57","E","         7","E","         0","E","         0","E","         0","E","       158","E","         1","E","    3.6","E,0116, ","  49.0"," ,E,1027, ","   32.4","E,0815, ","","","","","     926.3","3","     926.3","E","    727.6"," ,E","     16.91","E","     19.99","E","     13.82","E"
"SPE00120026","1962","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    478.6","","     478.6","E","        62","E","        51","E","         9","E","         0","E","         0","E","         0","E","       134","E","         2","E","    4.0","E,1214, "," 101.0"," ,E,1226, ","   36.2","E,0821, ","","","","","     870.9","9","     870.9","E","    822.0"," ,E","     16.89","E","     19.63","E","     14.16","E"
"SPE00120026","1963","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    322.6","","     322.6","E","        94","E","        72","E","         5","E","         0","E","         0","E","         0","E","       128","E","         0","E","    3.0","E,0203,+","  44.0"," ,E,1217, ","   30.2","E,0619, ","","","","","    1139.0","0","    1139.0","E","    886.3"," ,E","     16.22","E","     19.23","E","     13.21","E"
