"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001114626","1960","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","        71","C","        41","C","         1","C","","","         4","C","","","","","","","","","","","","","","","    76"," ,C,1224, ","  31.2"," ,C,0624, ","","","","","","","","","","","","","","","","","","","","","","","","","    264.6"," ,C","      318"," ,C","","","","","",""
"CA001114626","1961","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","       109","C","        54","C","         1","C","","","         3","C","","","","","","","","","","","","","","","    94"," ,C,1125, ","  28.4"," ,C,0910, ","","","","","","","","","","","","","","","","","","","","","","","","","    447.7"," ,C","      254"," ,C","","","","","",""
"CA001114626","1963","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","       100","C","        34","C","         1","C","","","         2","C","","","","","","","","","","","","","","","    74"," ,C,0202, ","  47.2"," ,C,1021, ","","","","","","","","","","","","","","","","","","","","","","","","","    343.5"," ,C","      289"," ,C","","","","","",""
"CA001114626","1964","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","       113","C","        51","C","         2","C","","","        11","C","","","","","","","","","","","","","","","   257"," ,C,0115, ","  41.1"," ,C,0610, ","","","","","","","","","","","","","","","","","","","","","","","","","    463.0"," ,C","      913"," ,C","","","","","",""
"CA001114626","1965","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","       102","C","        49","C","         0","C","","","         8","C","","","","","","","","","","","","","","","   145"," ,C,0203, ","  15.0"," ,C,1203, ","","","","","","","","","","","","","","","","","","","","","","","","","    381.6"," ,C","      714"," ,C","","","","","",""
"CA001114626","1966","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","       115","C","        53","C","         0","C","","","        10","C","","","","","","","","","","","","","","","   102"," ,C,0410, ","  21.3"," ,C,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","    412.5"," ,C","      650"," ,C","","","","","",""
"CA001114626","1967","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","        90","C","        44","C","         1","C","","","         9","C","","","","","","","","","","","","","","","   155"," ,C,0119, ","  42.9"," ,C,1030, ","","","","","","","","","","","","","","","","","","","","","","","","","    356.2"," ,C","      820"," ,C","","","","","",""
"CA001114626","1968","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","       117","C","        51","C","         0","C","","","        10","C","","","","","","","","","","","","","","","   112"," ,C,1217, ","  17.5"," ,C,0410, ","","","","","","","","","","","","","","","","","","","","","","","","","    384.5"," ,C","      533"," ,C","","","","","",""
"CA001114626","1969","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","    279.4","","     279.4","C","        97","C","        42","C","         0","C","","","         6","C","        18","C","       125","C","        31","C","       113","C","        19","C","  -31.1","C,0129, ","","","   142"," ,C,0106, ","  15.7"," ,C,0724, ","   38.3","C,0617, ","-1.1","C,1004","-2.2","C,1017","-4.4","C,1128","-6.7","C,1130","0.0","C,0426","-2.2","C,0324","-4.4","C,0313","-6.7","C,0223","-11.1","C,0222","    3940.9","9","    3940.9","C","    279.5"," ,C","      558"," ,C","      8.92","C","     14.26","C","      3.59","C"
"CA001114626","1976","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","        85","C","        25","C","         0","C","","","         2","C","","","","","","","","","","","","","","","    51"," ,C,0107, ","  11.4"," ,C,0126, ","","","","","","","","","","","","","","","","","","","","","","","","","    209.2"," ,C","      243"," ,C","","","","","",""
"CA001114626","1977","50.7","-121.9333","244.0","LILLOOET RUSSELL ST, BC CA","","","","","        86","C","        32","C","         1","C","","","         8","C","","","","","","","","","","","","","","","   240"," ,C,1125, ","  26.6"," ,C,1101, ","","","","","","","","","","","","","","","","","","","","","","","","","    288.4"," ,C","      757"," ,C","","","","","",""
