"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FR000007747","1901","42.7369","2.8728","42.0","PERPIGNAN, FR","    415.6","","     415.6","I","        81","I","        40","I","        10","I","         0","I","        31","I","         0","I","       151","I","        11","I","   -6.9","I,0106, ","  86.7"," ,I,1217, ","   34.4","I,0716, ","-0.9","I,1125","-3.8","I,1222","","","0.0","I,0329","-3.6","I,0221","-6.0","I,0220","-6.9","I,0106","","","","","","","    708.2"," ,I","     13.94","I","     18.97","I","      8.92","I"
"FR000007747","1902","42.7369","2.8728","42.0","PERPIGNAN, FR","    328.2","","     328.2","I","        74","I","        34","I","         6","I","         0","I","        22","I","         1","I","       143","I","         7","I","   -5.6","I,1207, ","  48.5"," ,I,1211, ","   38.3","I,0709, ","-1.4","I,1204","-3.2","I,1205","-5.6","I,1207","-3.9","I,0217","-3.9","I,0217","","","","","","","    1900.6","6","    1900.6","I","    498.9"," ,I","     14.28","I","     19.35","I","      9.21","I"
"FR000007747","1903","42.7369","2.8728","42.0","PERPIGNAN, FR","    363.4","","     363.4","I","        66","I","        33","I","         8","I","         0","I","        18","I","         0","I","       149","I","         6","I","   -5.6","I,0115,+","  81.7"," ,I,0121, ","   34.8","I,0829, ","-4.0","I,1202","-4.0","I,1202","","","-1.6","I,0310","-2.2","I,0218","-5.6","I,0115","","","","","    1805.9","9","    1805.9","I","    716.1"," ,I","     14.27","I","     19.62","I","      8.91","I"
"FR000007747","1904","42.7369","2.8728","42.0","PERPIGNAN, FR","    523.1","","     523.1","I","        68","I","        38","I","         2","I","         0","I","        16","I","         0","I","       171","I","        20","I","   -4.0","I,0301, ","  52.0"," ,I,0610, ","   37.4","I,0719, ","-3.3","I,1124","-3.3","I,1124","","","0.0","I,0314","-2.5","I,0302","","","","","","","    1775.2","2","    1775.2","I","    414.6"," ,I","     15.08","I","     20.42","I","      9.75","I"
"FR000007747","1905","42.7369","2.8728","42.0","PERPIGNAN, FR","    464.7","","     464.7","I","        80","I","        47","I","         3","I","         0","I","        17","I","         1","I","       138","I","        11","I","   -7.0","I,0103, ","  78.8"," ,I,0123, ","   35.0","I,0623, ","-0.2","I,1212","","","","","0.0","I,0224","-2.3","I,0121","-7.0","I,0103","-7.0","I,0103","","","    1698.7","7","    1698.7","I","    599.1"," ,I","     14.47","I","     19.38","I","      9.56","I"
"FR000007747","1906","42.7369","2.8728","42.0","PERPIGNAN, FR","    544.7","","     544.7","I","        86","I","        43","I","         9","I","         0","I","        13","I","         0","I","       157","I","        21","I","   -2.3","I,0125,+","  86.9"," ,I,1222, ","   35.7","I,0827, ","-2.1","I,1220","","","","","-0.2","I,0331","-2.3","I,0125","","","","","","","    1978.7","7","    1978.7","I","    750.4"," ,I","     14.71","I","     19.69","I","      9.73","I"
"FR000007747","1907","42.7369","2.8728","42.0","PERPIGNAN, FR","    410.9","","     410.9","I","        83","I","        40","I","         9","I","         0","I","        14","I","         1","I","       150","I","         9","I","   -5.5","I,0206, "," 106.1"," ,I,1106, ","   35.0","I,0813, ","","","","","","","-2.9","I,0207","-2.9","I,0207","-5.5","I,0206","","","","","    1830.1","1","    1830.1","I","    775.8"," ,I","     14.60","I","     19.52","I","      9.67","I"
"FR000007747","1908","42.7369","2.8728","42.0","PERPIGNAN, FR","    362.2","","     362.2","I","        95","I","        52","I","         3","I","         0","I","         9","I","         0","I","       156","I","         6","I","   -2.0","I,0207, ","  61.5"," ,I,1225, ","   34.8","I,0727, ","-1.0","I,1223","","","","","0.0","I,0319","","","","","","","","","    1627.2","2","    1627.2","I","    540.0"," ,I","     14.78","I","     19.59","I","      9.98","I"
"FR000007747","1909","42.7369","2.8728","42.0","PERPIGNAN, FR","    353.2","","     353.2","I","        75","I","        35","I","         5","I","         0","I","        29","I","         0","I","       165","I","        10","I","   -5.0","I,0227, ","  70.3"," ,I,1215, ","   36.6","I,0814, ","-0.2","I,1127","-2.7","I,1211","","","-1.6","I,0405","-3.0","I,0228","-5.0","I,0227","","","","","    1777.5","5","    1777.5","I","    490.2"," ,I","     14.14","I","     19.42","I","      8.87","I"
"FR000007747","1910","42.7369","2.8728","42.0","PERPIGNAN, FR","    243.0","","     243.0","I","        91","I","        46","I","         2","I","         0","I","        12","I","         0","I","       140","I","         0","I","   -2.3","I,0214,+","  47.0"," ,I,0314, ","   31.9","I,0618, ","0.0","I,1117","","","","","-0.5","I,0404","-2.3","I,0214","","","","","","","    1796.3","3","    1796.3","I","    559.8"," ,I","     14.15","I","     18.96","I","      9.35","I"
