"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00041140","1985","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       338","S","       275","S","","","   43.0","S,1006,+","     35.80","S","",""
"SAM00041140","1992","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       336","S","       243","S","","","   42.1","S,0629, ","     34.58","S","",""
"SAM00041140","1993","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       336","S","       241","S","","","   40.1","S,0710, ","     34.66","S","",""
"SAM00041140","1996","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       341","S","       249","S","","","   41.0","S,0709, ","     35.26","S","",""
"SAM00041140","1997","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       338","S","       241","S","","","   41.8","S,0610, ","     34.88","S","",""
"SAM00041140","1999","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       344","S","       274","S","","","   41.6","S,0525, ","     35.48","S","",""
"SAM00041140","2000","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       348","S","       288","S","","","   42.0","S,0713, ","     35.52","S","",""
"SAM00041140","2001","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       350","S","       281","S","","","   40.5","S,0623, ","     35.50","S","",""
"SAM00041140","2002","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       343","S","       294","S","","","   43.6","S,0815, ","     35.63","S","",""
"SAM00041140","2003","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       345","S","       295","S","","","   43.0","S,0531, ","     35.72","S","",""
"SAM00041140","2004","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       341","S","       247","S","","","   41.0","S,0528, ","     34.88","S","",""
"SAM00041140","2005","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       351","S","       266","S","","","   40.7","S,0808,+","     34.95","S","",""
"SAM00041140","2006","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       347","S","       253","S","","","   42.0","S,0704, ","     34.79","S","",""
"SAM00041140","2007","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       345","S","       256","S","","","   40.6","S,0510, ","     35.05","S","",""
"SAM00041140","2008","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       343","S","       235","S","","","   40.6","S,1006, ","     34.78","S","",""
"SAM00041140","2009","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       338","S","       242","S","","","   42.0","S,0506,+","     35.10","S","",""
"SAM00041140","2013","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       351","S","       273","S","","","   41.0","S,0713,+","     35.45","S","",""
"SAM00041140","2015","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       358","S","       288","S","","","   42.8","S,0816, ","     35.81","S","",""
"SAM00041140","2016","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       361","S","       304","S","","","   42.8","S,0624, ","     35.93","S","",""
"SAM00041140","2019","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","         0","S","         0","S","","","","","","","   20.5","S,0220, ","","","","","     27.13","S"
"SAM00041140","2020","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","         0","S","         0","S","","","","","","","   16.3","S,0112, ","","","","","     26.60","S"
"SAM00041140","2021","16.901","42.586","6.1","KING ABDULLAH BIN ABDULAZIZ, SA","","","","","         0","S","       352","S","       278","S","","","   41.0","S,0614,+","     35.29","S","",""
