"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00080101","1969","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","       100","a","        47","a","         5","a","  45.5"," ,a,0211, ","    581.8"," ,a"
"ASN00080101","1970","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","       126","a","        46","a","         2","a","  28.4"," ,a,0423, ","    451.8"," ,a"
"ASN00080101","1971","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","       119","a","        52","a","         2","a","  45.7"," ,a,1108, ","    458.9"," ,a"
"ASN00080101","1972","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        76","a","        26","a","         2","a","  40.4"," ,a,0216, ","    266.8"," ,a"
"ASN00080101","1973","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","       121","a","        68","a","         7","a","  52.8"," ,a,0220, ","    799.9"," ,a"
"ASN00080101","1974","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","       113","a","        62","a","         4","a","  38.6"," ,a,0515, ","    657.8"," ,a"
"ASN00080101","1975","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        90","a","        54","a","         3","a","  49.2"," ,a,1024, ","    623.2"," ,a"
"ASN00080101","1976","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        78","a","        30","a","         0","a","  18.2"," ,a,0113, ","    220.0"," ,a"
"ASN00080101","1977","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        71","a","        33","a","         0","a","  21.4"," ,a,0913, ","    287.4"," ,a"
"ASN00080101","1978","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","    530.4","","     530.4","a","       101","a","        52","a","         2","a","  33.8"," ,a,0124, ","    561.4"," ,a"
"ASN00080101","1979","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        86","a","        40","a","         0","a","  25.2"," ,a,0527, ","    370.6"," ,a"
"ASN00080101","1980","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        65","a","        33","a","         0","a","  20.6"," ,a,0628, ","    325.3"," ,a"
"ASN00080101","1981","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        89","a","        45","a","         1","a","  40.4"," ,a,0128, ","    485.4"," ,a"
"ASN00080101","1982","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        42","a","        18","a","         0","a","  18.8"," ,a,0126, ","    184.4"," ,a"
"ASN00080101","1983","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","","","","","","","","","    470.0"," ,a"
"ASN00080101","1984","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","","","","","","","","","    407.9"," ,a"
"ASN00080101","1985","-36.0918","145.4531","100.0","NUMURKAH GOLF CLUB, AS","","","","","        87","a","        47","a","         3","a"," 103.0"," ,a,1126, ","    589.1"," ,a"
