"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BC005847300","1926","-24.667","25.917","1000.0","GABORONE, BC","        78","Q","        32","Q","         4","Q","","","","","","","  58.2"," ,Q,1125, ","","","","","","","","","    436.1"," ,Q","",""
"BC005847300","1927","-24.667","25.917","1000.0","GABORONE, BC","        79","Q","        39","Q","         7","Q","","","","","","","  42.7"," ,Q,1017, ","","","","","","","","","    503.5"," ,Q","",""
"BC005847300","1928","-24.667","25.917","1000.0","GABORONE, BC","        64","Q","        38","Q","         7","Q","","","","","","","  65.5"," ,Q,0307, ","","","","","","","","","    595.1"," ,Q","",""
"BC005847300","1929","-24.667","25.917","1000.0","GABORONE, BC","        80","Q","        43","Q","         4","Q","","","","","","","  66.8"," ,Q,0303, ","","","","","","","","","    582.4"," ,Q","",""
"BC005847300","1930","-24.667","25.917","1000.0","GABORONE, BC","        67","Q","        40","Q","         3","Q","","","","","","","  51.6"," ,Q,1114, ","","","","","","","","","    528.3"," ,Q","",""
"BC005847300","1931","-24.667","25.917","1000.0","GABORONE, BC","        53","Q","        29","Q","         1","Q","","","","","","","  27.2"," ,Q,0411, ","","","","","","","","","    332.6"," ,Q","",""
"BC005847300","1932","-24.667","25.917","1000.0","GABORONE, BC","        56","Q","        36","Q","         6","Q","","","","","","","  63.3"," ,Q,1220, ","","","","","","","","","    497.1"," ,Q","",""
"BC005847300","1933","-24.667","25.917","1000.0","GABORONE, BC","        55","Q","        29","Q","         2","Q","","","","","",""," 110.0"," ,Q,1217, ","","","","","","","","","    422.4"," ,Q","",""
"BC005847300","1934","-24.667","25.917","1000.0","GABORONE, BC","        63","Q","        40","Q","         4","Q","","","","","","","  89.9"," ,Q,0130, ","","","","","","","","","    589.0"," ,Q","",""
"BC005847300","1935","-24.667","25.917","1000.0","GABORONE, BC","        45","Q","        24","Q","         4","Q","","","","","","","  54.6"," ,Q,0311,+","","","","","","","","","    359.2"," ,Q","",""
"BC005847300","1936","-24.667","25.917","1000.0","GABORONE, BC","        63","Q","        40","Q","         8","Q","","","","","","","  94.7"," ,Q,0315, ","","","","","","","","","    663.1"," ,Q","",""
"BC005847300","1937","-24.667","25.917","1000.0","GABORONE, BC","        60","Q","        41","Q","         8","Q","","","","","","","  53.9"," ,Q,0127, ","","","","","","","","","    585.8"," ,Q","",""
"BC005847300","1938","-24.667","25.917","1000.0","GABORONE, BC","        57","Q","        33","Q","         1","Q","","","","","","","  66.6"," ,Q,0216, ","","","","","","","","","    356.1"," ,Q","",""
"BC005847300","1939","-24.667","25.917","1000.0","GABORONE, BC","        74","Q","        54","Q","         5","Q","","","","","","","  65.0"," ,Q,0208, ","","","","","","","","","    653.5"," ,Q","",""
"BC005847300","1940","-24.667","25.917","1000.0","GABORONE, BC","        70","Q","        49","Q","         5","Q","","","","","","","  64.0"," ,Q,0929, ","","","","","","","","","    637.0"," ,Q","",""
"BC005847300","1941","-24.667","25.917","1000.0","GABORONE, BC","        49","Q","        30","Q","         4","Q","","","","","","","  50.0"," ,Q,1220, ","","","","","","","","","    402.2"," ,Q","",""
"BC005847300","1942","-24.667","25.917","1000.0","GABORONE, BC","        61","Q","        43","Q","         4","Q","","","","","","","  54.6"," ,Q,1203, ","","","","","","","","","    599.5"," ,Q","",""
"BC005847300","1943","-24.667","25.917","1000.0","GABORONE, BC","        70","Q","        50","Q","        13","Q","","","","","","","  52.1"," ,Q,1027, ","","","","","","","","","    885.1"," ,Q","",""
"BC005847300","1944","-24.667","25.917","1000.0","GABORONE, BC","        58","Q","        39","Q","         3","Q","","","","","","","  71.9"," ,Q,1018, ","","","","","","","","","    552.8"," ,Q","",""
"BC005847300","1945","-24.667","25.917","1000.0","GABORONE, BC","        39","Q","        27","Q","         5","Q","","","","","",""," 169.9"," ,Q,0304, ","","","","","","","","","    465.5"," ,Q","",""
