"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005120501","1955","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        36","I","        17","I","         2","I","","","","","","","","","","","","","  51.6"," ,I,0906, ","","","","","","","    266.1"," ,I","","","","","",""
"IN005120501","1956","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        50","I","        36","I","         8","I","","","","","","","","","","","",""," 175.3"," ,I,0806, ","","","","","","","    793.1"," ,I","","","","","",""
"IN005120501","1957","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        22","I","        16","I","         3","I","","","","","","","","","","","",""," 124.5"," ,I,0712, ","","","","","","","    289.4"," ,I","","","","","",""
"IN005120501","1958","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        28","I","        18","I","         4","I","","","","","","","","","","","","","  55.0"," ,I,0911, ","","","","","","","    304.1"," ,I","","","","","",""
"IN005120501","1959","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        48","I","        40","I","        10","I","","","","","","","","","","","",""," 168.0"," ,I,0715, ","","","","","","","    771.7"," ,I","","","","","",""
"IN005120501","1960","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        24","I","        19","I","         1","I","","","","","","","","","","","","","  48.0"," ,I,0624, ","","","","","","","    201.9"," ,I","","","","","",""
"IN005120501","1961","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        37","I","        27","I","        14","I","","","","","","","","","","","","","  88.0"," ,I,0705, ","","","","","","","    832.7"," ,I","","","","","",""
"IN005120501","1962","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        14","I","        10","I","         4","I","","","","","","","","","","","",""," 105.0"," ,I,0816, ","","","","","","","    305.3"," ,I","","","","","",""
"IN005120501","1963","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        18","I","        12","I","         2","I","","","","","","","","","","","","","  79.9"," ,I,0830, ","","","","","","","    212.9"," ,I","","","","","",""
"IN005120501","1964","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        23","I","        18","I","         3","I","","","","","","","","","","","","","  52.0"," ,I,0828, ","","","","","","","    263.7"," ,I","","","","","",""
"IN005120501","1965","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        13","I","        12","I","         3","I","","","","","","","","","","","",""," 114.4"," ,I,0827, ","","","","","","","    361.0"," ,I","","","","","",""
"IN005120501","1966","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        12","I","         9","I","         3","I","","","","","","","","","","","","","  49.5"," ,I,0721, ","","","","","","","    171.1"," ,I","","","","","",""
"IN005120501","1967","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        27","I","        25","I","        12","I","","","","","","","","","","","",""," 114.0"," ,I,0324, ","","","","","","","    955.2"," ,I","","","","","",""
"IN005120501","1968","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","         9","I","         7","I","         1","I","","","","","","","","","","","","","  66.0"," ,I,0807, ","","","","","","","    124.1"," ,I","","","","","",""
"IN005120501","1969","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        11","I","         7","I","         0","I","","","","","","","","","","","","","  23.5"," ,I,0723, ","","","","","","","     55.3"," ,I","","","","","",""
"IN005120501","1970","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        36","I","        32","I","        14","I","","","","","","","","","","","",""," 157.3"," ,I,0704, ","","","","","","","    924.6"," ,I","","","","","",""
"IN005120501","1997","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        18","S","        11","S","         4","S","","","","","","","","","","","","","  90.9"," ,S,0912, ","","","","","","","    301.7"," ,S","","","","","",""
"IN005120501","2002","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","         0","S","         0","S","","","","","","","    6.5","S,0120, ","","","","","","","","","","","","","","","     20.99","S"
"IN005120501","2003","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","        31","S","        21","S","         7","S","","","","","","","","","","","",""," 196.1"," ,S,0725, ","","","","","","","    657.1"," ,S","","","","","",""
"IN005120501","2004","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","         0","S","         0","S","         0","S","       344","S","       247","S","   10.4","S,0203, ","","","   45.1","S,0506, ","","","","","","","     27.94","S","     33.90","S","     21.98","S"
"IN005120501","2005","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","","","","","         0","S","       340","S","       219","S","","","","","   41.7","S,0531, ","","","","","","","","","     33.28","S","",""
"IN005120501","2006","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","","","","","         0","S","       346","S","       226","S","","","","","   46.3","S,1025, ","","","","","","","","","     33.31","S","",""
"IN005120501","2008","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","         0","S","         0","S","         0","S","       339","S","       235","S","    6.1","S,0207, ","","","   43.2","S,0426, ","","","","","","","     27.16","S","     33.19","S","     21.14","S"
"IN005120501","2009","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","         0","S","         0","S","         0","S","       358","S","       240","S","   11.5","S,0109, ","","","   43.8","S,0427, ","","","","","","","     28.13","S","     34.27","S","     22.00","S"
"IN005120501","2010","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","","","","","         0","S","       346","S","       215","S","","","","","   46.0","S,0521, ","       1.3","3","       1.3"," ","","","","","     34.11","S","",""
"IN005120501","2013","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","","","","","         0","S","       357","S","       254","S","","","","","   42.0","S,0518,+","      10.6","6","      10.6","S","","","","","     33.97","S","",""
"IN005120501","2014","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","","","","","         0","S","       354","S","       261","S","","","","","   45.7","S,0527, ","","","","","","","","","     34.53","S","",""
"IN005120501","2015","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","","","","","         0","S","       354","S","       263","S","","","","","   43.5","S,0515, ","","","","","","","","","     34.95","S","",""
"IN005120501","2016","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","         0","S","         0","S","","","","","","","   11.5","S,0121, ","","","","","","","","","","","","","","","     21.86","S"
"IN005120501","2017","23.25","69.667","80.0","BHUJ RUDRAMATA, IN","","","","","","","         0"," ","         0","S","","","","","","","    9.4","S,0112, ","","","","","","","","","","","","","","","     21.26","S"
