"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00053156","2011","33.3471","-112.0832","427.9","PHOENIX 7 S, AZ US","   2065.4","","    2065.4","R","        26","R","        16","R","         0","R","         0","R","        21","R","         0","R","       273","R","       162","R","   -6.7","R,0203, ","  25.2"," ,R,0724, ","   46.0","R,0702, ","-0.2","R,1205","-2.9","R,1206","-1.6","R,0210","-3.6","R,0204","-6.7","R,0203","-6.7","R,0203","     890.0","0","     890.0","R","    140.5"," ,R","     21.24","R","     28.97","R","     13.51","R"
"USW00053156","2012","33.3471","-112.0832","427.9","PHOENIX 7 S, AZ US","   2137.6","","    2137.6","R","        23","R","        13","R","         1","R","         0","R","         4","R","         0","R","       292","R","       169","R","   -1.6","R,1228, ","  35.9"," ,R,0821, ","   44.8","R,0808, ","-0.6","R,1211","","","-0.3","R,0303","","","","","","","     883.5","5","     883.5","R","    141.1"," ,R","     22.04","R","     29.85","R","     14.22","R"
"USW00053156","2013","33.3471","-112.0832","427.9","PHOENIX 7 S, AZ US","   2069.1","","    2069.1","R","        28","R","        12","R","         2","R","         0","R","        20","R","         0","R","       281","R","       150","R","   -8.3","R,0115, ","  50.0"," ,R,1122, ","   46.4","R,0629, ","-2.3","R,1206","-2.3","R,1206","-0.7","R,0228","-4.0","R,0116","-8.3","R,0115","-8.3","R,0115","     824.6","6","     824.6","R","    203.1"," ,R","     21.54","R","     29.03","R","     14.05","R"
