"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001033230","1960","49.6667","-126.1667","3.0","GOLD RIVER, BC CA","","","","","         1","C","","","","","         0","C","        60","C","         4","C","","","   102"," ,C,0109, ","   35.6","C,0809,+","","","","","","","","","","","   3540.4"," ,C","      115"," ,C","","","     13.30","C","",""
"CA001033230","1961","49.6667","-126.1667","3.0","GOLD RIVER, BC CA","    155.3","","     155.3","C","         5","C","         0","C","        36","C","         0","C","        85","C","         3","C","   -2.2","C,1226, ","    51"," ,C,1224, ","   37.2","C,0712,+","-0.6","C,1022","-2.2","C,1226","-0.6","C,0419","    2938.6","6","    2938.6","C","   3671.9"," ,C","      214"," ,C","     10.36","C","     14.31","C","      6.42","C"
