"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013904","1949","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1670.8","","    1670.8","X","        87","X","        51","X","         9","X","        3","","         1","X","         2","X","        17","X","         2","X","       277","X","       118","X","        78"," ","","","        53"," ","  -20.6","X,0131, ","   152"," ,X,0131,+","   140"," ,X,0130, ","  77.2"," ,X,0909, ","   38.9","X,0829, ","-2.8","X,1216","-2.8","X,1216","","","","","","","0.0","X,0202","-7.8","X,0201","-7.8","X,0201","-7.8","X,0201","-20.6","X,0131","","","","","    777.1"," ,X","      140"," ,X","     20.43","X","     26.09","X","     14.76","X","","","","","","","","","","","","","",""
"USW00013904","1950","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1722.9","","    1722.9","X","        58","X","        34","X","         7","X","        0","","         0","X","         0","X","        17","X","         0","X","       288","X","       116","X","        89"," ","","","        33"," ","   -8.3","X,1207, ","     0"," ,X,1231,+","     0","T,X,0105, ","  60.5"," ,X,0423, ","   38.3","X,0817,+","-3.3","X,1111","-3.3","X,1111","-7.2","X,1206","-7.2","X,1206","","","-1.7","X,0314","-2.2","X,0107","","","","","","","     729.7","7","     729.7","X","    643.6"," ,X","        0","T,X","     20.79","X","     26.85","X","     14.74","X","","","","","","","","","","","","","",""
"USW00013904","1951","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1869.3","","    1869.3","X","        64","X","        38","X","        10","X","        0","","         0","X","         0","X","        26","X","         4","X","       286","X","       123","X","        70"," ","","","        35"," ","  -13.3","X,0202, ","     0","T,X,0201,+","     0","T,X,0312,+"," 125.7"," ,X,0603, ","   41.7","X,0901, ","-1.7","X,1102","-3.3","X,1103","-6.7","X,1216","-6.7","X,1216","","","0.0","X,0313","-2.8","X,0216","-8.9","X,0203","-8.9","X,0203","-8.9","X,0203","     903.0","0","     903.0","X","    670.1"," ,X","        0","T,X","     20.87","X","     27.29","X","     14.46","X","","","","","","","","","","","","","",""
"USW00013904","1952","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1564.8","","    1564.8","X","        71","X","        49","X","        10","X","        0","","         0","X","         0","X","         5","X","         0","X","       287","X","       109","X","        79"," ","","","        35"," ","   -4.4","X,1215, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  77.2"," ,X,1123, ","   40.0","X,0825, ","0.0","X,1211","-4.4","X,1215","-4.4","X,1215","","","","","-1.1","X,0324","","","","","","","","","     735.2","2","     735.2","X","    797.5"," ,X","        0"," ,X","     20.40","X","     26.47","X","     14.33","X","","","","","","","","","","","","","",""
"USW00013904","1953","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        93"," ","","","        37"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     821.9","9","     821.9","X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013904","1954","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1970.0","","    1970.0","X","        49","X","        24","X","         2","X","        0","","         0","X","         0","X","         7","X","         0","X","       299","X","       135","X","        56"," ","","","        24"," ","   -4.4","X,0122, ","     0","T,X,0121, ","     0","T,X,0304,+","  30.2"," ,X,0921, ","   41.1","X,0726,+","-2.2","X,1230","-2.2","X,1230","","","","","","","-1.7","X,0208","-4.4","X,0122","-4.4","X,0122","","","","","","","","","    253.9"," ,X","        0","T,X","     21.85","X","     28.12","X","     15.57","X","","","","","","","       135","X","","","","","      24.1","X"
"USW00013904","1955","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1886.8","","    1886.8","X","        54","X","        35","X","         6","X","        0","","         1","X","         0","X","        18","X","         0","X","       280","X","       148","X","        80"," ","","","        34"," ","   -5.6","X,1216, ","     0"," ,X,1231,+","    51"," ,X,1108, ","  44.5"," ,X,0205, ","   38.3","X,0808, ","-1.1","X,1128","-5.6","X,1216","-5.6","X,1216","","","","","-2.2","X,0328","-2.2","X,0328","","","","","","","     738.1","1","     738.1","X","    480.2"," ,X","       51"," ,X","     21.09","X","     27.05","X","     15.12","X","","","","","","","       360","X","","","","","      25.7","X"
"USW00013904","1956","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1993.8","","    1993.8","X","        48","X","        20","X","         3","X","        0","","         0","X","         0","X","        12","X","         1","X","       292","X","       153","X","        46"," ","","","        26"," ","   -3.9","X,0205, ","     0"," ,X,1231,+","     0","T,X,0202,+","  82.0"," ,X,0501, ","   40.0","X,0815,+","-0.6","X,1127","","","","","","","","","-1.1","X,0308","-3.9","X,0205","","","","","","","     876.9","9","     876.9","X","    397.6"," ,X","        0","T,X","     21.55","X","     27.89","X","     15.20","X","","","","","","","       225","X","","","","","      26.2","X"
"USW00013904","1957","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1673.7","","    1673.7","X","        86","X","        59","X","        19","X","        0","","         0","X","         0","X","         7","X","         0","X","       264","X","       103","X","       112"," ","","","        40"," ","   -5.0","X,1212, ","     0"," ,X,1231,+","     0","T,X,1231,+","  86.6"," ,X,0426, ","   40.6","X,0730, ","0.0","X,1130","-2.2","X,1211","-5.0","X,1212","","","","","-3.9","X,0118","-3.9","X,0118","","","","","","","     756.7","7","     756.7","X","   1416.0"," ,X","        0","T,X","     20.63","X","     25.90","X","     15.35","X","","","","","","","","","","","","","",""
"USW00013904","1958","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1732.1","","    1732.1","X","        99","X","        55","X","        13","X","        1","","         1","X","         0","X","        16","X","         0","X","       243","X","       115","X","       111"," ","","","        36"," ","   -4.4","X,1214,+","    25"," ,X,0212, ","    30"," ,X,0212, ","  99.1"," ,X,0221, ","   38.9","X,0817,+","0.0","X,1129","-4.4","X,1214","-4.4","X,1214","","","","","-2.8","X,0216","-2.8","X,0216","-4.4","X,0213","","","","","    1085.8","8","    1085.8","X","    968.7"," ,X","       30"," ,X","     19.97","X","     25.28","X","     14.66","X","","","","","","","","","","","","","",""
